title,author,year,group
CAN OWNING A HOME HEDGE THE RISK OF MOVING?,"TODD SINAI, University of Pennsylvania and NBER; NICHOLAS SOULELES, University of Pennsylvania and NBER",2008,PERE
CAPITAL MARKETS CONSTRAIN INDUSTRY SCALE,"ESLYN JEAN-BAPTISTE, Columbia University; MICHAEL RIORDAN, Columbia University",2003,CF
"CAPITAL STRUCTURE, HURDLE RATES, AND PORTFOLIO CHOICE - INTERACTIONS IN AN ENTREPRENEURIAL FIRM","JOHN HEATON, University of Chicago and NBER; DEBORAH LUCAS, Northwestern University and NBER",2001,EFEL
CAPITAL SUBSIDIES AND AGGLOMERATION ECONOMIES: EVIDENCE FROM BRAZILIAN CITIES,"LEO FELER, Brown University",2009,PERE
CARRY TRADES AND SPECULATIVE DYNAMICS,"GUILLAUME PLANTIN, London Business School; HYUN SONG SHIN, Princeton University",2007,AP
CHANGING LABOR MARKET DYNAMICS: EVIDENCE AND IMPLICATIONS,"JORDI GALI, CREI and NBER; Thijs Van Rens, CREI",2008,EFCE
COLLATERALIZED BORROWING AND LIFE-CYCLE PORTFOLIO CHOICE,"PAUL WILLEN, University of Chicago; FELIX KUBLER, Stanford University",2006,EFEL
COMMITTING TO BEING IRRESPONSIBLE: DEFICIT SPENDING TO ESCAPE A LIQUIDITY TRAP,"GAUTI EGGERTSSON, Princeton University",2002,EFCE
"COMMUTING, RICARDIAN RENT AND HOUSING APPRECIATION IN CITIES WITH DISPERSED EMPLOYMENT AND MIXED LAND-USE","WILLIAM WHEATON, MIT",2002,PERE
CONVENTIONAL AND UNCONVENTIONAL MONETARY POLICY,"MICHAEL WOODFORD, Columbia University and NBER",2009,EFCE
COSTLY SHORT-SELLING AND STOCK PRICE ADJUSTMENT TO EARNINGS ANNOUNCEMENTS,"ADAM REED, University of Pennsylvania",2001,AP
"CREDIT RISK, LIQUIDITY RISK, AND DEVIATIONS FROM COVERED INTEREST PARITY","NIALL COFFEY, Federal Reserve Bank of New York; WARREN HRUNG, Federal Reserve Bank of New York; HOAI-LUU NGUYEN, Federal Reserve Bank of New York; ASANI SARKAR, Federal Reserve Bank of New York",2009,IFM
CURRENT ACCOUNT FACT AND FICTION,"DAVID BACKUS, New York University and NBER; GIAN LUCA CLEMENTI, New York University; FREDERIC LAMBERT, New York University",2005,IFM
DECONSTRUCTING LIFECYCLE EXPENDITURE,"MARK AGUIAR, University of Rochester and NBER; ERIK HURST, University of Chicago and NBER",2008,ME
"DEFLATION, REAL WAGES AND THE INTERNATIONAL GREAT DEPRESSION: A PRODUCTIVITY PUZZLE","HAL COLE, UC, Los Angeles; LEE OHANIAN, UC, Los Angeles",2002,EFCE
DISCLOSURE AND THE COST OF CAPITAL: EVIDENCE FROM FIRMS' RESPONSES TO THE ENRON SHOCK,"CHRISTIAN LEUZ, University of Chicago and NBER; CATHERINE SCHRAND, University of Pennsylvania",2009,CF
DISCRETION IN EXECUTIVE CONTRACTS: THEORY AND EVIDENCE,"KEVIN J. MURPHY, University of Southern California; PAUL OYER, Stanford University",2002,CF
DIVERSIFICATION AND CAPITAL GAINS TAXES WITH MULTIPLE RISKY ASSETS,"ROBERT DAMMON, Carnegie Mellon University; CHESTER SPATT, Carnegie Mellon University; HAROLD ZHANG, University of North Carolina at Chapel Hill",2004,EFEL
DO FINANCIAL COUNSELING MANDATES IMPROVE MORTGAGE CHOICE AND PERFORMANCE? EVIDENCE FROM A LEGISLATIVE EXPERIMENT,"SUMIT AGARWAL, Federal Reserve Bank of Chicago; GENE AMROMIN, Federal Reserve Bank of Chicago; ITZHAK BEN-DAVID, Ohio State University; SOUPHALA CHOMSISENGPHET, Office of the Comptroller of the Currency; DOUG EVANOFF, Federal Reserve Bank of Chicago",2009,RISK
"DO MACRO VARIABLES, ASSET MARKETS, OR SURVEYS FORECAST INFLATION BETTER?","MIN WEI, Federal Reserve Board",2006,EFFE
DOES IT PAY TO READ JUNK MAIL? EVIDENCE OF THE EFFECT OF ADVERTISING ON HOME EQUITY CREDIT CHOICES,"SUMIT AGARWAL, Federal Reserve Bank of Chicago; BRENT AMBROSE, Pennsylvania State University",2008,PERE
DOES MONETARY POLICY HELP LEAST THOSE WHO NEED IT THE MOST?,"MICHAEL HANSON, Wesleyan University; ERIK HURST, University of Chicago and NBER; KI-YOUNG PARK",2004,EFEL
DOES THE FED POSSESS INSIDE INFORMATION ABOUT THE ECONOMY?,"JON FAUST, Federal Reserve Board; ERIC SWANSON, Federal Reserve Board; JONATHAN WRIGHT, Federal Reserve Board",2002,ME
DYNAMIC MONETARY ECONOMICS: PARADOXES AND A NON-RICARDIAN RESOLUTION,"JEAN-PASCAL BENASSY, CEPREMAP",2007,EFCE
EFFICIENCY WAGES AND INTER-INDUSTRY WAGE DIFFERENTIALS,"MICHELE ALEXOPOULOS, University of Toronto",2003,EFCE
EFFICIENCY WAGES AND THE BUSINESS CYCLE,"MICHELLE ALEXOPOULOS, University of Toronto",2000,EFCE
EFFICIENT FISCAL POLICY AND AMPLIFICATION,"MARK AGUIAR, Federal Reserve Bank of Boston; MANUEL AMADOR, Stanford University; GITA GOPINATH, University of Chicago and NBER",2005,IFM
EMPIRICAL ASSET PRICING AND STATISTICAL POWER IN THE PRESENCE OF WEAK RISK FACTORS,"CRAIG BURNSIDE, Duke University and NBER",2008,EFFE
EMPIRICAL BAYES FORECASTS OF ONE TIME SERIES USING MANY PREDICTORS,"JAMES STOCK, Harvard University and NBER; MARK WATSON, Princeton University and NBER",2000,EFFE
"ENDOGENOUS INFORMATION, MENU COSTS AND INFLATION PERSISTENCE","YURIY GORODNICHENKO, UC, Berkeley",2007,ME
ENTRY AND INEFFICIENCY IN THE REAL ESTATE BROKERAGE INDUSTRY: EMPIRICAL EVIDENCE AND POLICY IMPLICATIONS,"LU HAN, University of Toronto; SEUNG HYUN HONG, University of Illinois at Urbana-Champaign",2008,PERE
EQUILIBRIUM STICKY PRICES,"ROBERT HALL, Stanford University and NBER",2007,ME
ESTABLISHING CREDIBILITY: EVOLVING PERCEPTIONS OF THE EUROPEAN CENTRAL BANK,"LINDA GOLDBERG, Federal Reserve Bank of New York and NBER; MICHAEL KLEIN, Tufts University and NBER",2006,ME
ESTIMATING EXCHANGE RATE EQUATIONS USING ESTIMATED EXPECTATIONS,"RAY FAIR, Yale University",2008,EFFE
ESTIMATING FIRM-LEVEL RISK,"FRANCOIS GOURIO, Boston University",2008,EFEL
"ESTIMATING RETURNS TO EMERGING MARKET LENDING, 1970-2000","CHRISTOPH KLINGEN, International Monetary Fund; BEATRICE WEDER, University of Mainz; JEROMIN ZETTLEMEYER, International Monetary Fund",2002,IFM
EULER EQUATION METHODS FOR DISCRETE CHOICE MODELS: A CAPITAL ACCUMULATION APPLICATION,"RUSSELL COOPER, Boston University and NBER; JOHN HALTIWANGER, University of Maryland and NBER; JONATHAN WILLIS, Federal Reserve Bank of Kansas City",2008,EFEL
EUROPEAN CENTRAL BANK PROJECT ON INFLATION PERSISTENCE IN THE EURO AREA: A PROGRESS REPORT,"IGNAZIO ANGELONI, European Central Bank",2004,ME
EVALUATING THE NON-LINEARITY OF THE FINANCIAL ACCELERATOR,"FABIO NATALUCCI, Federal Reserve Board; ANDREW LEVIN, Federal Reserve Board; EGON ZAKRAJSEK, Federal Reserve Board",2003,EFCE
EXPLAINING WHY SO MANY HOUSEHOLDS DO NOT SAVE,"ANNAMARIA LUSARDI, Dartmouth College",2000,ME
FAIR TREATMENT AND INFLATION PERSISTENCE,"JOHN DRISCOLL, Brown University and NBER; STEINAR HOLDEN, University of Oslo",2002,ME
FINANCIAL CLAUSTROPHOBIA: ASSET PRICING IN ILLIQUID MARKETS,"FRANCIS LONGSTAFF, UC, Los Angeles and NBER",2004,AP
FINANCIAL CONSERVATISM: EVIDENCE ON CAPITAL STRUCTURE FROM LOW LEVERAGE FIRMS,"BERNADETTE MINTON, Ohio State University; KAREN WRUCK, Ohio State University",2001,CF
FINANCIAL DISTRESS AS A SELECTION MECHANISM: PERFORMANCE AND SURVIVAL FROM THE ONSET TO THE RESOLUTION OF FINANCIAL DISTRESS,"MATTHIAS KAHL, UC, Los Angeles",2001,CF
FINANCIAL INTERMEDIARIES AS FIRMS AND THE BUSINESS CYCLE,"REFET GURKAYNAK, Federal Reserve Board",2003,EFEL
FINANCIAL INTERMEDIATION IN A RESTRUCTURING ECONOMY,"GAREY RAMEY, UC, San Diego",2003,EFCE
FINANCIAL POLICY WITH FULLY RATIONAL FIRMS,"ALEXIS ANAGNOSTOPOULOS, SUNY, Stony Brook; EVA CARCELES-POVEDA, SUNY, Stony Brook; ALBERT MARCET, Universitat Pompeu Fabra",2007,EFEL
FISCAL DISCRETION DESTROYS MONETARY COMMITMENT,"AVINASH DIXIT, Princeton University; LUISA LAMBERTINI, UC, Los Angeles",2001,ME
FISCAL POLICY AND FINANCIAL DEPTH,"RICARDO CABALLERO, MIT and NBER; ARVIND KRISHNAMURTHY, Northwestern University",2004,EFEL
FISCAL POLICY AND MACROECONOMIC UNCERTAINTY IN DEVELOPING COUNTRIES: THE TALE OF THE TORMENTED INSURER,"ENRIQUE MENDOZA, University of Maryland and NBER; MARCELO OVIEDO, Iowa State University",2006,IFM
FORECAST-BASED MODEL SELECTION IN THE PRESENCE OF STRUCTURAL BREAKS,"TODD CLARK, Federal Reserve Bank of Kansas City; MICHAEL MCCRACKEN, University of Missouri",2002,EFFE
FUNDAMENTALS BASED EXCHANGE RATE PREDICTION REVISITED,"JAN GROEN, Bank of England",2006,EFFE
FUNDAMENTALS BASED EXCHANGE RATE PREDICTION REVISITED,"JAN GROEN, Bank of England",2007,IFM
GENERALIZED AFFINE MODELS,"NOUR MEDDAHI, Imperial College London",2008,EFFE
GENERALIZED LEAST SQUARES ESTIMATION OF PANEL WITH COMMON SHOCKS,"PAOLO ZAFFARONI, Imperial College London",2009,EFFE
GROWTH RATE DYNAMICS AND THE COSTS OF ECONOMIC FLUCTUATIONS,"RAVI BANSAL, Duke University; AMIR YARON, University of Pennsylvania and NBER",2001,EFCE
HOUSEHOLD EXTERNAL FINANCE AND CONSUMPTION,"TIMOTHY BESLEY, Bank of England; NEIL MEADS, Bank of England; PAOLO SURICO, Bank of England",2008,ME
HOUSING CYCLES,"EDWARD GLAESER, Harvard University and NBER; JOE GYOURKO, University of Pennsylvania and NBER",2006,PERE
"HOW DOES ORGANIZATIONAL FORM MATTER? COMMUNICATION, DISTANCE AND SOFT INFORMATION","JOSE LIBERTI, London Business School",2005,CF
HOW MUCH CROSS-COUNTRY RISK SHARING DO INTERNATIONAL FINANCIAL MARKETS PROVIDE?,"GIANCARLO CORSETTI, European University Institute; LUCA DEDOLA, European Central Bank",2008,IFM
HOW QUICKLY IS MACROECONOMIC UNCERTAINTY RESOLVED? THEORY AND EMPIRICAL EVIDENCE FROM THE TERM STRUCTURE OF FORECAST ERRORS,"ANDREW PATTON, London School of Economics; ALLAN TIMMERMANN, UC, San Diego",2007,EFFE
HOW SENSTIVE IS INVESTMENT? VERY (WHEN THE DATA ARE WELL MEASURED),"LUIGI GUISO, Ente Per Gli Studi Bancari; ANIL KASHYAP, University of Chicago and NBER; FABIO PANETTA, Bank of Italy; DANIELE TERLIZZESE, Bank of Italy",2002,EFEL
HUMAN CAPITAL AND THE VOLUME AND COMPOSITION OF FOREIGN DIRECT INVESTMENT,"ALEX MONGE, Northwestern University",2001,EFCE
ILLIQUID HOUSING AS SELF-INSURANCE: THE CASE OF LONG-TERM CARE,"THOMAS DAVIDOFF, UC, Berkeley",2008,PERE
IMPERFECT CAPITAL MARKETS AND NOMINAL WAGE RIGIDITIES,"CHUCK CARLSTROM, Federal Reserve Bank of Cleveland; TIM FUERST, Bowling Green State University; VASSOU IOANNIDOU, Tilburg University",2002,EFCE
IMPLICATIONS OF DYNAMIC FACTOR MODELS FOR VAR ANALYSIS,"JAMES STOCK, Harvard University and NBER; MARK WATSON, Princeton University and NBER",2005,ME
IN-SAMPLE AND OUT-OF-SAMPLE FIT: THEIR JOINT DISTRIBUTION AND ITS IMPLICATIONS FOR MODEL SELECTION AND MODEL AVERAGING,"PETER HANSEN, Stanford University",2008,EFFE
"INCREASING RETURNS, AND OPTIMAL OSCILLATING LABOR SUPPLY","WILLIAM DUPOR, University of Pennsylvania; ANDREAS LEHNERT, Federal Reserve Board",2001,EFCE
INFLATION AND EARNINGS UNCERTAINTY AND THE VOLATILITY OF ASSET PRICES: AN EMPIRICAL INVESTIGATION,"ALEXANDER DAVID, Federal Reserve Board; PIETRO VERONESI, University of Chicago and NBER",2001,AP
INFLATION AND THE PRICE OF REAL ASSETS,"MONIKA PIAZZESI, University of Chicago and NBER; MARTIN SCHNEIDER, New York University",2005,PERE
INFLATION COMPENSATION AND THE MACROECONOMY: WHAT DRIVES BREAK-EVEN INFLATION RATES?,"MATTEO CICCARELLI, European Central Bank; JUAN ANGEL GARCIA, European Central Bank",2009,EFFE
INFORMATION AND THE DYNAMICS OF CRISES,"MARIOS ANGELETOS, MIT and NBER",2005,EFCE
"INFORMATION, EXPECTATIONS AND THE BUSINESS CYCLE","RHYS MENDES, Bank of Canada",2008,EFCE
INSTABILITY AND NONLINEARITY IN THE EMU,"MASSIMILIANO MARCELLINO, Bocconi University",2002,EFFE
INTERGENERATIONAL FISCAL CONSTITUTIONS: HOW TO PROTECT FUTURE GENERATIONS USING LAND TAXES AND FEDERALISM,"JOHN P. CONLEY, Northwestern University; ANTONIO RANGEL, Stanford University and NBER",2001,AMRE
INTERNATIONAL EVIDENCE ON THE PERSISTENCE OF INFLATION,"LUCA BENATI, Bank of England",2004,EFFE
INTERNATIONAL FINANCIAL INTEGRATION,"PHILLIP LANE, Trinity College, Dublin; GIAN-MARIA MILESI-FERETTI, International Monetary Fund",2003,IFM
INTERNATIONAL LIQUIDITY ILLUSION: ON THE RISKS OF STERILIZATION,"ARVIND KRISHNAMURTHY, Northwestern University; RICARDO CABALLERO, MIT and NBER",2001,EFEL-IFM
"INTERNATIONAL RISK-TAKING, VOLATILITY AND CONSUMPTION GROWTH","MARIA GIDUSKOVA, Federal Reserve Bank of Boston; BORJA LARRAIN, Federal Reserve Bank of Boston",2007,IFM
INVESTING PUBLIC PENSIONS IN THE STOCK MARKET: IMPLICATIONS FOR RISK SHARING AND ASSET PRICES,"JOHN HEATON, University of Chicago and NBER; DEBORAH LUCAS, Northwestern University and NBER",2004,EFEL
INVESTMENT AND THE COST OF CAPITAL: NEW EVIDENCE FROM THE CORPORATE BOND MARKET,"SIMON GILCHRIST, Boston University and NBER; EGON ZAKRAJSEK, Federal Reserve Board",2007,EFEL
INVESTMENT AND THE COST OF CAPITAL: NEW EVIDENCE FROM THE CORPORATE BOND MARKET,"SIMON GILCHRIST, Boston University and NBER; EGON ZAKRAJSEK, Federal Reserve Board",2007,ME
INVESTMENT DURING THE KOREAN FINANCIAL CRISIS: THE ROLE OF FOREIGN-DENOMINATED DEBT,"SIMON GILCHRIST, Boston University and NBER; JAE SIM, Boston University",2005,EFEL
INVESTMENT DURING THE KOREAN FINANCIAL CRISIS: THE ROLE OF FOREIGN-DENOMINATED DEBT,"SIMON GILCHRIST, Boston University and NBER; JAE SIM, Boston University",2005,ME
INVESTMENT PLANNING COSTS AND THE EFFECTS OF FISCAL AND MONETARY POLICY,"SUSANTO BASU, University of Michigan and NBER; MILES KIMBALL, University of Michigan and NBER",2003,EFCE
"INVESTOR PROTECTION, OWNERSHIP, AND CAPITAL ALLOCATION","R.GLENN HUBBARD, Columbia University and NBER; CHARLES HIMMELBERG, Columbia University; INESSA LOVE, Columbia University",2001,EFEL
JUDGE-SPECIFIC EFFECTS IN CH.11 AND FIRM OUTCOMES,"ANTOINETTE SCHOAR, MIT and NBER",2006,CF
LEARNING ABOUT A SHIFT IN TREND OUTPUT: IMPLICATIONS FOR MONETARY POLICY AND INFLATION,"KEVIN LANSING, Federal Reserve Bank of San Francisco",2000,ME
LEVERAGED LOSSES: LESSONS FROM THE MORTGAGE MARKET MELTDOWN,"DAVID GREENLAW, Morgan Stanley; JAN HATZIUS, Goldman Sachs; ANIL K KASHYAP, University of Chicago and NBER; HYUN SONG SHIN, Princeton University",2008,ME
LIQUIDITY DEMAND AND ASSET PRICING: EVIDENCE FROM THE PERIODIC SETTLEMENT IN JAPAN,"MAKOTO SAITO, Osaka University; SHIGENORI SHIRATSUKA, Bank of Japan; TSUTOMU WATANABE, Hitotsubashi University; NORIYUKI YANAGAWA, University of Tokyo",2002,EFEL
LONG-TERM AND SHORT-TERM MARKET BETAS IN SECURITIES PRICES,"GERARD HOBERG, University of Maryland; IVO WELCH, Brown University and NBER",2007,AP
MAINTENANCE AND THE HOME EQUITY OF THE ELDERLY,"TOM DAVIDOFF, UC, Berkeley",2003,PERE
MAKING EXCHANGE RATES SPARKLE: RESTRICTING ITS PRESENT-VALUE MODEL WITH COMMON TRENDS AND COMMON CYCLES,"JAMES NASON, Federal Reserve Bank of Atlanta; JOHN ROGERS, Federal Reserve Board",2006,EFFE
MEASURING OIL-PRICE SHOCKS USING MARKET-BASED INFORMATION,"TAO WU, Federal Reserve Bank of Dallas; MICHELE CAVALLO, Federal Reserve Board",2009,EFCE
MEASURING OIL-PRICE SHOCKS USING MARKET-BASED INFORMATION,"Michele Cavallo, Federal Reserve Bank of San Francisco; TAO WU, Federal Reserve Bank of Dallas",2007,ME
MEASURING THE EFFECTS OF MONETARY POLICY: A FACTOR-AUGMENTED VECTOR AUTOREGRESSIVE (FAVAR) APPROACH,"BEN S. BERNANKE, Federal Reserve Board; JEAN BOIVIN, Columbia University and NBER; PIOTR ELIASZ, Princeton University",2003,EFFE
MEASURING THE IMPACT OF ASSET PRICE BOOMS USING QUANTILE VECTOR AUTOREGRESSIONS,"HONG LI, Brandeis University",2008,EFFE
MODELLING THE SHORT-TERM INTEREST RATE: A SEMIPARAMETRIC APPROACH,"DENNIS KRISTENSEN, University of Wisconsin-Madison",2005,EFFE
MONETARY POLICY AND INFLATION DYNAMICS,"JOHN M. ROBERTS, Federal Reserve Board",2004,ME
MONETARY POLICY AND LEARNING,"BRUCE PRESTON, Princeton University",2002,ME
MONETARY POLICY WITH PRIVATE GOVERNMENT PREFERENCES: U TURN IF YOU WANT TO,"CHRISTOPHER SLEET, University of Iowa; SEVIN YELTEKIN, Northwestern University",2001,EFCE
"MONETARY SHOCKS, AGENCY COSTS AND BUSINESS CYCLES","CHARLES CARLSTROM, Federal Reserve Bank of Cleveland; TIMOTHY FUERST, Bowling Green State University",2000,EFCE
"MONEY, CREDIT AND INVENTORIES IN A SEQUENTIAL TRADING MODEL","BENJAMIN EDEN, University of Haifa",2001,EFCE
NOMINAL PRICE VERSUS ASSET PRICE STABILIZATION,"BILL DUPOR, University of Pennsylvania",2002,EFCE
ON LOCAL HOUSING SUPPLY ELASTICITY,"ALBERT SAIZ, University of Pennsylvania",2008,PERE
ON THE EMPIRICS OF SUDDEN STOPS: THE RELEVANCE OF BALANCE-SHEET EFFECTS,"GUILLERMO CALVO, Inter-American Development Bank and NBER; ALEJANDRO IZQUIERDO, Inter-American Development Bank; LUIS MEJIA, University of Chicago",2004,IFM
ON THE POLITICAL ECONOMY OF TAX LIMITS,"STEPHEN CALABRESE, University of South Florida; DENNIS EPPLE, Carnegie Mellon University and NBER",2004,PERE
ON THE TIMING OF REALLOCATION IN SCHUMPETERIAN MODELS OF GROWTH,"GADI BARLEVY, Northwestern University",2001,EFCE
"ONE SHOCK, TWO SHOCKS, THREE SHOCKS, FOUR","MICHELLE ALEXOPOULOS, University of Toronto",2007,EFCE
OPTIMAL FISCAL POLICY IN A BUSINESS CYCLE MODEL WITHOUT COMMITMENT,"JESUS VILLAVERDE, University of Pennsylvania; ALEH TSYVINSKI, University of Minnesota",2003,EFCE
OPTIMAL INFLATION TARGETING UNDER FISCAL STRESS,"MICHAEL WOODFORD, Columbia University and NBER; PIERPAOLO BENIGNO, New York University and NBER",2005,EFCE
OPTIMAL MONETARY AND FISCAL POLICY IN A LIQUIDITY TRAP,"GAUTI EGGERTSON, International Monetary Fund; MIKE WOODFORD, Columbia University",2004,EFCE
OPTIMAL OPERATIONAL INTEREST-RATE RULES IN THE CHRISTIANO-EICHENBAUM-EVANS MODEL OF THE U.S. BUSINESS CYCLE,"STEPHANIE SCHMITT-GROHE, Duke University and NBER; MARTIN URIBE, Duke University and NBER",2004,EFCE
OPTIMAL POLICY WITH OCCASIONALLY BINDING CREDIT CONSTRAINTS,"GIANLUCA BENIGNO, London School of Economics; HUIGANG CHEN, International Monetary Fund; CHRISTOPHER OTROK, University of Virginia; ALESSANDRO REBUCCI, Inter-American Development Bank; ERIC YOUNG, University of Virginia",2009,IFM
