title,author,discussant,group,organizer,year,duration,start,Tilburg_Rank_unweighted_auth,Tilburg_Rank_weighted_auth,Tilburg_Rank_unweighted_dis,Tilburg_Rank_weighted_dis
A DYNAMIC MODEL OF THE HOUSING MARKET WITH A NEW TEST FOR MARKET EFFICIENCY,"PATRICK BAYER, Duke University and NBER; ROBERT MCMILLAN, University of Toronto; ALVIN MURPHY, Duke University; CHRISTOPHER TIMMINS, Duke University",7003688582,PERE,Joe Gyourko; Chris Mayer; Todd Sinai,2007,60.0,2007-07-24 14:00:00,19.25,24.0,1.0,1.0
A DYNAMIC THEORY OF OPTIMAL CAPITAL STRUCTURE AND EXECUTIVE COMPENSATION,"ANDREW ATKESON, UC, Los Angeles and NBER; HAL COLE, UC, Los Angeles and NBER",,EFCE,Lawrence Christiano; Martin Eichenbaum,2005,60.0,2005-07-22 10:15:00,7.0,10.0,,
A FISTFUL OF DOLLARS: LOBBYING AND THE FINANCIAL CRISIS,"DENIZ IGAN, International Monetary Fund; PRACHI MISHRA, International Monetary Fund; THIERRY TRESSEL, International Monetary Fund",,ME,David Romer,2009,55.0,2009-07-07 13:55:00,,,,
A FORMAL STATISTICAL TEST FOR THE NUMBER OF FACTORS IN THE APPROXIMATE FACTOR MODELS,"ALEXEI ONATSKI, Columbia University",,EFFE,Mark Watson; Kenneth West,2007,60.0,2007-07-11 09:45:00,9.0,17.0,,
A FRAMEWORK FOR IDENTIFYING THE SOURCES OF LOCAL-CURRENCY PRICE STABILITY WITH AN EMPIRICAL APPLICATION,"PINELOPI GOLDBERG, Yale University and NBER; REBECCA HELLERSTEIN, Federal Reserve Bank of New York",8716236500;6701579737,IFM,Linda Goldberg; Eric Van Wincoop,2007,80.0,2007-07-13 09:00:00,5.0,7.0,137.5,356.5
A GAME THEORETIC VIEW OF THE FISCAL THEORY OF THE PRICE LEVEL,"AM MARCO BASSETTO, Northwestern University",,EFCE,Lawrence Christiano; Martin Eichenbaum,2000,60.0,2000-07-27 11:30:00,21.0,33.0,,
A HABIT-BASED EXPLANATION OF THE EXCHANGE RATE RISK PREMIUM,"ADRIEN VERDELHAN, Boston University",35496364300;6601996611,IFM,Andrew Rose; Eric Van Wincoop,2006,80.0,2006-07-14 09:00:00,36.0,40.0,7.5,15.5
A LEVERAGE-BASED MODEL OF SPECULATIVE BUBBLES,"GADI BARLEVY, Federal Reserve Bank of Chicago",,EFCE,Lawrence Christiano; Martin Eichenbaum,2009,60.0,2009-07-06 09:00:00,,,,
"A MACRO-FINANCE MODEL OF THE TERM STRUCTURE, MONETARY POLICY, AND THE ECONOMY","GLENN RUDEBUSCH, Federal Reserve Bank of San Francisco; TAO WU, Federal Reserve Bank of San Francisco",,ME,Christina D. Romer; David H. Romer,2004,55.0,2004-07-14 13:55:00,,,,
A MONETARY SHOCK IN AN UNCERTAIN AND SEQUENTIAL TRADE MODEL,"BENJAMIN EDEN, University of Haifa",,EFCE,Lawrence Christiano; Martin Eichenbaum,2000,60.0,2000-07-24 09:00:00,278.0,508.0,,
A NEW KEYNESIAN MODEL WITH UNEMPLOYMENT,"OLIVIER BLANCHARD, MIT and NBER; JORDI GALI, MIT and NBER",,EFCE,Lawrence Christiano; Martin Eichenbaum,2006,60.0,2006-07-20 09:00:00,4.0,4.0,,
A NEW MICRO MODEL OF EXCHANGE RATE DYNAMICS,"MARTIN EVANS, Georgetown University and NBER; RICHARD LYONS, UC, Berkeley and NBER",9133069500,AP,John Cochrane; Pietro Veronesi,2004,60.0,2004-07-16 09:45:00,48.5,98.5,26.5,52.5
A NEW MICRO MODEL OF EXCHANGE RATE DYNAMICS,"MARTIN EVANS, Georgetown University and NBER; RICHARD LYONS, UC, Berkeley and NBER",6701710674,IFM,Allan Drazen; Nouriel Roubini,2003,60.0,2003-07-18 11:00:00,48.5,98.5,26.5,52.5
A NO-ARBITRAGE VECTOR AUTOREGRESSION OF TERM STRUCTURE DYNAMICS WITH MACROECONOMIC & LATENT VARIABLES,"ANDREW ANG, Columbia University; MONIKA PIAZZESI, Stanford University",,EFFE,Francis Diebold; Kenneth West,2000,60.0,2000-07-20 09:30:00,8.5,12.5,,
A NONLINEAR FACTOR ANALYSIS OF BUSINESS CYCLES WITH A LARGE DATA SET: EVIDENCE FROM JAPAN AND THE U.S.,"MOTOTSUGU SHINTANI, Vanderbilt University",,EFFE,Mark Watson; Kenneth West,2002,60.0,2002-07-18 09:00:00,46.0,59.0,,
A NONLINEAR MODEL OF THE BUSINESS CYCLE,"EDWARD LEAMER, UC, Los Angeles and NBER; SIMON POTTER, Federal Reserve Bank of New York",,EFFE,Mark Watson; Kenneth West,2003,60.0,2003-07-16 09:00:00,7.0,11.0,,
A PARSIMONIOUS MACROECONOMIC MODEL FOR ASSET PRICING: HABIT FORMATION OR CROSS-SECTIONAL HETEROGENEITY,"M. FATIH GUVENEN, University of Rochester",6602317029,AP,John Heaton; Leonid Kogan,2003,60.0,2003-07-17 10:00:00,42.0,62.0,6.0,18.0
A PHILLIPS CURVE WITH AN SS FOUNDATION,"MARK GERTLER, New York University and NBER; JOHN LEAHY, New York University and NBER",,EFCE,Lawrence Christiano; Martin Eichenbaum,2005,60.0,2005-07-18 11:30:00,12.5,29.0,,
A PHILLIPS CURVE WITH AN SS FOUNDATION,"MARK GERTLER, New York University and NBER; JOHN LEAHY, New York University and NBER",,ME,Christina Romer; David Romer,2006,55.0,2006-07-11 13:00:00,12.5,29.0,,
A QUASI MAXIMUM LIKELIHOOD APPROACH FOR LARGE APPROXIMATE DYNAMIC FACTOR MODELS,"CATHERINE DOZ, Universite Cergy-Pontoise; DOMENICO GIANNONE, Universite Libre de Bruxelles; LUCREZIA REICHLIN, European Central Bank",,EFFE,Mark Watson; Kenneth West,2007,60.0,2007-07-11 11:00:00,325.5,582.5,,
A REAL OPTIONS APPROACH TO HOUSING INVESTMENT,"CHRIS DOWNING, Federal Reserve Board; NANCY WALLACE, UC, Berkeley",7004513266,PERE,Joe Gyourko; Chris Mayer; Todd Sinai,2000,70.0,2000-08-01 08:30:00,3.0,2.0,4.0,4.0
A REFERENCE POINT THEORY OF MERGERS AND ACQUISITIONS,"MALCOLM BAKER, Harvard University and NBER; XIN PAN, Harvard University; JEFFREY WURGLER, New York University and NBER",7401621702,CF,Raghuram G. Rajan; Amir Sufi,2009,50.0,2009-07-06 16:00:00,4.333333333333333,11.0,20.0,26.0
A SEARCH FOR MULTIPLE EQUILIBRIA IN URBAN INDUSTRIAL STRUCTURE,"DONALD DAVIS, Columbia University and NBER; DAVID WEINSTEIN, Columbia University and NBER",7003688582,PERE,"Joe Gyourko; Chris Mayer,; Todd Sinai",2004,60.0,2004-08-03 10:00:00,15.0,21.0,1.0,1.0
A SEARCH-BASED THEORY OF THE ON-THE-RUN PHENOMENON,"DIMITRI VAYANOS, London School of Economics; PIERRE-OLIVIER WEILL, New York University",6508204775,AP,John Cochrane; Joshua Coval,2005,60.0,2005-07-15 09:45:00,24.5,145.5,5.0,18.0
A SHRINKAGE APPROACH TO MODEL UNCERTAINTY AND ASSET ALLOCATION,"ZHENYU WANG, Columbia University",7006465007,AP,Andrew Ang; Robert Hodrick,2002,60.0,2002-07-18 11:00:00,15.0,23.0,6.0,18.0
A SIMPLE BENCHMARK FOR FORECASTS OF GROWTH AND INFLATION,"MASSIMILIANO MARCELLINO, Bocconi University",,EFFE,Mark Watson; Kenneth West,2006,60.0,2006-07-12 11:00:00,169.0,552.0,,
A SIMPLE FRAMEWORK FOR INTERNATIONAL MONETARY POLICY ANALYSIS,"RICHARD CLARIDA, Columbia University and NBER; JORDI GALI, Universitat Pompeu Fabra and NBER; MARK GERTLER, New York University and NBER",,ME,Ben Bernanke,2002,60.0,2002-07-17 14:15:00,48.333333333333336,141.33333333333334,,
"A SIMPLE, UNIFIED, EXACTLY SOLVED FRAMEWORK FOR TEN PUZZLES IN MACRO-FINANCE","XAVIER GABAIX, New York University and NBER",,EFCE,Lawrence Christiano; Martin Eichenbaum,2007,60.0,2007-07-20 11:30:00,13.0,31.0,67.0,180.0
"A SIMPLE, UNIFIED, EXACTLY SOLVED FRAMEWORK FOR TEN PUZZLES IN MACRO-FINANCE","XAVIER GABAIX, New York University and NBER",8850820200,EFEL,Janice Eberly; Deborah Lucas,2007,50.0,2007-07-16 13:00:00,13.0,31.0,67.0,180.0
A SOLUTION TO THE DEFAULT RISK-BUSINESS CYCLE DISCONNECT,"ENRIQUE MENDOZA, University of Maryland and NBER; VIVIAN YUE, New York University",6701711758,IFM,Linda Goldberg; Nelson Mark,2008,60.0,2008-07-11 11:00:00,17.0,30.0,13.0,22.0
A SOLUTION TO TWO PARADOXES OF INTERNATIONAL CAPITAL FLOWS,"JIANDONG JU, University of Oklahoma; SHANG-JIN WEI, Harvard University and NBER",6507947601;6506962565,IFM,Andrew Rose; Eric Van Wincoop,2006,80.0,2006-07-12 10:40:00,89.0,78.0,68.0,166.0
A STRUCTURAL BREAK IN U.S. GDP?,"DAVID N. DEJONG, University of Pittsburgh; ROMAN LISENFELD, University of Pittsburgh; JEAN-FRANCOIS RICHARD, University of Pittsburgh",,EFFE,Mark Watson; Kenneth West,2003,60.0,2003-07-17 11:30:00,59.0,56.0,,
A THEORY OF FIRM SCOPE,"OLIVER HART, Harvard University and NBER; BENGT HOLMSTROM, MIT and NBER",7102619783,CF,Raghuram G. Rajan; Amir Sufi,2009,50.0,2009-07-06 10:20:00,2.5,2.0,7.0,18.0
A THEORY OF PARTNERSHIPS,"JONATHAN LEVIN, Stanford University; STEVE TADELIS, Stanford University",6602659594,CF,Marianne Bertrand; Sendhil Mullainathan,2002,75.0,2002-08-05 11:15:00,2.0,2.0,173.0,467.0
A THEORY OF RATIONAL INFLATIONARY INERTIA,"GUILLERMO CALVO, University of Maryland and NBER; OYA CELASUN, University of Maryland; MICHAEL KUMHOF, Stanford University",7201590382,IFM,Kathryn Dominguez; Michael Dooley,2001,100.0,2001-07-16 11:00:00,18.666666666666668,21.0,102.0,129.0
A THEORY OF ROBUST LONG-RUN VARIANCE ESTIMATION,"ULRICH McLLER, Princeton University",,EFFE,Mark Watson; Kenneth West,2004,60.0,2004-07-15 11:00:00,19.0,23.0,,
A TRANSACTION LEVEL STUDY OF THE EFFECTS OF CENTRAL BANK INTERVENTION ON EXCHANGE RATES,"RICHARD PAYNE, London School of Economics; PAOLO VITALE, London School of Economics",35585929500,IFM,Kathryn Dominguez; Allan Drazen,2002,60.0,2002-07-18 09:00:00,39.0,262.0,88.0,181.0
A UNIFIED FRAMEWORK FOR MEASURING PREFERENCES FOR SCHOOLS AND NEIGHBORHOODS (AND DATA DETAILS),"PATRICK BAYER, Yale University; FERNANDO FERREIRA, UC, Berkeley; ROBERT MCMILLAN, University of Toronto",7103390682,PERE,Joe Gyourko; Chris Mayer; Todd Sinai,2003,60.0,2003-07-29 15:30:00,13.666666666666666,12.333333333333334,19.0,22.0
"A, B, C'S (AND D)'S FOR UNDERSTANDING VARS","JESUS FERNANDEZ-VILLAVERDE, University of Pennsylvania and NBER; JUAN F. RUBIO-RAMIREZ, Federal Reserve Bank of Atlanta; THOMAS J. SARGENT, New York University and NBER",,EFCE,Lawrence Christiano; Martin Eichenbaum,2005,60.0,2005-07-19 10:15:00,8.5,23.5,,
ACCELERATED ASYMPTOTICS FOR DIFFUSION MODEL ESTIMATION,"FEDERICO BANDI, University of Chicago; PETER PHILLIPS, Yale University",,EFFE,Francis Diebold; Kenneth West,2000,60.0,2000-07-21 09:30:00,7.5,14.5,,
ACCOUNTING FOR A SHIFT IN TERM STRUCTURE BEHAVIOR WITH NO-ARBITRAGE AND MACRO-FINANCE MODELS,"GLENN RUDEBUSCH, Federal Reserve Bank of San Francisco; TAO WU, Federal Reserve Bank of San Francisco",,EFFE,Mark Watson; Kenneth West,2005,60.0,2005-07-13 11:00:00,,,,
ADJUSTING TO CAPITAL LIBERALIZATION,"KOSUKE AOKI, London School of Economics; GIANLUCA BENIGNO, London School of Economics; NOBUHIRO KIYOTAKI, London School of Economics and NBER; PAOLO PESENTI, Federal Reserve Bank of New York and NBER",6701920051;7003275699,IFM,Andrew Rose; Eric Van Wincoop,2006,80.0,2006-07-10 09:00:00,37.0,252.0,,
ADVERSE SELECTION AND THE ACCELERATOR,"CHRISTOPHER HOUSE, Boston University",57202768608,EFEL,Janice Eberly; Deborah Lucas,2001,60.0,2001-07-18 15:15:00,40.0,44.0,8.0,10.0
"AGE, LUCK AND INHERITANCE","JESS BENHABIB, New York University and NBER; Shenghao Zhu, New York University",,EFCE,Lawrence Christiano; Martin Eichenbaum,2008,60.0,2008-07-07 09:00:00,12.0,32.0,,
"AGENCY CONFLICTS, ASSET SUBSTITUTION, AND SECURITIZATION","CHRIS MAYER, Columbia University and NBER; YINGJIN HILA GAN, Lehman Brothers",7003382478,PERE,Joe Gyourko; Chris Mayer; Todd Sinai,2006,60.0,2006-07-26 08:30:00,12.0,18.0,202.0,535.0
"AGENCY CONFLICTS, INVESTMENT, AND ASSET PRICING","NENG WANG, Columbia University; RUI ALBUQUERQUE, Boston University",36138563300,EFEL,Janice Eberly; Deborah Lucas,2006,50.0,2006-07-19 15:45:00,24.0,29.0,332.0,663.0
AGGLOMERATION ECONOMIES AND THE HIGH-TECH COMPUTER CLUSTER,"NANCY WALLACE, UC, Berkeley; DONALD WALLS, Walls Associates",7006715604,PERE,"Joe Gyourko; Chris Mayer,; Todd Sinai",2004,60.0,2004-08-03 08:30:00,3.0,3.0,30.0,27.0
AGGREGATE CONSEQUENCES OF LIMITED CONTRACT ENFORCEABILITY,"TOM COOLEY, New York University; VINCENZO QUADRINI, New York University; RAMON MARIMON, European University Institute and NBER",7701323997,EFEL,Janice Eberly; Deborah Lucas,2001,50.0,2001-07-19 16:40:00,93.33333333333333,229.0,4.0,4.0
AGGREGATE RISK IN JAPANESE EQUITY MARKETS,"R. ANTON BRAUN, University of Tokyo; ETSURO SHIOJI, Yokohama National University",,EFCE,Lawrence Christiano; Martin Eichenbaum,2003,60.0,2003-07-25 11:30:00,230.5,264.5,,
AGGREGATION AND THE PPP PUZZLE IN A STICKY PRICE MODEL,"CARLOS CARVALHO, Federal Reserve Bank of New York; FERNANDA NECHIO, Princeton University",7005785064;7007064657,IFM,Linda Goldberg; Nelson Mark,2008,80.0,2008-07-07 10:40:00,19.0,26.0,104.0,256.5
AGREEING NOW TO AGREE LATER: CONTRACTS THAT RULE OUT BUT DO NOT RULE IN,"OLIVER HART, Harvard University and NBER; JOHN MOORE, London School of Economics",57202344470,CF,Denis Gromb; Antoinette Schoar,2004,50.0,2004-07-12 15:50:00,19.5,137.5,9.0,18.0
ALTERNATIVE MODELS FOR STOCK PRICE DYNAMICS,"MIKHAIL CHERNOV, Columbia University; A. RONALD GALLANT, University of North Carolina at Chapel Hill; ERIC GHYSELS, University of North Carolina at Chapel Hill; GEORGE TAUCHEN, Duke University",,EFFE,Mark Watson; Kenneth West,2002,60.0,2002-07-17 10:15:00,23.5,29.75,,
AMERICANS DO I.T. BETTER: US MULTINATIONALS AND THE PRODUCTIVITY MIRACLE,"NICK BLOOM, Stanford University and NBER; RAFFAELLA SADUN, London School of Economics; JOHN VAN REENEN, London School of Economics and NBER",,EFCE,Lawrence Christiano; Martin Eichenbaum,2007,60.0,2007-07-18 11:30:00,24.666666666666668,163.66666666666666,,
AN ALTERNATIVE SENSE OF ASYMPTOTIC EFFICIENCY,"ULRICH MULLER, Princeton University",,EFFE,Mark Watson; Kenneth West,2008,60.0,2008-07-09 11:00:00,19.0,26.0,,
AN ECONOMETRIC MODEL OF THE YIELD CURVE WITH MACROECONOMIC JUMP EFFECTS,"MONIKA PIAZZESI, Stanford University",,EFCE,Lawrence Christiano; Martin Eichenbaum,2000,60.0,2000-07-26 09:00:00,2.0,3.0,,
AN EMPIRICAL ANALYSIS OF THE PRICING OF COLLATERALIZED DEBT OBLIGATIONS,"FRANCIS LONGSTAFF, UC, Los Angeles and NBER; ARVIND RAJAN, Citigroup",6603409344,RISK,Mark Carey; Rene Stulz,2006,60.0,2006-07-13 11:00:00,7.0,10.0,2.0,2.0
AN EMPIRICAL COMPARISON OF METHODS FOR FORECASTING USING MANY PREDICTORS,"JAMES STOCK, Harvard University and NBER; MARK WATSON, Princeton University and NBER",,EFFE,Mark Watson; Kenneth West,2005,60.0,2005-07-14 09:45:00,10.5,12.5,,
AN EMPIRICAL TEST OF A CONTINGENT CLAIMS LEASE VALUATION MODEL,"RICHARD STANTON, UC, Berkeley; NANCY WALLACE, UC, Berkeley",6506641986,AMRE,William Goetzmann; Tobias Moskowitz,2002,60.0,2002-07-19 16:00:00,3.0,3.0,8.0,10.0
AN EMPIRICAL TEST OF A TWO FACTOR MORTGAGE PRE-PAYMENT AND VALUATION MODEL: HOW MUCH DO HOUSE PRICES MATTER?,"CHRIS DOWNING, Federal Reserve Board; RICHARD STANTON, UC, Berkeley; NANCY WALLACE, UC, Berkeley",7101966021,AMRE,"Andrew Caplin, William Goetzmann",2001,60.0,2001-07-18 10:15:00,3.0,2.0,16.0,23.0
AN EQUILIBRIUM MODEL OF INVESTMENT UNDER UNCERTAINTY,"ROBERT NOVY-MARX, UC, Berkeley",7005009452,AP,John Heaton; Leonid Kogan,2003,60.0,2003-07-18 09:00:00,3.0,3.0,23.0,36.0
AN EQUILIBRIUM MODEL OF RARE EVENT PREMIA,"JUN LIU, UC, Los Angeles; JUN PAN, MIT; TAN WANG, University of British Columbia",7201524371,AP,Andrew Ang; Robert Hodrick,2002,60.0,2002-07-19 13:15:00,16.666666666666668,20.333333333333332,22.0,34.0
AN ESTIMATED GENERAL EQUILIBRIUM MODEL FOR THE ANALYSIS OF MONETARY POLICY,"DAVID ALTIG, Federal Reserve Bank of Cleveland; LAWRENCE CHRISTIANO, Northwestern University and NBER; MARTIN EICHENBAUM, Northwestern University and NBER; JESPER LINDE, Sveriges Riksbank",,EFCE,Lawrence Christiano; Martin Eichenbaum,2002,60.0,2002-07-24 13:00:00,22.0,34.0,,
AN ESTIMATED MODEL OF THE US BUSINESS CYCLE,"DAVID ALTIG, Federal Reserve Bank of Cleveland; LAWRENCE CHRISTIANO, Northwestern University and NBER; MARTIN EICHENBAUM, Northwestern University and NBER; JESPER LINDE, Sveriges Riksbank",,EFCE,Lawrence Christiano; Martin Eichenbaum,2004,60.0,2004-07-21 09:00:00,23.0,37.0,,
AN ESTIMATED MONETARY DSGE MODEL WITH UNEMPLOYMENT AND STAGGERED NASH WAGE BARGAINING,"MARK GERTLER, New York University and NBER; LUCA SALA, Bocconi University; ANTONELLA TRIGAR, Bocconi University",,EFCE,Lawrence Christiano; Martin Eichenbaum,2007,60.0,2007-07-17 09:00:00,127.66666666666667,388.3333333333333,,
AN EVALUATION OF PRELIMINARY DATA ANNOUNCEMENT RATIONALITY & BUSINESS CYCLE ASYMMETRY,"NORMAN SWANSON, Texas A&M University; DICK VAN DYJK",,EFFE,Mark Watson; Kenneth West,2001,60.0,2001-07-20 11:30:00,46.0,58.0,,
AN EXAMINATION OF HETEROGENEOUS BELIEFS WITH A SHORT SALE CONSTRAINT,"MICHAEL GALLMEYER, Carnegie Mellon University; BURTON HOLLIFIELD, Carnegie Mellon University",7102998555,EFEL,Janice Eberly; Deborah Lucas,2002,50.0,2002-07-23 16:20:00,57.0,164.0,9.0,19.0
AN IMPROVED ANNUAL CHRONOLOGY OF U.S. BUSINESS CYCLES SINCE THE 1790'S,"JOSEPH DAVIS, The Vanguard Group and NBER",,ME,Christina Romer; David Romer,2005,55.0,2005-07-15 15:05:00,,,,
AN OPTIMIZING MODEL OF U.S. WAGE AND PRICE DYNAMICS,"ARGIA SBORDONNE, Rutgers University",,EFCE,Lawrence Christiano; Martin Eichenbaum,2000,60.0,2000-07-28 10:15:00,37.5,42.5,,
AN OPTIMIZING MODEL OF U.S. WAGE AND PRICE DYNAMICS,"ARGIA SBORDONE, Rutgers University",,ME,Ben Bernanke,2001,60.0,2001-07-16 13:00:00,37.5,42.5,,
AN UNBIASED & POWERFUL TEST FOR SUPERIOR PREDICTIVE ABILITY,"PETER REINHARD HANSEN, Brown University",,EFFE,Mark Watson; Kenneth West,2001,60.0,2001-07-17 10:15:00,50.0,51.0,,
ANALYTICS OF SOVEREIGN DEBT RESTRUCTURING,"ANDREW HALDANE, Bank of England; ADRIAN PENALVER, Bank of England; VICTORIA SAPORTA, Bank of England; HYUN SONG SHIN, London School of Economics",7102972123,IFM,Allan Drazen; Nouriel Roubini,2003,60.0,2003-07-17 09:00:00,37.0,252.0,98.0,68.0
ANCHORING BIAS IN CONSENSUS FORECASTS AND ITS EFFECT ON MARKET PRICES,"SEAN CAMPBELL, Federal Reserve Board; STEVEN SHARPE, Federal Reserve Board",,EFFE,Mark Watson; Kenneth West,2007,60.0,2007-07-12 08:30:00,,,,
ANTICIPATED RAMSEY REFORMS AND THE UNIFORM TAXATION PRINCIPLE THE ROLE OF INTERNATIONAL FINANCIAL MARKETS,"STEFANIE SCHMITT-GROHE, Rutgers University and NBER; MARTIN URIBE, University of Pennsylvania and NBER",,EFCE,Lawrence Christiano; Martin Eichenbaum,2002,60.0,2002-07-22 15:15:00,21.5,28.5,,
"ANTICIPATED UNCERTAINTY, EARNINGS ANNOUNCEMENTS, AND EQUITY OPTIONS","ANDREW DUBINSKY, Columbia University; MICHAEL JOHANNES, Columbia University",7004241060,AP,Ravi Jagannathan; Tano Santos,2006,60.0,2006-07-14 11:00:00,12.0,18.0,3.0,3.0
ARE HOUSEHOLDS' CHOICES CONSISTENT? EVIDENCE FROM INSURANCE DATA,"LEVON BARSEGHYAN, Cornell University; JEFFREY PRINCE, Cornell University; JOSHUA TEITELBAUM, Cornell University",,EFCE,Lawrence Christiano; Martin Eichenbaum,2007,60.0,2007-07-18 10:15:00,10.0,9.0,,
ARE MACROECONOMIC VARIABLES USEFUL FOR FORECASTING THE DISTRIBUTION OF U.S. INFLATION?,"SEBASTIANO MANZAN, Baruch College; DAWIT ZEROM, California State University at Fresno",,EFFE,Mark Watson; Kenneth West,2009,60.0,2009-07-08 09:45:00,827.5,934.0,,
ARE PERKS PURELY MANAGERIAL EXCESS?,"RAGHURAM RAJAN, University of Chicago and NBER; JULIE WULF, University of Pennsylvania",56069219500,CF,Denis Gromb; Antoinette Schoar,2004,50.0,2004-07-12 13:50:00,8.5,18.5,8.0,19.0
ARE STOCKS REALLY LESS VOLATILE IN THE LONG RUN?,"LUBOS PASTOR, University of Chicago and NBER; ROBERT STAMBAUGH, University of Pennsylvania and NBER",7401976575,AP,Stavros Panageas; Monika Piazzesi,2009,90.0,2009-07-10 15:00:00,6.5,17.5,11.0,31.0
ARE UNDERSERVED BORROWERS LOWER RISK? NEW EVIDENCE ON THE PERFORMANCE AND PRICING OF FHA-INSURED MORGAGES,"YONGHENG DENG, University of Southern California;STUART GABRIEL, University of Southern California",7102716111,PERE,Joe Gyourko; Chris Mayer; Todd Sinai,2003,60.0,2003-07-29 08:30:00,43.0,59.0,3.0,3.0
ASSESSING NOMINAL INCOME RULES FOR MONETARY POLICY WITH MODEL AND DATA UNCERTAINTY,"GLENN RUDEBUSCH, Federal Reserve Bank of San Francisco",,ME,N. Gregory Mankiw,2000,60.0,2000-07-19 13:00:00,,,,
ASSESSING STRUCTURAL VARS,"LAWRENCE CHRISTIANO, Northwestern University and NBER; MARTIN EICHENBAUM, Northwestern University and NBER; ROB VIGFUSSON, Federal Reserve Board",,EFCE,Lawrence Christiano; Martin Eichenbaum,2005,60.0,2005-07-19 11:30:00,21.0,37.0,,
ASSESSING THE EFFECTS OF LOCAL TAXATION USING MICROGEOGRAPHIC DATA,"GILLES DURANTON, University of Toronto; LAURENT GOBILLON, Institut National d'Etudes Demographiques; HENRY OVERMAN, London School of Economics",7102587835,PERE,Joe Gyourko; Chris Mayer; Todd Sinai,2007,60.0,2007-07-24 13:00:00,31.0,135.5,1.0,1.0
ASSESSING THE LUCAS CRITIQUE IN MONETARY POLICY MODELS,"GLENN RUDEBUSCH, Federal Reserve Bank of San Francisco",,ME,Ben Bernanke,2002,60.0,2002-07-16 13:00:00,,,,
ASSET FIRE SALES (AND PURCHASES) IN EQUITY MARKETS,"JOSH COVAL, Harvard University and NBER; ERIK STAFFORD, Harvard University",6602077254,CF,Jeremy Stein; Steven Kaplan,2005,50.0,2005-08-02 13:10:00,1.0,1.0,5.0,18.0
"ASSET INDIVISIBILITY, SECURITY DESIGN, AND ASSET QUALITY","CHRIS DOWNING, Rice University; DWIGHT JAFFE, UC, Berkeley; NANCY WALLACE, UC, Berkeley",55467215200,PERE,Joe Gyourko; Chris Mayer; Todd Sinai,2006,60.0,2006-07-26 10:00:00,36.0,36.333333333333336,12.0,18.0
ASSET PRICES AND EXCHANGE RATES,"ANNA PAVLOVA, MIT; ROBERTO RIGOBON, MIT and NBER",7005785064,IFM,Allan Drazen; Nouriel Roubini,2003,60.0,2003-07-18 09:30:00,4.0,4.0,19.0,22.0
ASSET PRICES WHEN AGENTS ARE MARKED TO MARKET,"GARY GORTON, University of Pennsylvania and NBER; PING HE, University of Illinois at Chicago; LIXIN HUANG, City University of Hong Kong",6602234506,RISK,Mark Carey; Rene Stulz,2006,60.0,2006-07-13 09:45:00,221.33333333333334,413.6666666666667,,
