eid,year,references,journals
2-s2.0-0040357389,2000,0016525445|0023366752|85024536192|38249043779|0001294377|0000466473|85020616309|50549094598|84960566726|0031665860,"Psychological Bulletin|European Journal of Operational Research|American Economic Review|Economics Letters|Theoretical Population Biology|Games and Economic Behavior|American Economic Review|Journal of Law, Economics, and Organization|Quarterly Journal of Economics|World development indicators 1998"
2-s2.0-0040357388,2000,84916228748|84963015050|0001097233|0001891557|0028568868|0031161360|43949174900|0001922643|0001282348|84947586303|0038855886|85010796670,Review of Economic Studies|Quarterly Journal of Economics|Journal of Political Economy|Journal of Economic Dynamics and Control|American Economic Review|Journal of Monetary Economics|Carnegie-Rochester Confer. Series on Public Policy|Journal of Public Economics|Journal of International Economics|Quarterly Journal of Economics|Journal of International Economics|American Economic Review
2-s2.0-0040141808,2000,0031497003|0040166525|21144474111|0001817809|85077381908|85004954193|0040166519|0000967520|0016928275,"RAND Journal of Economics|Applied Economics|Journal of Law, Economics, and Organization|International Journal of Industrial Organization|RAND Journal of Economics|American Economic Review|The Electricity Journal|Journal of Law, Economics, and Organization|Bell J Econ"
2-s2.0-0040141560,2000,0002405730|85010390101|0039624712|0038726990|0033147687,Journal of Economic Theory|Journal of Political Economy|American Economic Review|Brookings Papers on Economic Activity|Journal of Monetary Economics
2-s2.0-0039964955,2000,0000749809|0006761611|0001503097|0032416910|0003170891,Journal of Financial Economics|Journal of Finance|Journal of Finance|Journal of Political Economy|Journal of Financial Economics
2-s2.0-0039964954,2000,0001301087|0346307679|84888478571,Journal of Political Economy|NBER Macroeconomics Annual|Quarterly Journal of Economics
2-s2.0-0039964953,2000,0001059841|0009167334,Journal of Financial Economics|Journal of Finance
2-s2.0-0039925701,2000,84963017835|0029799741|44949279838|84982953439|0012280195|38249031139,"Quarterly Journal of Economics|American Economic Review|Journal of Monetary Economics|A Monetary History of the United States, 1867-1960|Review of Economic Dynamics|Economics Letters"
2-s2.0-0039925696,2000,21344439939|21144482981|0001951962|0030295914|0001841388|19444373540|38249016362|19044389993|0003288959|0001117033|21844493045|0030525126|0002987484,Public Choice|Public Choice|Journal of Political Economy|Journal of Public Economics|American Economic Review|Social Choice and Welfare|Journal of Public Economics|Economics of Education Review|Journal of Public Economic Theory|American Economic Review|Public Choice|Journal of Law and Economics|World Bank Research Observer
2-s2.0-0039765491,2000,0008995407|49049133343|0039129536,Journal of Finance|Journal of Economic Theory|Review of Economic Studies
2-s2.0-0039765358,2000,77956730414|0033294202|0032908142,Handbook of Macroeconomics|Canadian Public Policy|International Journal of Finance and Economics
2-s2.0-0039765357,2000,0002738496|0032218262|0042538828|0034035847|0031474088|0028826968,Review of Economic Dynamics|Macroeconomic Dynamics|Journal of International Economics|Journal of International Economics|Journal of Political Economy|International Economic Review
2-s2.0-0039765355,2000,21844504524|0030402913|0038969196|0030370039|0030511150|0032451887|0038969032|0030526068|0038428529|0000040951|0000660646|85121551758|2942757485,"Quarterly Journal of Economics|Journal of Political Economy|Quarterly Journal of Economics|Econometrica|Journal of Monetary Economics|Journal of Political Economy|Quarterly Journal of Economics|Journal of Business and Economic Statistics|Journal of Monetary Economics|American Economic Review|American Economic Review|Value, Capital and Growth|Quarterly Journal of Economics"
2-s2.0-0039765354,2000,84963257520|0038969196|0000040951|0001346793|0000660646|34247529903|0000851789,Journal of Political Economy|Quarterly Journal of Economics|American Economic Review|Journal of Public Economics|American Economic Review|Cognitive Psychology|Journal of Economic Perspectives
2-s2.0-0039765322,2000,0032415657|0040153325|84968689026,Oxford Economic Papers|Quarterly Journal of Economics|American Economic Review
2-s2.0-0039765316,2000,84960560972|0002018338|0001885879,Quarterly Journal of Economics|IMF Staff Papers|Review of Income and Wealth
2-s2.0-0039765315,2000,,
2-s2.0-0039765314,2000,0039689126,National Tax Journal
2-s2.0-0039765311,2000,84890591632|84950457501|0034072484,Heaven's Door: Immigration Policy and the American Economy|Journal of the American Statistical Association|Journal of Political Economy
2-s2.0-0039765310,2000,,
2-s2.0-0039765309,2000,21844489948|0038959169|0032218503|0027769263,Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Population Economics|Journal of Human Resources
2-s2.0-0039765307,2000,0347027955,Feminist Economics
2-s2.0-0039550186,2000,0018188072|0018448141|0007247305|0020352276|0022509793|0032257831,Science|The Quarterly review of biology|American Economic Review|Appetite|Annual review of nutrition|Journal of Consumer Research
2-s2.0-0039423815,2000,0012219673|84977726267,American Economic Review|The Journal of Finance
2-s2.0-0039333359,2000,0002284581|0029508026|0027760444|34248478595|0040787917|0011826570|49849118671,Journal of International Economics|Journal of International Economics|Quarterly Journal of Economics|Journal of International Economics|Journal of Economic Theory|Journal of Risk and Uncertainty|Journal of Economic Theory
2-s2.0-0039333354,2000,0000553727|38249034344|0027770471|0001543542|1542603533|38249007552|1542422513|0001841388|0029908088|0008848582|0008994731|0002842737|84960575613|70350108833|0000033721|0031311878,Econometrica|Journal of Public Economics|Quarterly Journal of Economics|European Economic Review|American Economic Review|Regional Science and Urban Economics|Journal of Economic Growth|American Economic Review|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Public Economics|Journal of Public Economics|Review of Economic Studies|Handbook of Industrial Organization|Journal of Economic Perspectives|Public Choice
2-s2.0-0039172899,2000,0001156881,Journal of Comparative Economics
2-s2.0-0039172894,2000,0042341336,Carnegie-Rochester Confer. Series on Public Policy
2-s2.0-0039172850,2000,0031422341|0027832585,American Economic Review|Journal of Political Economy
2-s2.0-0039172849,2000,0031422341|0031397815|0027832585,American Economic Review|American Economic Review|Journal of Political Economy
2-s2.0-0039172847,2000,,
2-s2.0-0039172846,2000,,
2-s2.0-0039172844,2000,,
2-s2.0-0039172841,2000,0030135971|77956742053,Demography|Handbook of Population and Family Economics
2-s2.0-0039172837,2000,0028580337|0029395995|0025653532,Population & Development Review|Journal of Population Economics|Journal of Population Economics
2-s2.0-0039172836,2000,0027770211|0039646854,Journal of Political Economy|Journal of Labor Economics
2-s2.0-0039172832,2000,0040955214|0000093081,Journal of Labor Economics|Industrial and Labor Relations Review
2-s2.0-0039172826,2000,0001603778|0000822967|0039448668|0007262468,American Economic Review|Journal of American History|Journal of Abnormal and Social Psychology|Quarterly Journal of Economics
2-s2.0-0038957287,2000,85121311859|0018448141|0034218957|0346072449|0025853962|0030100132|0030696195|0022898511|0032220719|22444453572|0033159020|0026110450|45449083916,"The Automaticity of Everyday Life: Advances in Social Cognition, Volume X|The Quarterly review of biology|Journal of Personality and Social Psychology|Journal of Economic Literature|Science|Organizational Behavior and Human Decision Processes|Journal of Research in Crime and Delinquency|Psychophysiology|Marketing Science|Journal of Behavioral Decision Making|American Psychologist|Journal of Personality and Social Psychology|American Psychologist"
2-s2.0-0038957285,2000,0001151776|0031499371|84948495531,Journal of Economic Perspectives|Journal of Economic Education|Journal of Economic Education
2-s2.0-0038771861,2000,0031742259|84950423285|84977350409|0000715954|0022881229,Economic Journal|Journal of the American Statistical Association|International Social Security Review|Journal of Economic Literature|Bulletin of the World Health Organization
2-s2.0-0038432480,2000,0011063897,Journal of Finance
2-s2.0-0038381745,2000,21744456542|3042875026|0034423774|84959849294,Contemporary Economic Policy|Journal of Economics/ Zeitschrift fur Nationalokonomie|Scandinavian Journal of Economics|Quarterly Journal of Economics
2-s2.0-0038370983,2000,0028600244|0029515109|0001135052|0038032763|84977722451|85010390101|44049112945|0002099196,The Journal of Economic History|American Economic Review|American Economic Review|The Journal of Economic History|The Journal of Finance|Journal of Political Economy|Journal of Financial Economics|Journal of Economic Behavior and Organization
2-s2.0-0038369414,2000,0001175591|0030659729|0001955946|0030161228|77956736145|49149136203|85016078433|0030115873|0027749736|44049119782|0002658834|20044388717|33751189676|15244363192|45549116427|0031993515|0029800061|0030639692|0001219386|0002643507,Journal of Monetary Economics|Journal of Political Economy|Journal of Economic Theory|Journal of Monetary Economics|Handbook of Macroeconomics|Journal of Monetary Economics|American Economic Review|Journal of Monetary Economics|Journal of Political Economy|Journal of Monetary Economics|Journal of Economic Theory|Journal of Economic Theory|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Monetary Economics|American Economic Review|Journal of Economic Theory|Journal of Economic Dynamics and Control|Journal of Economic Theory
2-s2.0-0037738676,2000,40949156133|0000482432|0000618084|33845732007|0003015044|0001257372|84973995084|0031232109,Journal of Public Economics|Journal of Public Economics|American Economic Review|American Political Science Review|Public Choice|Journal of Public Economics|American Political Science Review|Journal of Public Economics
2-s2.0-0013412103,2000,0030659729|0026324846|0001666243|84960562506|38249030129|0009363623|0001916107|0010792772|0000198452|34547433726|84960613490|84960612669|85077374580|84920599492|0000148934|84963078964,Journal of Political Economy|Journal of Political Economy|Journal of Monetary Economics|Quarterly Journal of Economics|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Monetary Economics|American Economic Review|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|RAND Journal of Economics|Development and Planning: Essays in Honour of Paul Rosenstein Rodan|Economics Letters|Quarterly Journal of Economics
2-s2.0-0013311142,2000,0001339668|84960586010|49849118671,Journal of Economic Theory|Quarterly Journal of Economics|Journal of Economic Theory
2-s2.0-0013203850,2000,0030842768|0027040457|0033954283|0033975727|0039172849,Journal of International Economics|Quarterly Journal of Economics|Journal of International Economics|Journal of International Economics|American Economic Review
2-s2.0-0013203029,2000,0029799225|0039054589|0028551733|84959845015|85017108575|0000605080|77956715697|77956832377|0344658157|85019497122,American Economic Review|Journal of Labor Economics|European Economic Review|Review of Economic Studies|Econometrica|Journal of Monetary Economics|Handbook of Macroeconomics|Handbook of Labor Economics|Handbook of Statistics|American Economic Review
2-s2.0-0013044473,2000,0009429977|0003178521|0000908809,Review of Economic Dynamics|Review of Economic Dynamics|Review of Economic Dynamics
2-s2.0-0013037051,2000,0000801478|0033275147|0040805999|0034077757|0000694584,Journal of Economic Literature|Brookings Papers on Economic Activity|Quarterly Journal of Economics|Journal of Political Economy|National Tax Journal
2-s2.0-0012491261,2000,0003051903,Pacific Basin Finance Journal
2-s2.0-0012486103,2000,84959748430|0027067288|84948868795|84977341011|84888748767|84920176440|0027743758|0030390079|0039648481|0024990448|0000248761|0040763884,"Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics|Journal of Political Economy|Review of Economic Studies|American Economic Review|American Economic Review|Journal of Economic History|Journal of Money, Credit and Banking|The Journal of Economic History|Quarterly Journal of Economics|The Journal of Economic History"
2-s2.0-0012465380,2000,38249033570,Journal of Economic Theory
2-s2.0-0012261280,2000,84959805365|0031466127|0040062315|0000257419|0040250393|0000706041|0025621039|84963060954|38249024585|84960606812,Review of Economic Studies|American Economic Review|Quarterly Journal of Economics|Review of Economic Dynamics|Quarterly Journal of Economics|Journal of Economic Literature|Quarterly Journal of Economics|Review of Economic Studies|Economics Letters|Quarterly Journal of Economics
2-s2.0-0012219673,2000,0000190785|0016779859|0039423815|0001405256,Journal of Economic Perspectives|Academy of Management journal. Academy of Management|American Economic Review|American Economic Review
2-s2.0-0012193812,2000,0032766867|0000473191|84983861110|0000378735|0040016339|0031411210|84960609976|0002364086|0001255098|0027770211|0001581710|0003051404,Journal of Political Economy|Review of Economic Studies|Journal of Applied Econometrics|Economic Journal|Quarterly Journal of Economics|American Economic Review|Review of Economic Studies|Journal of Economic Perspectives|Econometrica|Journal of Political Economy|Review of Economic Studies|Journal of Economic Growth
2-s2.0-0012100872,2000,0032443201|0000943103,The analysis of household surveys: a microeconomic approach to development policy|Review of Social Economy
2-s2.0-0011831941,2000,0039176437|0030364687|0027040457|0001060374|0029483917,Journal of Labor Economics|Econometrica|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Political Economy
2-s2.0-0011699499,2000,0010005905|0039584573|0038291084|0011576693|0000911771,American Economic Review|American Economic Review|American Economic Review|American Economic Review|American Economic Review
2-s2.0-0011576693,2000,,
2-s2.0-0011281434,2000,8344287983|0000511563,Journal of Monetary Economics|Journal of Economic Growth
2-s2.0-0011225655,2000,0029704157|0026445831|0027834981|0028867102|0031433870|0033306370|0031455564,Research in population economics|Journal of African Economies|World Bank Economic Review|Economic Journal|Journal of Development Economics|Journal of Development Economics|Review of Economic Studies
2-s2.0-0010375992,2000,0039176437|0040609204|0032420542,Journal of Labor Economics|American Economic Review|Journal of Human Resources
2-s2.0-0009935535,2000,85027797376|0030463848|85021411385|0028570634|0001669237|0031535295|0040853351,Discrimination in Labor Markets|Journal of Political Economy|Journal of Applied Psychology|Journal of Political Economy|American Psychologist|Academy of Management Review|European Economic Review
2-s2.0-0009917644,2000,0032366191|0002087916|84981573630|0003044780|0029906247|0030075054,Southern Economic Journal|Journal of Economic Perspectives|Oxford Bulletin of Economics and Statistics|American Economic Review|American Economic Review|Demography
2-s2.0-0009394690,2000,,
2-s2.0-0008712080,2000,84974489645|0001286236|0029849418,American Political Science Review|Review of Economic Studies|European Economic Review
2-s2.0-0008150507,2000,0008703841|84977349295|0026314550|48749143178|0030524915|34347297673|84974080768|38249001902|84982953439|33847514005|0012486103|0040942670|49549131607,"Quarterly Journal of Economics|Economic Inquiry|The Journal of Economic History|Journal of Monetary Economics|Journal of Monetary Economics|The Economic History Review|The Journal of Economic History|Journal of Monetary Economics|A Monetary History of the United States, 1867-1960|Quarterly Journal of Economics|American Economic Review|Review of Economics and Statistics|Journal of Monetary Economics"
2-s2.0-0007389980,2000,0030551316|0026277597|0028561027|0028559692|0028583966|0000904473|44949172445|0026959873|0028120181|0001874824|84960576174|34248245593|0028591926|0028156074|0026340129|0001994560|0002647958,"Journal of Law, Economics, and Organization|Quarterly Journal of Economics|American Economic Review|American Economic Review|Land Economics|Journal of Monetary Economics|Journal of Monetary Economics|American Economic Review|Journal of Environmental Economics and Management|Journal of Economic Literature|Oxford Economic Papers|American Political Science Review|American Economic Review|Journal of Environmental Economics and Management|World Development|Journal of Economic Literature|Journal of Economic Theory"
2-s2.0-0007247305,2000,18644365144|1542609884|0038829878|0016264378|84959810873,Econometrica|Journal of Economic Literature|American Economic Review|Science|Quarterly Journal of Economics
2-s2.0-0006344350,2000,0345021536|85012089063|0028857565|34249754039|0000005882,Journal of Public Economics|Taxing bad goods by taxing goods: pollution control with presumptive charges|Journal of Environmental Economics and Management|International Tax and Public Finance|International Tax and Public Finance
2-s2.0-0006339150,2000,0031260386|38149147658|0029158650|84969062894|0010277344,Environmental and Resource Economics|Journal of Environmental Economics and Management|Journal of Environmental Economics and Management|Imperfect competition in the world oil market: a computerized Nash-Cournot model.|World Bank Research Observer
2-s2.0-0005651890,2000,55549084723|0029799404|84986349349|0009713512|0032771542|38249005063|32344446687|0030492729|0000278184|0002426025|0040609269|43949153069,Journal of Business and Economic Statistics|American Economic Review|Journal of Applied Econometrics|Journal of Financial Economics|Journal of Political Economy|Journal of Monetary Economics|American Statistician|Econometric Theory|Journal of Monetary Economics|Journal of Economic Literature|Journal of Business and Economic Statistics|Stochastic Processes and their Applications
2-s2.0-0005264359,2000,0029484499|0032815634|0030430296|0007340228,Cambridge Journal of Economics|Cambridge Journal of Economics|Journal of Political Economy|American Economic Review
2-s2.0-0004641196,2000,0001694597|77956741665,American Economic Review|Handbook of Population and Family Economics
2-s2.0-0004036613,2000,0027059574|0030430296,Quarterly Journal of Economics|Journal of Political Economy
2-s2.0-0003302740,2000,0000553727|0000810010|0031256588|40749147831|1542527134|82655160828|49449124346|0032325207,Econometrica|American Economic Review|Journal of Public Economics|Review of Economic Studies|Journal of Economic Growth|Quarterly Journal of Economics|Journal of Public Economics|Journal of Public Economics
2-s2.0-0002880746,2000,0033095581|77956818970|0000741992|0007603165|0030463848|0007275139|84963060954|0038979544|84987357440,Labour Economics|Handbook of Labor Economics|Economica|International Economic Review|Journal of Political Economy|International Economic Review|Review of Economic Studies|International Economic Review|Industrial Relations: A Journal of Economy and Society
2-s2.0-0002846733,2000,0041724286|0033209128|0032774165|85010390101|0042762133|0000749809|0039624712|0000749777|0002219955|0030518524|0042762528,NBER Macroeconomics Annual|Japan and the World Economy|European Economic Review|Journal of Political Economy|Journal of International Economics|Journal of Financial Economics|American Economic Review|American Economic Review|Journal of Economic Perspectives|Brookings Papers on Economic Activity|Journal of Financial Services Research
2-s2.0-0002846420,2000,0024569535|0031413175|0002432433|58149211776|0000692953|0001578789,American Economic Review|American Economic Review|Journal of Financial Economics|Carnegie-Rochester Confer. Series on Public Policy|Journal of Banking and Finance|American Economic Review
2-s2.0-0002777493,2000,0003053860|0030691138|0033148105,Journal of Economic Perspectives|Annual World Bank conference on development economics 1996|Journal of Monetary Economics
2-s2.0-0002703246,2000,0040364531|0031327619|0347799008|0000737328|0345982186|0033970329|0039450654,Journal of Economic Literature|Review of Economics and Statistics|NBER Macroeconomics Annual|Journal of Economic Perspectives|NBER Macroeconomics Annual|Journal of International Economics|American Economic Review
2-s2.0-0002671358,2000,0000529574|0033147687,European Economic Review|Journal of Monetary Economics
2-s2.0-0002298650,2000,,
2-s2.0-0002115197,2000,0002830949|49049128000|0002008874|85016834058|84981863506|45349110134|0040455274|58149362804|0025677813,Journal of Monetary Economics|Journal of Monetary Economics|Journal of Monetary Economics|American Economic Review|American Economic Review|Journal of Monetary Economics|Quarterly Journal of Economics|Journal of Monetary Economics|American Economic Review
2-s2.0-0001885056,2000,0032992459|0033033278|0027714170|45549121614|0002617167|85040870125,"Proceedings of the National Academy of Sciences of the United States of America|Proceedings of the National Academy of Sciences of the United States of America|Quarterly Journal of Economics|Journal of Monetary Economics|Journal of Economic Perspectives|People, cities and wealth: the transformation of traditional society."
2-s2.0-0001837428,2000,0031428722|84942834707|0027756557|0027770471|1542603533|1542605536|0039097053|0029515109|0030769931|1542422513|0000210845|84960609976|0030079987|0000116890|0000268432,Review of Economic Studies|Quarterly Journal of Economics|Journal of Political Economy|Quarterly Journal of Economics|American Economic Review|NBER Macroeconomics Annual|American Economic Review|American Economic Review|Journal of Human Resources|Journal of Economic Growth|American Economic Review|Review of Economic Studies|Journal of Public Economics|Journal of Economic Growth|Journal of Public Economics
2-s2.0-0001697397,2000,0032236737|0030047938|34250446073|1542609884|0010094768|0032220548|0031500778|0032347686|0001604716|0001547022|0000453878|0031483427|0346311130|84977437172|0001195686|84980096808|0032286785,Economic Inquiry|Journal of Environmental Economics and Management|Public Choice|Journal of Economic Literature|The Journal of Finance|Economic Theory|Journal of Economics and Management Strategy|Economics Letters|Journal of Economic Behavior and Organization|American Economic Review|Economic Theory|Journal of Economics and Management Strategy|Econometrica|Economic Inquiry|Journal of Financial Economics|The Journal of Finance|RAND Journal of Economics
2-s2.0-0001649185,2000,0001456421|85005207292|46549093197|0001496691|0000132263|0039491980|0030467061|0031712229|0000957296|0031410737|0029416752,American Economic Review|Economic Inquiry|Journal of Econometrics|American Economic Review|Journal of International Economics|Cato Journal|European Economic Review|Regional Science and Urban Economics|American Economic Review|Journal of Political Economy|International Migration Review
2-s2.0-0001640038,2000,0001918323|0034383035|0032771542|0002969888|0028575601|43949150183|0031062280|0000393708|8344287983|84990172291|0001332822|33745558413|0001890195|0000278184|42649091722|0345791564|0026959873|0034411905|45549121614|0022919999,Journal of Monetary Economics|Review of Economics and Statistics|Journal of Political Economy|Journal of Economic Growth|Quarterly Journal of Economics|Carnegie-Rochester Confer. Series on Public Policy|Demography|American Economic Review|Journal of Monetary Economics|Economic Journal|American Economic Review|Journal of Monetary Economics|Quarterly Journal of Economics|Journal of Monetary Economics|Carnegie-Rochester Confer. Series on Public Policy|NBER Macroeconomics Annual|American Economic Review|Review of Economics and Statistics|Journal of Monetary Economics|American Economic Review
2-s2.0-0001638317,2000,0029799225|0000893136|21344496918|84960599683|33751189676|0040450234|0001378029|0000605080|84963060954|85019497122|0040058619|0029800061,American Economic Review|American Economic Review|Economics Letters|Quarterly Journal of Economics|Journal of Monetary Economics|Handbook of Labor Economics|Journal of Monetary Economics|Journal of Monetary Economics|Review of Economic Studies|American Economic Review|Quarterly Journal of Economics|American Economic Review
2-s2.0-0001600663,2000,77956839363|0001156293|0041111710|0038979610|0000800064|43949150167|41449091490|0001578263|0001165157|0032236198|0001013941|0030269236|0002162953|0002268981|38149147638|38249012580,Advances in Experimental Social Psychology|Journal of Economic Perspectives|Quarterly Journal of Economics|International Journal of Game Theory|Economic Journal|Games and Economic Behavior|Journal of Economic Behavior and Organization|Games and Economic Behavior|American Economic Review|Economic Inquiry|Constitutional Political Economy|Journal of Economic Behavior and Organization|Journal of Personality and Social Psychology|Journal of Experimental Social Psychology|Journal of Economic Behavior and Organization|Journal of Economic Psychology
2-s2.0-0001599360,2000,38249000586|45949113342|0000429880|0001246509|38249008397|38149145061|0029750306|84959777265|46149129153|0012195111|0001435324|0000482017|44949288517|0003003179|0000737515|0021605904|0038855946|0001105480,Journal of Economic Theory|Journal of Economic Theory|Games and Economic Behavior|Review of Economic Studies|Journal of International Economics|Journal of International Money and Finance|International Journal of Finance and Economics|Review of Economic Studies|European Economic Review|World Bank Economic Review|Games and Economic Behavior|Review of Economic Studies|Journal of Economic Theory|International Economic Review|Review of Economic Studies|Economic Journal|Oxford Economic Papers|Review of Economic Studies
2-s2.0-0001587259,2000,84983958104|0002843353|0030459222|38249041870|43949174900|85010796670,Journal of Political Economy|Journal of Economic Perspectives|Canadian Public Policy|Journal of Monetary Economics|Carnegie-Rochester Confer. Series on Public Policy|American Economic Review
2-s2.0-0001582802,2000,0002593211|0028857565|0031715364|85077554004,Journal of Environmental Economics and Management|Journal of Environmental Economics and Management|Journal of Environmental Economics and Management|RAND Journal of Economics
2-s2.0-0001528675,2000,0031422563,American Economic Review
2-s2.0-0001497486,2000,0034134956|38248999435|0040271450|0033970641|38249016895|43949155590|84985759970|48749145425|84959805338|43949170301|41549156304|0001050698|0000769798|0013148655|38149146963|0003164646,Journal of International Money and Finance|Journal of International Economics|European Economic Review|Journal of International Economics|Journal of International Economics|Carnegie-Rochester Confer. Series on Public Policy|Economic Inquiry|Journal of International Economics|Quarterly Journal of Economics|Journal of Monetary Economics|Journal of International Economics|Journal of International Economics|Journal of International Money and Finance|Journal of Monetary Economics|Journal of International Money and Finance|Journal of International Economics
2-s2.0-0001488738,2000,0000602479|84942834707|84962698725|0012574389|1542605536|0001908402|84962994478|38149145966|0028588795|0031411210|0027770211|0027040457|0028591926|85018651986,Quarterly Journal of Economics|Quarterly Journal of Economics|Review of Economic Studies|Quarterly Journal of Economics|NBER Macroeconomics Annual|American Economic Review|Review of Economic Studies|Journal of Public Economics|Journal of Political Economy|American Economic Review|Journal of Political Economy|Quarterly Journal of Economics|American Economic Review|Journal of Political Economy
2-s2.0-0001457978,2000,0039450630,Antitrust Bulletin
2-s2.0-0001428095,2000,0028551514|0028570589|0031410547,Journal of Political Economy|Journal of Human Resources|Journal of Human Resources
2-s2.0-0001405256,2000,0009480521,Journal of Economic Literature
2-s2.0-0001388936,2000,0001082295|85040878266|0024899030|84964160756|0010712836|84959828858|54749120012|84960604076,Economic Journal|The other path: the invisible revolution in the Third World|World Development|American Behavioral Scientist|Explorations in Economic History|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics
