eid,year,group,has_discussion,references,journals
2-s2.0-74249122981,2006,IFM,1,67549105072|41649100866|0039843719|38248999435|4344674622|49249090384|0001097029|33744539082|36649025502|0032771542|33745138559|0036997692|0036655918|70350295881|0006260747|40449136103|0037332119|0040350327|48549113655|38549147867|20444481061|0030163683|0030545862|0000425816|0000278184,"Review of Economic Studies|Journal of Finance|Journal of Finance|Journal of International Economics|Journal of Finance|Journal of International Money and Finance|American Economic Review|Journal of Monetary Economics|Journal of Finance|Journal of Political Economy|Journal of Financial Economics|Journal of Political Economy|Review of Economic Studies|Journal of Applied Econometrics|Quarterly Journal of Economics|Review of Economic Studies|Journal of Money, Credit and Banking|Journal of Finance|Journal of Monetary Economics|Journal of Financial Economics|Journal of Financial Economics|Journal of International Money and Finance|Journal of Business and Economic Statistics|Journal of Financial Economics|Journal of Monetary Economics"
2-s2.0-84906535602,2009,EFCE,0,0003192710|0037276441|0033966546|0001261950|38949092058|55949117180|85011655177|31344478175|2642575037|67849110740|84866761857|84860514792|0012125938|84959812265|84863223322|0000955266|84899106762|84960565386|0002190490|0942288976|0002028343|16244392091,Review of Economic Studies|Econometrica|Economic Journal|Review of Economic Studies|Journal of Economic Theory|American Economic Review|Journal of Economic Perspectives|Journal of Monetary Economics|Econometrica|Review of Financial Studies|Econometrica|Review of Economic Studies|Review of Economic Studies|Quarterly Journal of Economics|American Economic Review|Journal of Economic Theory|International Economic Review|Quarterly Journal of Economics|Econometrica|Journal of Political Economy|Journal of Public Economics|American Economic Review
2-s2.0-0242268781,2002,EFFE,0,0036216388|0039147416|0011836910|0012692686|0040517321|0000833419|85015692260|0031489544|0034196104|0008766361|0038851684|0001668150|0000440935|84952194327|0000890084|0040531815|33746404294|18544376108|0032346647|0032286916|0842316847|10644241710|0348197957,Econometrica|Journal of Finance|Journal of Finance|Journal of Finance|Journal of Finance|Journal of Econometrics|Journal of Political Economy|Mathematical Finance|Journal of Financial Economics|Journal of Finance|Journal of Financial and Quantitative Analysis|Econometrica|Econometrica|Journal of Business and Economic Statistics|Journal of Econometrics|Review of Economics and Statistics|Biometrika|Econometric Theory|Journal of the American Statistical Association|Review of Economics and Statistics|Journal of Econometrics|Journal of Financial Economics|Stochastic Processes and their Applications
2-s2.0-15844367076,2002,IFM,1,8744303620|0034957167|0043226159|0003314941|0142246855|3042794163|0032870113|33846068664|0001496691|58149211460|0344652451|0035657699|0000105879|0033953153|0039193070|0000786475|77957241272,Journal of Economic Literature|Journal of International Economics|Journal of Monetary Economics|Quarterly Journal of Economics|Review of Economic Studies|Journal of International Economics|Journal of Political Economy|NBER Macroeconomics Annual|American Economic Review|Journal of International Money and Finance|Journal of Economic Literature|Review of Economic Studies|Journal of International Economics|Journal of International Economics|NBER Macroeconomics Annual|Journal of Economic Literature|Journal of the European Economic Association
2-s2.0-45749088173,2004,ME,0,0037905686|33644514387|0031206516|0006260747|0008766361|0036221014|33644763053|33747389804|33644508092|0030305091|0010694450|0039120731|4544237605|20444380401|33644519376|0006178565|27144489651|16244400138|0347392838|0035589533|0036250440|0036742601|18144427889|34547689398|34247535984|0033411535|33750534963,"Journal of Monetary Economics|Journal of Econometrics|Journal of Monetary Economics|Quarterly Journal of Economics|Journal of Finance|Journal of Financial Economics|Journal of Money, Credit and Banking|American Economic Review|Journal of Econometrics|Mathematical Finance|American Economic Review|Quarterly Journal of Economics|Journal of Monetary Economics|American Economic Review|Journal of Econometrics|Journal of Monetary Economics|Journal of Monetary Economics|Review of Economic Dynamics|International Economic Review|Review of Economics and Statistics|Economic Journal|Journal of Monetary Economics|Journal of Money, Credit and Banking|Federal Reserve Bank of St. Louis Review|Journal of Money, Credit and Banking|Scandinavian Journal of Economics|Journal of Money, Credit and Banking"
2-s2.0-84856866370,2007,EFCE,0,34548541025|66049100200|0012574389|10444228143|33744521521|12844287617|84856866370|84859057511|37249060605|0001438979|85071221106|10644262946|0036487688|0242678541|62949174235|0012644405|70449427853|34250889279|33750896817|41849119157|0347931708|2442638896|0041883695|37749030432|0040374314|40249106683|21344449319,Quarterly Journal of Economics|Handbook of Econometrics|Quarterly Journal of Economics|Quarterly Journal of Economics|International Journal of Industrial Organization|Journal of Economic Perspectives|American Economic Review|Academy of Management Perspectives|Quarterly Journal of Economics|Journal of Econometrics|Econometric Reviews|Quarterly Journal of Economics|Quarterly Journal of Economics|Review of Economics and Statistics|Quarterly Journal of Economics|Quarterly Journal of Economics|Review of Economics and Statistics|NBER Macroeconomics Annual|Review of Economics and Statistics|American Economic Review|Labour Economics|American Economic Review|Industrial and Labor Relations Review|Economic Policy|American Economic Review|Journal of Economic Perspectives|Journal of Applied Econometrics
2-s2.0-34548855698,2002,EFCE,0,0030659729|33847690371|46549092511|0001433460|15844392342|0346401594|0001045914|0000198452|0346607225|0001322304|38249003358|77956848183|0029800061,Journal of Political Economy|American Economic Review|Economic Modelling|European Economic Review|Journal of Political Economy|Review of Economic Dynamics|Review of Economic Dynamics|American Economic Review|International Economic Review|American Economic Review|Journal of Monetary Economics|Handbook of Labor Economics|American Economic Review
2-s2.0-73449137204,2007,CF,1,0000058833|11144308389|33645051960|0039658576|0036017572|0242511198|33846207421|0013034368|42149179178|33646374922|0037332214|24044502039|0009200691|0348194856|0035402416,Journal of Economic Perspectives|Journal of Labor Economics|Journal of Finance|Journal of Finance|Journal of Accounting Research|Accounting Review|Journal of Finance|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Business|Quarterly Journal of Economics|American Economic Review|Journal of Financial Economics
2-s2.0-14644388216,2003,IFM,1,0020815880|84856215066|84959777265|84906172092|33846669324|0036381877|0036381869|2942706066|0036384788|0036384808,Operations Research|Fixing Financial Crises in the Twenty-first Century|Review of Economic Studies|Fixing Financial Crises in the Twenty-first Century|Journal of Economic Theory|Brookings Papers on Economic Activity|Brookings Papers on Economic Activity|American Economic Review|Brookings Papers on Economic Activity|Brookings Papers on Economic Activity
2-s2.0-84865719757,2005,PERE,1,69249150493|84980144380|0001516890|4043123438|21244446232|84963088923|77956969621|0001588055|0010214006|0036794686|0141890825|84965454720|33646403571|0001898547|38249022368|0011408958|0004884590|11744284145,"Journal of Political Economy|Papers in Regional Science|Journal of Public Economics|International Tax and Public Finance|Advances in Macroeconomics|Review of Economic Studies|American Economic Review|Review of Economic Studies|Journal of Public Economics|Journal of Monetary Economics|Journal of Political Economy|Urban Studies|City Taxes, City Spending: Essays in Honor of Dick Netzer|Journal of Public Economics|Journal of Public Economics|Handbook of Public Economics|Journal of Urban Economics|Journal of Urban Economics"
2-s2.0-68949171944,2007,EFFE,0,0010171945|0242345456|0035733237|12344267943|0040455274|20444380401|0000331710|32344440683|33745946021|0347569252|0016264378|0000808241,Journal of International Money and Finance|American Economic Review|Journal of Financial and Quantitative Analysis|Journal of Accounting and Economics|Quarterly Journal of Economics|American Economic Review|Economics Letters|Organizational Behavior and Human Decision Processes|Journal of Financial Economics|Journal of Business|Science|Journal of Business and Economic Statistics
2-s2.0-41649095717,2006,RISK,1,33748565335|0040160904|33846252686|12344311500|47749120440|0345779079|33847186611|84884057033|0040885646|4344615968|79952544057|2442676693|33745182872|33845968177|25844492645|0039396015|75649142405|0042538892|33947313856,"Journal of Business|Journal of Finance|Journal of Finance|Review of Financial Studies|Review of Economic Studies|Financial Analysts Journal|Journal of Financial Economics|Credit Risk: Pricing, Measurement, and Management|Journal of Finance|Review of Financial Studies|American Statistician|Journal of Banking and Finance|Economic Notes|Journal of Business|Journal of Finance|Biometrika|Journal of the American Statistical Association|American Statistician|Mathematical Finance"
2-s2.0-70350503876,2002,AMRE,1,0036245879|38249010741|85015692260|0344719116|49249142814|84884057033|3042573603|33947213323|33846255369|84983951236|0142157061|0000486843|0036286965|27644450847|1642459453|0037245857|33644912608|0000682177|34248474317|0001389754|0034411866|84993911739|84944838542|38249034829|0001691944|0029689231|0012958322,"Journal of Real Estate Finance and Economics|Journal of Urban Economics|Journal of Political Economy|Real Estate Economics|Journal of Financial Economics|Credit Risk: Pricing, Measurement, and Management|Real Estate Economics|Journal of Finance|Journal of Finance|Real Estate Economics|Journal of Finance|Journal of Financial Economics|Review of Financial Studies|Journal of Business|Journal of Real Estate Finance and Economics|Journal of Real Estate Finance and Economics|Journal of Business|Journal of Financial Economics|Journal of Financial Economics|The Journal of Finance|Real Estate Economics|The Journal of Finance|The Journal of Finance|Journal of Financial Economics|The Journal of Finance|Journal of Urban Economics|Journal of Urban Economics"
2-s2.0-30344480491,2001,AMRE,1,30244539336|18744407634|84977325646|4344615968|84987576146|0013590254|0035597635|0031413175|0015602539|84977707028|84983967882|0029507570,Regional Science and Urban Economics|Econometrica|The Journal of Finance|Review of Financial Studies|Journal of Computational and Applied Mathematics|The Journal of Real Estate Finance and Economics|Journal of Real Estate Finance and Economics|American Economic Review|Bell J Econ Manage Sci|The Journal of Finance|Real Estate Economics|Quarterly Journal of Economics
2-s2.0-34548529494,2003,AP,1,0001949247|0842346752|0030375056|84891010016|0034403135|11244296819|0000486843|0039925951|0036286965|0035511291|4344709999|0037290033|84916506635|0001703447|0039594868|0016997122|0022213282|0000623528|0031286986,Journal of Financial Economics|Review of Financial Studies|International Economic Review|Investment under Uncertainty|Probability Theory and Related Fields|Journal of Financial and Quantitative Analysis|Journal of Financial Economics|Journal of Finance|Review of Financial Studies|Journal of Financial Economics|Journal of Financial Economics|Journal of Economic Dynamics and Control|Quarterly Journal of Economics|Journal of Financial Economics|Journal of Finance|Bell J Econ|American Economic Review|The Journal of Real Estate Finance and Economics|Real Estate Economics
2-s2.0-12344272139,2002,AP,1,85015692260|0032771542|0036077604|38149144032|84957363402|0037405053|0001266334|0034381629|0038139238|0142219266|0043014596|46549099071|34248474317|10644241710|45549121696|84993899427,Journal of Political Economy|Journal of Political Economy|Econometrica|Journal of Mathematical Economics|Quarterly Journal of Economics|Journal of Economic Dynamics and Control|Journal of Mathematical Economics|Review of Financial Studies|Journal of Finance|Journal of Finance|Journal of Financial Economics|Journal of Monetary Economics|Journal of Financial Economics|Journal of Financial Economics|Journal of Monetary Economics|The Journal of Finance
2-s2.0-57049099252,2007,EFCE,0,34248203740|48749143178|15844392342|0040909354|40749091547|33745318657|23844540968|53349178024|20444400894|20444379856|33646792946|84960552346|34247325606|0000605080|34347341693|84963060954|49449094876|0000817409|85019497122,Econometric Reviews|Journal of Monetary Economics|Journal of Political Economy|International Economic Review|Journal of Economic Dynamics and Control|Econometrica|Review of Economics and Statistics|American Economic Review|American Economic Review|Review of Economics and Statistics|NBER Macroeconomics Annual|Review of Economic Studies|Journal of Monetary Economics|Journal of Monetary Economics|Review of Economic Dynamics|Review of Economic Studies|Quarterly Journal of Economics|Journal of Economic Literature|American Economic Review
2-s2.0-44849094590,2002,EFEL,1,3242752696|0013065419|0034417109|0032370891|4043082706|0347985223|0002720622|38149094191|0142219263|0001660676|0031479476|0037501599|0041669468|0031542653|0001035622|0002427465|0002118756|84959812265|0000985905|4243088649|84977408304|0023455980|0026156908|33645068448|0039657043|4043075627|84944837822,Journal of Financial Economics|Journal of Economic Dynamics and Control|Review of Financial Studies|Review of Financial Studies|European Finance Review|Journal of Econometrics|Journal of Economic Theory|Journal of Finance|Journal of Finance|Journal of Economic Theory|Review of Financial Studies|Review of Financial Studies|Journal of Finance|Mathematical Finance|Journal of Monetary Economics|Journal of Economic Perspectives|Zeitschrift für Wahrscheinlichkeitstheorie und Verwandte Gebiete|Quarterly Journal of Economics|Journal of Economic Theory|Journal of Political Economy|The Journal of Finance|SIAM Journal on Control and Optimization|SIAM Journal on Control and Optimization|Journal of Finance|Journal of Finance|American Economic Review|Journal of Financial and Quantitative Analysis
2-s2.0-33645083461,2005,ME,0,84977341011|10444251819|0024990448|84972194555|0028595842,Journal of Political Economy|Quarterly Journal of Economics|The Journal of Economic History|The Journal of Economic History|American Economic Review
2-s2.0-0037905686,2000,EFFE,0,0036005159|0012842697|0012120028|84993921339|84959821636|84890656542|0030527779|70449089152|0006260747|0000555995|0008766361|0036221014|0041589839|0030305091|84977702570|0001119285|84940643524|38649141305|0003109543|84993839850|84977723797|84993661234|43949165060|0347078538,Journal of Business and Economic Statistics|Journal of Finance|Quarterly Journal of Economics|The Journal of Finance|Review of Economic Studies|The Econometrics of Financial Markets|Review of Economics and Statistics|Handbook of Macroeconomics|Quarterly Journal of Economics|Journal of Monetary Economics|Journal of Finance|Journal of Financial Economics|Journal of Finance|Mathematical Finance|The Journal of Finance|European Economic Review|Quarterly Journal of Economics|Journal of Economic Theory|Journal of Financial Economics|The Journal of Finance|The Journal of Finance|The Journal of Finance|Carnegie-Rochester Confer. Series on Public Policy|Journal of Financial Economics
2-s2.0-71949093376,2006,AP,1,0033270858|0040435486|0010023511|33747035196|0034179209|0032771542|55949096167|84890656542|4344650584|33745728787|43949169873|84977708733|0030452013|0039658591|0034179271|84977737676|84993845943|0040805996|19144364975|33751011316|0012875458|0042907646|0000318873|19944408944|34547890741|0041669498|0000612260|0001357772|84993848601|0033424167|28244478078,Review of Financial Studies|Journal of Finance|Journal of Financial Economics|Journal of Financial and Quantitative Analysis|Journal of Financial Economics|Journal of Political Economy|Journal of Finance|The Econometrics of Financial Markets|Journal of Finance|Journal of Finance|Journal of Empirical Finance|The Journal of Finance|Journal of Political Economy|Journal of Finance|Journal of Financial Economics|The Journal of Finance|The Journal of Finance|Journal of Business|Journal of Financial Economics|Journal of Financial Economics|American Economic Review|Journal of Political Economy|Journal of Financial Economics|Journal of Finance|Journal of Finance|Journal of Finance|Journal of Financial Economics|Journal of Financial Economics|The Journal of Finance|Review of Financial Studies|Journal of Finance
2-s2.0-84871575482,2007,EFFE,0,0037277111|0036221554|33745304373|79953189262|15544377383|79960364553|0034364595|24644522163|0035141996|21244451040|3042673957|85017188178|0036970448|0036005160|0000546599,Econometrica|Econometrica|Econometrica|Foundations and Trends in Econometrics|Quarterly Journal of Economics|Journal of Econometrics|Review of Economics and Statistics|Journal of the American Statistical Association|European Economic Review|NBER Macroeconomics Annual|American Economic Review|American Economic Journal: Macroeconomics|Journal of the American Statistical Association|Journal of Business and Economic Statistics|Journal of Econometrics
2-s2.0-84878473808,2009,EFFE,0,34248596321|34247346581|0035636851|77954111515|79958759024|77953507368|33750536645|33947274775|79958744432|4043081302|0040360986|77953507113|49749107265|80053064860|77956262903|0033211669|33847297019,"Journal of Business and Economic Statistics|Journal of Monetary Economics|Journal of Business and Economic Statistics|Econometrica|Journal of Business and Economic Statistics|Journal of Applied Econometrics|Econometrica|Journal of the American Statistical Association|Journal of Business and Economic Statistics|American Economic Review|Journal of Money, Credit and Banking|Journal of Applied Econometrics|Journal of Money, Credit and Banking|Journal of Applied Econometrics|International Journal of Forecasting|Journal of Monetary Economics|Journal of Money, Credit and Banking"
2-s2.0-29244445811,2004,CF,1,0000810010|0019463718|85025433042|0037332214|0009927888|44649197264,American Economic Review|Personnel|American Economic Review|Quarterly Journal of Economics|Journal of Economic Literature|Journal of Financial Economics
2-s2.0-79955031532,2007,EFCE,0,1142271464|33644515029|42449096326|70350620283|84948634491|0001099198|74849099671|39449099576|84986409852|33847620803|0034128535|34547364349|38049131876|20444364555|34547313737|84959845520|84986364618|79955812678|33645667745|0020168283|0036033117,Journal of the European Economic Association|Journal of the European Economic Association|International Economic Review|Journal of Risk and Uncertainty|Scandinavian Actuarial Journal|Quarterly Journal of Economics|Theory and Decision|Theory and Decision|Journal of Applied Econometrics|American Economic Review|Journal of Political Economy|RAND Journal of Economics|American Economic Review|Review of Economics and Statistics|American Economic Review|Quarterly Journal of Economics|Journal of Applied Econometrics|Journal of the European Economic Association|The Journal of Finance|Management Science|British Journal of Criminology
2-s2.0-30744470101,2001,EFFE,0,0002426895|0037596892|0038182831|0035628153|0010872657|0011457505|0038718958|0037784725|0000824401|0242474618|84888921767|0030530151|0037403294|0040640219|0030560209|0036803772|0035604912|0039272342|0031542613|0001881458|0011381862|0030527910|48549111896|84979454116|0000118629|0011379893|25844522456|0009752212,Journal of Monetary Economics|Review of Economics and Statistics|Journal of Monetary Economics|Brookings Papers on Economic Activity|Journal of Monetary Economics|International Journal of Forecasting|Macroeconomic Dynamics|Manchester School|Journal of Econometrics|Review of Economics and Statistics|Journal of the American Statistical Association|Review of Economics and Statistics|Journal of International Economics|Journal of Forecasting|Journal of Business and Economic Statistics|Southern Economic Journal|Macroeconomic Dynamics|Journal of Business|Journal of Business and Economic Statistics|Journal of Econometrics|Applied Economics|Review of Economics and Statistics|Journal of Monetary Economics|Journal of Forecasting|American Economic Review|Journal of Business and Economic Statistics|Journal of Economics and Business|Journal of Econometrics
2-s2.0-84859112990,2009,AP,1,0037905686|0036335816|0001883834|0039179796|34250782431|0000164151|13844262342|1842759799|71949092395|0037213303|84890656542|13844296869|27544436210|25844520759|0344685284|0142219263|34250890715|44949239520|16244407145|34547307925|0001927927|84959822288|0040456831|0012462939|45249127135|0012094930|0040362508,Journal of Monetary Economics|Journal of Financial Economics|Journal of Financial Economics|Journal of Finance|Journal of Finance|Journal of Economic Dynamics and Control|Review of Financial Studies|Journal of Financial Economics|Review of Financial Studies|Journal of Financial Economics|The Econometrics of Financial Markets|Financial Analysts Journal|Review of Financial Studies|Review of Financial Studies|Review of Financial Studies|Journal of Finance|Journal of Financial Economics|American Economic Review|Journal of Finance|American Economic Review|Economic Journal|Review of Economic Studies|Review of Financial Studies|Journal of Finance|Journal of Econometrics|Journal of Financial Economics|Journal of Finance
2-s2.0-84855976079,2009,EFCE,0,0036318555|84995453303|0013381104|2442628520|0000817740|36749023518|70349226731|0030510350|85017128111|0030268612|0347985218|70349263367|2442569001|67749086026|0030268594|0030268612|0036000684|0031636274|1942532833|58149328520|40549111870|64149131955|79957515397|0001353625|2142767309|0036084365|0028732234|79955570965,"Energy Journal|Quarterly Journal of Economics|Brookings Papers on Economic Activity|Journal of Money, Credit and Banking|Journal of Monetary Economics|B.E. Journal of Macroeconomics|Journal of Monetary Economics|Journal of Macroeconomics|Journal of Political Economy|Journal of Monetary Economics|Journal of Econometrics|Brookings Papers on Economic Activity|Journal of Money, Credit and Banking|Macroeconomic Dynamics|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Money, Credit and Banking|Energy Journal|Energy Journal|Journal of Economic Literature|Review of Economics and Statistics|American Economic Review|Review of Economics and Statistics|Journal of Econometrics|Journal of Monetary Economics|Journal of Monetary Economics|Energy Journal|NBER Macroeconomics Annual"
2-s2.0-43649096200,2005,AP,1,0030160551|0000508007|33748789338|0036091109|0001872435|0038693107|0000883258|33745203022|35448970603|35448987309|0345016473|0036678691|17444361893|4243088649|0037950037|0010777857|0030537136|85015256306|0005106181|8744227880|0000370145,"Journal of Monetary Economics|Journal of Financial Economics|Journal of Finance|Journal of Financial Economics|Journal of Banking and Finance|Journal of Finance|Journal of Financial Economics|Econometrica|Review of Financial Studies|Annals of Applied Probability|Quarterly Journal of Economics|Journal of Money, Credit and Banking|Review of Finance|Journal of Political Economy|Journal of Economic Theory|Journal of Finance|Review of Financial Studies|Journal of Political Economy|Journal of Financial Economics|Journal of Political Economy|Review of Economic Studies"
2-s2.0-38049148036,2004,PERE,1,84924239348|84888478571|0038897369|0013034368|0033510425|0026340197|0029531207|0005830776|0037594660|0002181343,Economic Geography and Public Policy|Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics|International Regional Science Review|Journal of Political Economy|Quarterly Journal of Economics|Review of Economic Dynamics|International Economic Review|Journal of Economic Literature
2-s2.0-25844483222,2002,AP,1,0036353532|84890245567|84981748011|0038851310|84890656542|0034550602|84949161149|38549147867|84975992356|0001266334|84993924627|0142188090|0000893636|84976184598|0010055124|0041841552|0012094930|0039597034|0040348622|0034195524|0034394216|0035995705,Review of Financial Studies|Nonlinear Programming: Theory and Algorithms|Bayesian Theory|Journal of Finance|The Econometrics of Financial Markets|Journal of Applied Econometrics|Journal of the American Statistical Association|Journal of Financial Economics|Journal of Financial and Quantitative Analysis|Journal of Mathematical Economics|The Journal of Finance|Journal of Finance|Journal of the American Statistical Association|Journal of Financial and Quantitative Analysis|Journal of Banking and Finance|Journal of Empirical Finance|Journal of Financial Economics|Review of Financial Studies|Journal of Finance|Journal of Financial Economics|Journal of Business and Economic Statistics|Journal of Business and Economic Statistics
2-s2.0-0036339136,2002,ME,0,0040271450|48749143178|0040364531|0003314941|0001532134|0033211941|0035177511|0034952731|0033148746|0034451233|0033953153|0002226668,European Economic Review|Journal of Monetary Economics|Journal of Economic Literature|Quarterly Journal of Economics|Journal of Monetary Economics|Journal of Monetary Economics|Journal of International Economics|Journal of International Economics|Journal of Monetary Economics|Oxford Review of Economic Policy|Journal of International Economics|American Economic Review
