eid,year,references,journals
2-s2.0-0039619859,2000,0345459119|84963060367|0041031316|0002237355,RAND Journal of Economics|Review of Economic Studies|Quarterly Journal of Economics|Review of Economic Studies
2-s2.0-0039600849,2000,84959748430|84983958104|84977364496|0039768872|0002568205|1542709353|0038969196|85010390101|84959845015|0001293463|0031413974|20144363229|84959799833|0031474088,Quarterly Journal of Economics|Journal of Political Economy|American Economic Review|Brookings Papers on Economic Activity|Journal of Economic Perspectives|American Economic Review|Quarterly Journal of Economics|Journal of Political Economy|Review of Economic Studies|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Political Economy|Quarterly Journal of Economics|Journal of Political Economy
2-s2.0-0039594511,2000,84963036850|84963257520|84963044572|27744568768|0042302860|84973992820|0031451140|77957042663|0039994068,Quarterly Journal of Economics|Journal of Political Economy|Quarterly Journal of Economics|Journal of Political Economy|Handbooks in Operations Research and Management Science|American Political Science Review|Quarterly Journal of Economics|Handbooks in Operations Research and Management Science|Journal of Urban Economics
2-s2.0-0039594465,2000,0041656119|0000440641|82655160828|0000148912,Review of Economic Studies|American Economic Review|Quarterly Journal of Economics|Legislative Studies Quarterly
2-s2.0-0039178072,2000,0000308606|0014087021|0033270827|84970348460|58149413180|0030280114|0000058232|33645122335|84970316158|0342768912|0000342356|0002195393|0040144779|84977437172,Journal of Experimental Social Psychology|Psychological Review|Journal of Risk and Uncertainty|Review of Educational Research|Journal of Personality and Social Psychology|American Psychologist|Econometrica|European Economic Review|Rationality and Society|Journal of Political Economy|American Economic Review|Journal of Legal Studies|Journal of Experimental Social Psychology|Economic Inquiry
2-s2.0-0039012005,2000,85018262985|0016753544|84881927470|0020656299|0038631346|0024839628|0029320162|0029662539|0027352909|0028507402|0021734642|0027378834|0026705265|0019369124|84965402108|0026380303|0029929617|0029929618|0027726866|0024164363|0021723813|0030436942,Brookings Papers on Economic Activity|American Journal of Public Health|The Lancet|Social Science and Medicine|Journal of Quantitative Criminology|Suicide and Life‐Threatening Behavior|Social security bulletin|Journal of Health Economics|The Milbank quarterly|Journal of health and social behavior|Journal of Health Economics|New England Journal of Medicine|Risk Analysis|The Lancet|Scandinavian Journal of Public Health|Oxford Economic Papers|British Medical Journal|British Medical Journal|Population Studies|Applied Economics|The Lancet|Journal of Human Resources
2-s2.0-0039011997,2000,0009093975|0038831386|0003112060,Journal of Finance|Quarterly Journal of Economics|Quarterly Journal of Economics
2-s2.0-0039008132,2000,0031431426|84960597129|0000133459|0013091061|46549100281|84946373046|0029512886|0029526355|0040679778|0031401388|0001490327|0027743096|0031397865|0002103779,Journal of International Economics|Quarterly Journal of Economics|Journal of International Economics|Journal of International Economics|Journal of International Economics|Quarterly Journal of Economics|Journal of Development Economics|American Economic Review|Quarterly Journal of Economics|American Economic Review|American Economic Review|Journal of International Economics|American Economic Review|Review of Industrial Organization
2-s2.0-0038831386,2000,58149208604|0009093975|0039626490|0000028238|0347503106|0028560578|0000180018|0003112060|84960612669|84977734564,Carnegie-Rochester Confer. Series on Public Policy|Journal of Finance|RAND Journal of Economics|Journal of Monetary Economics|NBER Macroeconomics Annual|Review of Economics & Statistics|Journal of Economic Literature|Quarterly Journal of Economics|Quarterly Journal of Economics|The Journal of Finance
2-s2.0-0038811644,2000,0001090622|0039898241|0030117133|0002108852|0031139009|38249034561|38249014669|1542535054,Econometrica|Quarterly Journal of Economics|Journal of Monetary Economics|Journal of Monetary Economics|European Journal of Political Economy|Carnegie-Rochester Confer. Series on Public Policy|Journal of Monetary Economics|American Economic Review
2-s2.0-0038713554,2000,0033518544|0026875087|85076737870|0026875087|84988120974|0031263560|0023239143|0028088599|0020959696|0025866869|0020557804|0000492943|0024166564|0025701636|84988122937|0027991786|0031531309|0026615183|0024266547|0002847941|0027218285|0024241147|0022345522|0023252070,"Journal of the American Medical Association|RAND Journal of Economics|RAND Journal of Economics|RAND Journal of Economics|Journal of Economics & Management Strategy|Health Affairs|Health Services Research|Journal of Health Economics|Journal of Health Economics|Health Services Management Research|Journal of Health Economics|Quarterly Journal of Economics|Journal of Health Politics, Policy and Law|JAMA: The Journal of the American Medical Association|Journal of Economics & Management Strategy|JAMA: The Journal of the American Medical Association|Journal of Economics and Management Strategy|Journal of Health Economics|Journal of Health Economics|American Economic Review|Health Services Research|Milbank Quarterly|Journal of Health Economics|JAMA: The Journal of the American Medical Association"
2-s2.0-0013180930,2000,33646391331|0013770374|58149326397|33748351169|0029202423|0040517193|84963025676|0347510823|33749286017|0343468534|49449125027|0014178927|0041525059|0041127669,Psychological Bulletin|Behavioral science|Games and Economic Behavior|Journal of Interdisciplinary History|Psychological Review|Quarterly Journal of Economics|Social Forces|American Economic Review|Psychological Review|Psychological Review|Journal of Experimental Social Psychology|Journal of Personality|American Psychologist|Psychological Science
2-s2.0-0012153333,2000,0040435565|0346856929|0001622038|0000423207|77956779653|6244256530|0031428553|0032373979|84947396376|0347419653,Quarterly Journal of Economics|Econometrica|Review of Economic Studies|Review of Economic Studies|Handbook of Labor Economics|Economic Journal|Review of Economic Studies|Review of Economics and Statistics|Journal of the American Statistical Association|Review of Economic Studies
2-s2.0-0011966277,2000,0001059841|0006144883|0038713554|0000341886,Journal of Financial Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Economic Literature
2-s2.0-0011771155,2000,0000553727|0001343896|0010667453|0030422836|0008848582|0040689731|0028570634|0031287360|0001112632,Econometrica|Quarterly Journal of Economics|Journal of Policy History|Population and Development Review|Quarterly Journal of Economics|Review of Economics and Statistics|Journal of Political Economy|Journal of Institutional and Theoretical Economics|Journal of Economic Literature
2-s2.0-0011122567,2000,84980104722|85041150158|0028575581|84960583830|0005891423|0024155880|84972011919,The Manchester School|China: internal market development and regulation|Pacific Review|Quarterly Journal of Economics|Journal of Comparative Economics|Modern China|The China Quarterly
2-s2.0-0011080101,2000,0031428722|0030476199|84942834707|0001837428|0039994068|84974307367|84959692791|84960609976|0040062783|0039995884,Review of Economic Studies|European Economic Review|Quarterly Journal of Economics|American Economic Review|Journal of Urban Economics|The Journal of Economic History|The Journal of Economic History|Review of Economic Studies|European Journal of Political Economy|The Journal of British Studies
2-s2.0-0006419386,2000,0001955946|0030161228|44049119782|84888478571|84963108489|0030118569|0002658834|20044388717|0029483544,Journal of Economic Theory|Journal of Monetary Economics|Journal of Monetary Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Economic Theory|Journal of Economic Theory|Journal of Economic Theory|European Economic Review
2-s2.0-0006260747,2000,0012120028|0039712611|0013381104|48749143178|0040364531|0033211941|44949283841|85017128111|0001441493|49149134391|0345982186|58149362804|43949165060|0030119294,"Quarterly Journal of Economics|Journal of Money, Credit and Banking|Brookings Papers on Economic Activity|Journal of Monetary Economics|Journal of Economic Literature|Journal of Monetary Economics|Carnegie-Rochester Confer. Series on Public Policy|Journal of Political Economy|Carnegie-Rochester Confer. Series on Public Policy|Carnegie-Rochester Confer. Series on Public Policy|NBER Macroeconomics Annual|Journal of Monetary Economics|Carnegie-Rochester Confer. Series on Public Policy|Journal of Monetary Economics"
2-s2.0-0005353907,2000,0006215162|0029515109|0002563028|0008848582|0000567353,Quarterly Journal of Economics|American Economic Review|Journal of Economic Literature|Quarterly Journal of Economics|Games and Economic Behavior
2-s2.0-0003107686,2000,84983958104|0029752394|0032812883|0000769846|0032368526|0032367366|84922961528|85016721127|43949174900|84947586303|0002548650|0040401870|0032469736,Journal of Political Economy|Oxford Economic Papers|European Economic Review|World Bank Economic Review|International Organization|International Organization|Unemployment: Macroeconomic Performance and the Labour Market|American Economic Review|Carnegie-Rochester Confer. Series on Public Policy|Quarterly Journal of Economics|Review of Economic Studies|Oxford Review of Economic Policy|Oxford Review of Economic Policy
2-s2.0-0002888260,2000,0004282446|84960592384|85018262985|0039924146|0001493977|0000934662|0001317999|0000284929|0030505944|84921428665|0030923391|0027040457|45549121614|0000683122|0000345777|84960572999,Quarterly Journal of Economics|Quarterly Journal of Economics|Brookings Papers on Economic Activity|Journal of Labor Economics|Journal of Urban Economics|Journal of Economic Perspectives|Journal of Monetary Economics|Journal of Economic History|Review of Economics and Statistics|Working paper series (National Bureau of Economic Research)|Regional Science and Urban Economics|Quarterly Journal of Economics|Journal of Monetary Economics|Journal of Urban Economics|Journal of Urban Economics|Quarterly Journal of Economics
2-s2.0-0001343896,2000,84935999565|0000553727|0027770471|1542603533,Quarterly Journal of Economics|Econometrica|Quarterly Journal of Economics|American Economic Review
2-s2.0-0000784540,2000,0031428722|70350192235|84963257520|0000249677|84968384319|0002563028|85015166812|0000533733|84979188687|38249026751,Review of Economic Studies|Handbook of Income Distribution|Journal of Political Economy|Organizational Behavior and Human Decision Processes|American Economic Review|Journal of Economic Literature|American Economic Review|American Economic Review|Economica|Acta Psychologica
2-s2.0-0000656779,2000,0000089763|0034259263|84960565609|1542603533|0011771155|0009321539|0031414087|0032823355|0001450879|34247616236|0029908088|0001317999|0013180930|33748351169|0032583853|0040517193|0347510823|45549121614,Quarterly Journal of Economics|Journal of Urban Economics|Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Political Economy|Journal of Urban Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Monetary Economics|Quarterly Journal of Economics|Journal of Interdisciplinary History|BMJ|Quarterly Journal of Economics|American Economic Review|Journal of Monetary Economics
2-s2.0-0041075674,2001,1542603533|0005645043|0001440633|0001834099|0030295914|19444373540|0001655534|0001441322|0030693142|0031287855,American Economic Review|Quarterly Journal of Economics|Journal of Urban Economics|Journal of Urban Economics|Journal of Public Economics|Social Choice and Welfare|International Tax and Public Finance|Journal of Econometrics|Journal of Political Economy|Economic Theory
2-s2.0-0041075670,2001,0027039410|0039409488|0006144883|0032152897|0041193223|0033988707|21144473856|84960590235|0032934750|0038620730|0027059574|0027770211|77956724779|0027040457|0027036121|0041188929|0039646854,American Economic Review|National Tax Journal|Quarterly Journal of Economics|RAND Journal of Economics|Quarterly Journal of Economics|Journal of Health Economics|Journal of Policy Analysis and Management|Quarterly Journal of Economics|Economic Journal|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Political Economy|Handbook of Labor Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Public Economics|Journal of Labor Economics
2-s2.0-0041075665,2001,0004282446|0031283047|0000268297|0031291919|0030306785|0001501387|77956741665|0001441322|0031316870,Quarterly Journal of Economics|Weltwirtschaftliches Archiv|American Economic Review|Brookings Papers on Economic Activity|Journal of Population Economics|Industrial and Labor Relations Review|Handbook of Population and Family Economics|Journal of Econometrics|Review of Economics and Statistics
2-s2.0-0040481564,2001,0000104607|0039165786|0032870114|0032334677|0001937832|0030538067|0001967086|84962979586|0025584864|0039657180|84960610295|0032331027|0034418363|84916255583|0001031975,"American Economic Review|Quarterly Journal of Economics|Journal of Political Economy|Journal of Labor Economics|Pacific Economic Review|Journal of Labor Economics|Monthly Labor Review|Review of Economic Studies|Economic Journal|Brookings Papers on Economic Activity|Quarterly Journal of Economics|Journal of Labor Economics|Journal of Law, Economics, and Organization|Quarterly Journal of Economics|Journal of Economic Perspectives"
2-s2.0-0040479666,2001,0000843599|0039552198|84960592384|0033456439|0001841388|52849122964|0000210845|0039924146|0011699020|0002842737|0000530499|0039842612|0001761368|0027760444|0000842056|0033388205,Economics of Education Review|Quarterly Journal of Economics|Quarterly Journal of Economics|Educational Evaluation and Policy Analysis|American Economic Review|Quarterly Journal of Economics|American Economic Review|Journal of Labor Economics|Journal of Human Resources|Journal of Public Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Quarterly Journal of Economics|Journal of Political Economy
2-s2.0-0039191746,2001,84888478571|0037862772|0001668553|38249000271|38249002088|0000428164,Quarterly Journal of Economics|Quarterly Journal of Economics|Games and Economic Behavior|Journal of Economic Dynamics and Control|European Economic Review|Journal of Economic Theory
2-s2.0-0008374910,2001,85018262985|0000268297|0010108855|0030449510|0000741992|84963060954|0033416870|0346872543,Brookings Papers on Economic Activity|American Economic Review|International Economic Review|American Economic Review|Economica|Review of Economic Studies|Journal of Labor Economics|NBER Macroeconomics Annual
2-s2.0-0005508977,2001,84960565609|0032810611|84960603508|34247616236|0001841388|0008848582|0001257650|0001761368|0031416857|84960575613|0039550186|84952397927,Quarterly Journal of Economics|Journal of Human Resources|Quarterly Journal of Economics|Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics|Quarterly Journal of Economics|Review of Economic Studies|American Economic Review|Housing Policy Debate
2-s2.0-0003039571,2001,0033191476|84959808114|0030251148|0347172041|0022128090|0025810205|0345910612|0033041722|0019640404|0025660350|0005458442|0023522925|0030136321,Journal of Health and Social Behavior|Review of Economic Studies|Journal of Health Economics|Journal of Criminal Law and Criminology|Journal of Health Economics|American Journal of Psychiatry|Journal of Criminal Law and Criminology|Family Planning Perspectives|Demography|Journal of Political Economy|Quarterly Journal of Economics|Demography|Demography
2-s2.0-0040884260,2001,84878296161|0037497348|0001099198|0025966234|0012798622|0000999134|0031285042|0000416536|0002624840|0019600175|38249027897|8744258405|0002175362|0017343154|0012321955|38549147867|0001529506|58149404802|0028665936|44049114641|0032250062|0040770385|0039703727|0039647005|84993869066,"Journal of Financial Counseling and Planning|Journal of Finance|Quarterly Journal of Economics|Social Science and Medicine|Journal of Financial Markets|Journal of Personality and Social Psychology|Personality and Social Psychology Bulletin|Journal of Gambling Studies|Journal of Finance|Journal of Experimental Psychology: Human Perception and Performance|Journal of Business Venturing|Journal of Finance|Journal of Personality and Social Psychology|Journal of Research in Personality|Journal of Political Economy|Journal of Financial Economics|Health, Risk and Society|Journal of Experimental Psychology: Human Perception and Performance|Risk Analysis|Cognitive Psychology|Economic Inquiry|Journal of General Psychology|Acta Psychologica|Journal of Finance|The Journal of Finance"
2-s2.0-0038978080,2001,0016525445|0038969032|0006037671|84960566726|0038957677|0039552115|84963075943|84963066478|84963071606,Psychological Bulletin|Quarterly Journal of Economics|Brookings Papers on Economic Activity|Quarterly Journal of Economics|American Economic Review|Quarterly Journal of Economics|Review of Economic Studies|Review of Economic Studies|Review of Economic Studies
2-s2.0-0011868510,2001,84986870528|84960569930|0016957366|0000264933|0024359308|0342647487|0031080219|0027451028|0000767107|77956781498|0031226277|0031859557|51249176079|0030100132|0030696195|1842407153|0030494605|0027738857|0016787493|0021268311|0024313348|0039550186|0016803867|0020329477|0022638927|0019048651,Managerial and Decision Economics|Quarterly Journal of Economics|British Journal of Psychology|Journal of Experimental Psychology: Animal Behavior Processes|Physiology and Behavior|Behavioral and Brain Sciences|Appetite|Seminars in Neuroscience|Journal of the Experimental Analysis of Behavior|Advances in the Study of Behavior|American Psychologist|Behaviour Research and Therapy|Current Psychology|Organizational Behavior and Human Decision Processes|Journal of Research in Crime and Delinquency|Journal of the American Dietetic Association|Journal of Applied Psychology|Journal of Consulting and Clinical Psychology|Pharmacological Reviews|Behavioral and Neural Biology|Addictive Behaviors|American Economic Review|Journal of Comparative and Physiological Psychology|Science|Physiology and Behavior|American Psychologist
2-s2.0-0041110041,2001,0000089763|84973731248|38249019111|82655160828,Quarterly Journal of Economics|International Political Science Review|Journal of Economic Theory|Quarterly Journal of Economics
2-s2.0-0040970609,2001,0002893643|0001638005|84960612695|85005283779|84979188687|0033661553|0033415936|0009828672|44649197264|77958397295|84976129485|0347510823|0019638612|0002083939|0011659414,"Journal of Political Economy|Quarterly Journal of Economics|Quarterly Journal of Economics|Economic Inquiry|Economica|Journal of Political Economy|Journal of Law, Economics, and Organization|Journal of Economic Perspectives|Journal of Financial Economics|Journal of Law, Economics, and Organization|The Journal of Economic History|American Economic Review|Archives of Physiology and Biochemistry|Strategic Management Journal|Review of Economic Studies"
2-s2.0-0040970607,2001,0031066479|0033469688|0039656471|70349186735|21844501149|84959803381|84963034321,Journal of Economic Behavior and Organization|RAND Journal of Economics|Journal of Public Economics|Review of Economic Studies|Contemporary Economic Policy|Review of Economic Studies|Quarterly Journal of Economics
2-s2.0-0040884259,2001,84977718576|84981865845|38249033877|0001952123|0002554415|47749120440|84979434652|0032357342|0030487259|84960565386|0041077369|0001244008|84979434518|0000096666,The Journal of Finance|American Economic Review|European Economic Review|Journal of Economic Theory|Journal of Economic Theory|Review of Economic Studies|Journal of Futures Markets|RAND Journal of Economics|Journal of Futures Markets|Quarterly Journal of Economics|American Economic Review|Zeitschrift für Nationalökonomie Journal of Economics|Journal of Futures Markets|Journal of Economic Theory
2-s2.0-0040756390,2001,84942834707|0001837428|84935496955|0000431946|85008735475|84984007675|0001051264|21844507658|0028591926|82655160828|0001634348|0002044624|0032325207|0026956612,Quarterly Journal of Economics|American Economic Review|The Journal of Mathematical Sociology|Journal of Economic Theory|Quarterly Journal of Economics|Review of Income and Wealth|Stochastic Processes and their Applications|Economics Letters|American Economic Review|Quarterly Journal of Economics|Journal of Economic Literature|Journal of Public Economics|Journal of Public Economics|American Economic Review
2-s2.0-0040515949,2001,85059162373|0001018654|0025114735|0002872266|0031537029|0031425223,Social Dimensions of U.S. Trade Policies|American Economic Review|Canadian Journal of Economics|Journal of International Economics|Japan and the World Economy|Oxford Economic Papers
2-s2.0-0040481570,2001,84906006114|0031413175|0040289950|70350096085|0010104544|0040360985|0012296912|84930063848|0029507570|31744450082,Quarterly Journal of Economics|American Economic Review|Journal of Finance|Handbook of Econometrics|Journal of Finance|Quarterly Journal of Economics|Journal of Banking and Finance|The Journal of Finance|Quarterly Journal of Economics|Journal of Risk and Uncertainty
2-s2.0-0039888638,2001,0005450638|0000635706|0001791063|21144470368|0006037671|84887554969|32344440683|0038957677|0002885747|0028796356|0002025043|0027673022|84977427532|0041906953|0016264378|84965454805,National Tax Journal|Journal of Economic Perspectives|Journal of Economic Perspectives|Journal of Risk and Uncertainty|Brookings Papers on Economic Activity|European Review of Social Psychology|Organizational Behavior and Human Decision Processes|American Economic Review|Journal of Economic Perspectives|JAMA: The Journal of the American Medical Association|Journal of Risk and Uncertainty|Cognition|Economic Inquiry|Journal of Economic Behavior and Organization|Science|Psychological Science
2-s2.0-0039888179,2001,0030543635|0032325271|38249026667|0030478859|0001165157|38248999644|0029540506|0039559990,Psychology and Marketing|Journal of Socio-Economics|Journal of Economic Behavior and Organization|Journal of Political Economy|American Economic Review|Mathematical Social Sciences|American Economic Review|American Journal of Sociology
2-s2.0-0039784061,2001,0012465797|0033018677|0002247009|21844512599|77958406983|0000953034|0001059841|43949150974|0000106797|0030075541|0000481893|0009200691|0000072575|0030560548|0027086654|0000211393|0001475438|0009169278|33845790377,"Journal of Economic Perspectives|Journal of Political Economy|Journal of Finance|Quarterly Journal of Economics|Journal of Law, Economics, and Organization|American Economic Review|Journal of Financial Economics|Journal of Financial Economics|Journal of Financial Economics|Journal of Financial Economics|Journal of Political Economy|Quarterly Journal of Economics|Journal of Financial Economics|RAND Journal of Economics|Quarterly Journal of Economics|Journal of Financial Economics|Journal of Accounting and Economics|Journal of Finance|Journal of Financial Economics"
2-s2.0-0039296571,2001,0002893643|0024878964|0000307458|0029539563|0013404860|0011966277|85041141825|0032784336|0012006828|0003065652|0010922718|0000926338|85041154238,"Journal of Political Economy|World Development|American Economic Review|World Development|Quarterly Journal of Economics|Quarterly Journal of Economics|Non-governmental organizations and the state in Asia: rethinking roles in sustainable agricultural development|Working together for a change: government, business, and civic partnerships for poverty reduction in Latin America and the Caribbean|Quarterly Journal of Economics|Review of Economic Studies|Quarterly Journal of Economics|Journal of Economic Perspectives|Bureaucrats in business. The economics and politics of government ownership"
2-s2.0-0039191747,2001,84916228748|0001090622|84971725007|84971737310|0034336543|84971750693|0001362392|0030306456|0032164073|84973994613|84974402866|0032220677|0030306455|84971723023|0032771720|84974125676,Review of Economic Studies|Econometrica|American Political Science Review|American Political Science Review|American Political Science Review|American Political Science Review|American Political Science Review|American Political Science Review|American Political Science Review|American Political Science Review|American Political Science Review|American Political Science Review|American Political Science Review|American Political Science Review|European Economic Review|American Political Science Review
2-s2.0-0038978081,2001,0022105206|0015372821|0000713098|0016151640|0001099198|0021794589|0038992048|0002347336|0031900357|0029952598|0009666159|21844512111|0027687523|0026573211|0016591143|0031833970,Journal of Consulting and Clinical Psychology|Journal of Personality and Social Psychology|Journal of Applied Social Psychology|Psychophysiology|Quarterly Journal of Economics|Operations Research|Journal of Abnormal and Social Psychology|Quarterly Journal of Economics|Psychosomatic Medicine|Psychosomatic Medicine|Journal of Economic Theory|Journal of Risk and Uncertainty|Health Psychology|Journal of the National Cancer Institute|Journal of Consulting and Clinical Psychology|Journal of Clinical Oncology
2-s2.0-0038134624,2001,21844486416|0038979610|79953309130|0002629703|38248999830|0000800064|0011212554|0000828298|0030210383|0346207524|43949150167|84953154874|0000312611|0032250062|84953095481|0002675727|84866438757,Economics Letters|International Journal of Game Theory|American Economic Review|Journal of Economic Behavior and Organization|Journal of Economic Behavior and Organization|Economic Journal|American Economic Review|American Psychologist|Journal of Economic Behavior and Organization|Economic Journal|Games and Economic Behavior|Journal of Psychology: Interdisciplinary and Applied|Journal of Public Economics|Economic Inquiry|Journal of Psychology: Interdisciplinary and Applied|Journal of Economic Behavior and Organization|Journal of Social Psychology
