scopus_id,year,managing_editor,editor,associate_editor
6505885011,2006,,,Econometric Theory; Journal of Business and Economic Statistics; Journal of Financial Econometrics
6505885011,2007,,,Econometric Theory; Journal of Business and Economic Statistics; Journal of Financial Econometrics
6505885011,2008,,,Econometric Theory; Journal of Business and Economic Statistics; Journal of Financial Econometrics
6505885011,2009,,,Econometrics Journal; Econometric Theory; Journal of Business and Economic Statistics; Journal of Financial Econometrics
6505885011,2010,,,Econometrics Journal; Econometric Theory; Journal of Business and Economic Statistics; Journal of Financial Econometrics
6505885011,2011,,,Econometrics Journal; Econometric Theory; Journal of Business and Economic Statistics; Journal of Financial Econometrics
6505885011,2012,,Journal of Financial Econometrics,Econometrics Journal; Econometric Theory; Journal of Business and Economic Statistics
6505885011,2013,,Journal of Financial Econometrics,Econometrics Journal; Econometric Theory; Journal of Business and Economic Statistics
6505885011,2014,,Journal of Financial Econometrics,Econometrics Journal; Econometric Theory; Journal of Business and Economic Statistics
6505885011,2015,Journal of Financial Econometrics,,Econometrics Journal; Econometric Theory; Journal of Business and Economic Statistics
6505885011,2016,Journal of Financial Econometrics,,Econometrics Journal; Econometric Theory; Journal of Business and Economic Statistics
6505885011,2017,Journal of Financial Econometrics,,Econometrics Journal; Econometric Theory; Journal of Business and Economic Statistics
6505885011,2018,Journal of Financial Econometrics,,Econometrics Journal; Econometric Theory; Journal of Business and Economic Statistics
6505885011,2019,Journal of Financial Econometrics,,Econometrics Journal; Econometric Theory; Journal of Business and Economic Statistics
6506018801,2013,,,Journal of International Money and Finance
6506018801,2014,,,Journal of International Money and Finance
6506018801,2015,,,Journal of International Money and Finance
6506018801,2016,,,Journal of International Money and Finance
6506018801,2017,,,Journal of International Money and Finance
6506018801,2018,,,Journal of International Money and Finance
6506018801,2019,,,Journal of International Money and Finance
6506433914,2004,,,Journal of Business and Economic Statistics
6506433914,2005,,,Journal of Business and Economic Statistics
6506433914,2006,,,Journal of Business and Economic Statistics
6506433914,2007,,,Journal of Business and Economic Statistics
6506433914,2008,,,Journal of Business and Economic Statistics
6506433914,2009,,,Journal of Finance
6506433914,2010,,,Journal of Finance
6506433914,2011,,,Journal of Finance
6506433914,2012,,,Journal of Finance
6506433914,2013,,,Journal of Finance
6506433914,2014,,,Journal of Finance
6506433914,2015,,,Journal of Finance
6506433914,2016,,,Journal of Finance
6506641986,2005,,,Economic Journal
6506641986,2006,,Journal of Political Economy,Economic Journal; American Economic Review
6506641986,2007,,Journal of Political Economy,Economic Journal; American Economic Review
6506641986,2008,,Journal of Political Economy,Economic Journal; American Economic Review
6506641986,2009,,Journal of Political Economy,
6506641986,2010,,Journal of Political Economy,
6506641986,2011,,Journal of Political Economy,
6506641986,2012,,Journal of Political Economy,
6506641986,2013,,Journal of Political Economy,
6506641986,2014,,Journal of Political Economy,
6506784723,2014,,,Journal of Financial Intermediation; Management Science
6506784723,2015,,Real Estate Economics,Journal of Financial Intermediation; Journal of Banking and Finance; Management Science
6506784723,2016,,Management Science; Real Estate Economics,Journal of Financial Intermediation; Journal of Banking and Finance
6506784723,2017,,Management Science; Real Estate Economics,Journal of Financial Intermediation; Journal of Banking and Finance
6506784723,2018,,Management Science; Real Estate Economics,Journal of Financial Intermediation
6506784723,2019,,Management Science; Real Estate Economics,Journal of Financial Intermediation
6506962565,2003,,,International Finance
6506962565,2004,,,International Finance
6506962565,2005,,,International Finance
6506962565,2006,,,International Finance
6506962565,2007,,,International Finance; Economics
6506962565,2008,,,International Finance; Economics
6506962565,2009,,Review of International Economics,International Finance; Journal of International Economics; Economics
6506962565,2010,,Review of International Economics,International Finance; Journal of International Economics; Economics
6506962565,2011,Economics; Journal of International Economics,Review of International Economics,International Finance; Journal of International Economics
6506962565,2012,Economics; Journal of International Economics,Review of International Economics,International Finance; Journal of International Economics
6506962565,2013,Economics; Journal of International Economics,Review of International Economics,International Finance; Journal of International Economics
6506962565,2014,Economics; Journal of International Economics,Review of International Economics,International Finance; Journal of International Economics
6506962565,2015,Economics; Journal of International Economics,Review of International Economics,International Finance; Journal of International Economics
6506962565,2016,Economics; Journal of International Economics,Review of International Economics,International Finance; Journal of International Economics
6506962565,2017,Economics; Journal of International Economics,Review of International Economics,International Finance; Journal of International Economics
6506962565,2018,Economics; Journal of International Economics,Review of International Economics,International Finance; Journal of International Economics
6506962565,2019,Economics; Journal of International Economics,Review of International Economics,International Finance; Journal of International Economics
6507055522,2010,,Journal of Applied Finance; Journal of Banking and Finance; Journal of Financial Intermediation,
6507055522,2011,,Journal of Applied Finance; Journal of Banking and Finance; Journal of Financial Intermediation,
6507055522,2012,,Journal of Applied Finance; Journal of Banking and Finance; Journal of Financial Intermediation,
6507055522,2013,,Journal of Applied Finance; Journal of Banking and Finance; Journal of Financial Intermediation,
6507055522,2014,,Journal of Applied Finance; Journal of Banking and Finance; Journal of Financial Intermediation,
6507055522,2015,,Journal of Applied Finance; Journal of Banking and Finance; Journal of Financial Intermediation,
6507294106,1996,,,Journal of Real Estate Finance and Economics; Real Estate Economics; Pacific Basin Finance Journal; Journal of Housing Economics; Economic Notes
6507294106,1997,,,Journal of Real Estate Finance and Economics; Real Estate Economics; Pacific Basin Finance Journal; Journal of Housing Economics; Economic Notes
6507294106,1998,,,Journal of Real Estate Finance and Economics; Real Estate Economics; Pacific Basin Finance Journal; Journal of Housing Economics; Economic Notes
6507294106,1999,,,Journal of Real Estate Finance and Economics; Real Estate Economics; Pacific Basin Finance Journal; Journal of Housing Economics; Economic Notes
6507294106,2000,,,Journal of Real Estate Finance and Economics; Real Estate Economics; Pacific Basin Finance Journal; Journal of Housing Economics; Economic Notes
6507294106,2001,,,Journal of Real Estate Finance and Economics; Real Estate Economics; Pacific Basin Finance Journal; Journal of Housing Economics; Economic Notes
6507294106,2002,,,Journal of Real Estate Finance and Economics; Real Estate Economics; Pacific Basin Finance Journal; Journal of Housing Economics; Economic Notes
6507294106,2003,,,Journal of Real Estate Finance and Economics; Real Estate Economics; Pacific Basin Finance Journal; Journal of Housing Economics; Economic Notes
6507294106,2004,,,Journal of Real Estate Finance and Economics; Real Estate Economics; Journal of Housing Economics; Economic Notes
6507294106,2005,,,Journal of Real Estate Finance and Economics; Real Estate Economics; Journal of Housing Economics; Economic Notes
6507294106,2006,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics; Economic Notes
6507294106,2007,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics; Economic Notes
6507294106,2008,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics; Economic Notes
6507294106,2009,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics; Economic Notes
6507294106,2010,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics; Economic Notes
6507294106,2011,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics; Economic Notes
6507294106,2012,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics
6507294106,2013,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics
6507294106,2014,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics
6507294106,2015,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics
6507294106,2016,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics
6507294106,2017,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics
6507294106,2018,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics
6507294106,2019,,Real Estate Economics,Journal of Real Estate Finance and Economics; Journal of Housing Economics
6507310217,1995,Journal of International Financial Management and Accounting,Review of Financial Economics; International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,1996,Journal of International Financial Management and Accounting,Review of Financial Economics; International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,1997,Journal of International Financial Management and Accounting,Review of Financial Economics; International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,1998,Journal of International Financial Management and Accounting,Review of Financial Economics; International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,1999,Journal of International Financial Management and Accounting,Review of Financial Economics; International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2000,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2001,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2002,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2003,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2004,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2005,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2006,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2007,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2008,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2009,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2010,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2011,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2012,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2013,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2014,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2015,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2016,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2017,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2018,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507310217,2019,Journal of International Financial Management and Accounting,International Journal of Finance and Economics,International Journal of Finance and Economics
6507592418,2008,,,International Review of Finance
6507592418,2009,,,International Review of Finance
6507592418,2010,,,International Review of Finance
6507592418,2011,,,International Review of Finance
6507592418,2012,,,International Review of Finance
6507592418,2013,,,Journal of Financial Intermediation
6507592418,2014,,,Journal of Financial Intermediation
6507592418,2015,International Review of Finance,,Review of Financial Studies
6507592418,2016,International Review of Finance,,Review of Financial Studies
6507592418,2017,International Review of Finance,Review of Finance,Journal of Banking and Finance
6507592418,2018,Journal of Financial Intermediation,Review of Finance,Journal of Banking and Finance; International Review of Finance
6507592418,2019,,Review of Finance,Journal of Banking and Finance
6507947601,2006,,,Journal of Development Economics
6507947601,2007,,,Journal of Development Economics
6507947601,2008,,,Journal of Development Economics
6507947601,2009,,,Journal of Development Economics
6507947601,2010,,,Journal of Development Economics
6507947601,2011,,,IMF Economic Review; Journal of Development Economics
6507947601,2012,,,IMF Economic Review; Journal of Development Economics
6508167439,2003,,Economía,
6508167439,2004,,Economía,
6508167439,2007,,Estudios Económicos,
6508167439,2008,,Estudios Económicos,
6508167439,2009,,Banks and Bank Systems; Estudios Económicos,
6508167439,2010,,Banks and Bank Systems; Estudios Económicos,
6508167439,2011,,Banks and Bank Systems,
6508167439,2012,,Banks and Bank Systems,
6508167439,2013,,Banks and Bank Systems,
6508167439,2014,,Banks and Bank Systems,
6508167439,2015,,Banks and Bank Systems,
6508167439,2016,,Research Encyclopedia of Economics and Finance,
6508167439,2017,,Research Encyclopedia of Economics and Finance,
6508167439,2018,,Research Encyclopedia of Economics and Finance,
6508167439,2019,,Research Encyclopedia of Economics and Finance,
6508204775,2012,,,Journal of Finance
6508204775,2013,,,Journal of Finance
6508204775,2014,,,Journal of Finance
6508204775,2015,,,Journal of Finance
6508204775,2016,,,Journal of Finance
6508204775,2018,,,Journal of Economic Theory
6508204775,2019,,,Journal of Economic Theory
6601926430,1991,,,Journal of Real Estate Finance and Economics
6601926430,1992,,,Journal of Real Estate Finance and Economics; Journal of Property Research
6601926430,1993,,,Journal of Real Estate Finance and Economics; Journal of Property Research; Journal of Regional Science
6601926430,1994,,,Journal of Real Estate Finance and Economics; Journal of Property Research; Journal of Regional Science; Real Estate Finance
6601926430,1995,,,Journal of Real Estate Finance and Economics; Journal of Property Research; Journal of Regional Science; Real Estate Finance
6601926430,1996,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance
6601926430,1997,Real Estate Economics,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance
6601926430,1998,Real Estate Economics,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society
6601926430,1999,Real Estate Economics,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society
6601926430,2000,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society
6601926430,2001,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society
6601926430,2002,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society
6601926430,2003,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society
6601926430,2004,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society
6601926430,2005,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society
6601926430,2006,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society
6601926430,2007,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society
6601926430,2008,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society; Journal of Urban Economics
6601926430,2009,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society; Journal of Urban Economics
6601926430,2010,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society; Journal of Urban Economics
6601926430,2011,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society; Journal of Urban Economics
6601926430,2012,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society; Journal of Urban Economics
6601926430,2013,,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society; Journal of Urban Economics
6601926430,2014,Journal of Urban Economics,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society; Journal of Urban Economics
6601926430,2015,Journal of Urban Economics,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society; Journal of Urban Economics
6601926430,2016,Journal of Urban Economics,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society; Journal of Urban Economics
6601926430,2017,Journal of Urban Economics,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society; Journal of Urban Economics
6601926430,2018,Journal of Urban Economics,,Journal of Real Estate Finance and Economics; Journal of Regional Science; Real Estate Finance; Journal of Real Estate Portfolio Management; Journal of the Asian Real Estate Society; Journal of Urban Economics
6601996611,1996,Journal of Monetary Economics,,International Economic Review; Economics Letters
6601996611,1997,,,American Economic Review
6601996611,1998,,,Journal of Monetary Economics
6601996611,1999,,,Journal of Monetary Economics
6601996611,2000,,,Journal of Monetary Economics
6601996611,2001,,,Journal of Monetary Economics
6601996611,2002,,,Journal of Monetary Economics
6601996611,2003,,,Journal of Monetary Economics
6601996611,2004,,,Journal of Monetary Economics
6601996611,2005,,,Journal of Monetary Economics
6601996611,2006,,,Journal of Monetary Economics
6601996611,2007,,Review of Economic Dynamics,
6601996611,2008,,Review of Economic Dynamics,
6601996611,2009,,Review of Economic Dynamics,
6601996611,2010,,Review of Economic Dynamics,Journal of Economic Literature
6601996611,2011,,Review of Economic Dynamics,Journal of Economic Literature
6601996611,2012,,Review of Economic Dynamics,Journal of Economic Literature
6601996611,2013,,Review of Economic Dynamics,
6602077254,2003,,,Journal of Finance
6602077254,2004,,,Journal of Finance
6602077254,2005,,,Journal of Finance
6602077254,2006,,,Journal of Finance
6602077254,2007,,,Journal of Finance
6602077254,2008,Journal of Financial Intermediation,,Journal of Finance
6602077254,2009,Journal of Financial Intermediation,,Journal of Finance
6602077254,2010,Journal of Financial Intermediation,,Journal of Finance
6602077254,2011,Journal of Financial Intermediation,,Journal of Finance
6602077254,2012,Journal of Financial Intermediation,,Journal of Finance
6602077254,2013,,,Journal of Banking and Finance; Journal of Financial Crises
6602077254,2019,,,Journal of Financial Stability
6602099638,2001,,National Tax Journal,
6602099638,2002,,National Tax Journal,
6602099638,2003,,National Tax Journal,
6602099638,2004,,National Tax Journal,
6602099638,2005,,National Tax Journal,
6602099638,2006,,National Tax Journal,
6602099638,2014,,International Tax and Public Finance,
6602099638,2015,,International Tax and Public Finance,
6602099638,2016,,International Tax and Public Finance,
6602099638,2017,,International Tax and Public Finance,
6602150854,2001,,,Journal of Business and Economic Statistics
6602150854,2002,,,Journal of Business and Economic Statistics
6602150854,2003,,,Journal of Business and Economic Statistics
6602150854,2004,,,Journal of Business and Economic Statistics
6602150854,2005,,,Journal of Business and Economic Statistics
6602150854,2006,,,Journal of Business and Economic Statistics; Journal of Public Economics; European Economic Review
6602150854,2007,,American Economic Review,Journal of Public Economics; European Economic Review
6602150854,2008,,American Economic Review,Journal of Public Economics; European Economic Review
6602150854,2009,,American Economic Review,Journal of Public Economics; European Economic Review
6602150854,2010,,American Economic Review,Journal of Public Economics; European Economic Review
6602150854,2011,,International Economic Review; American Economic Review,Journal of Public Economics; European Economic Review
6602150854,2012,,International Economic Review; Journal of Urban Economics,
6602150854,2013,,International Economic Review; Journal of Urban Economics,
6602150854,2014,,International Economic Review; Journal of Urban Economics,
6602150854,2015,,International Economic Review,
6602150854,2016,,Journal of Economic Literature; International Economic Review,
6602150854,2017,,Journal of Economic Literature; International Economic Review,
6602150854,2018,,Journal of Economic Literature; International Economic Review,
6602150854,2019,,Journal of Economic Literature; International Economic Review,
6602218301,1998,,Review of Economic Studies,
6602218301,1999,,Review of Economic Studies,
6602218301,2000,,Review of Economic Studies,
6602218301,2001,,Review of Economic Studies,
6602218301,2002,,Review of Economic Studies,
6602218301,2003,,Review of Economic Studies,Journal of Finance
6602218301,2004,,Review of Economic Studies,Journal of Finance
6602218301,2005,,Review of Economic Studies,Journal of Finance
6602218301,2006,,Review of Economic Studies,Journal of Finance
6602218301,2007,,Journal of Financial Intermediation; Review of Economic Studies,Journal of Finance
6602218301,2008,,Journal of Financial Intermediation,Journal of Finance
6602218301,2009,,Private Equity Findings; Journal of Financial Intermediation,Journal of Finance
6602218301,2010,,Private Equity Findings; Journal of Financial Intermediation,Journal of Finance
6602218301,2011,,Private Equity Findings; Journal of Financial Intermediation,Journal of Finance
6602218301,2012,,Private Equity Findings; Journal of Financial Intermediation,Journal of Finance
6602218301,2013,,Private Equity Findings; Journal of Financial Intermediation,
6602218301,2014,,Review of Financial Studies; Private Equity Findings; Journal of Financial Intermediation,
6602218301,2015,,Review of Financial Studies; Private Equity Findings,
6602218301,2016,,Review of Financial Studies; Private Equity Findings,
6602218301,2017,,Review of Financial Studies,
6602218301,2018,,Review of Financial Studies,
6602234506,1987,,Review of Financial Studies,Journal of Real Estate Finance and Economics
6602234506,1988,,Review of Financial Studies,Journal of Real Estate Finance and Economics
6602234506,1989,,Review of Financial Studies,Journal of Real Estate Finance and Economics
6602234506,1990,Review of Financial Studies,Review of Financial Studies,Journal of Real Estate Finance and Economics
6602234506,1991,Review of Financial Studies,,Journal of Real Estate Finance and Economics
6602234506,1992,Review of Financial Studies,,Journal of Real Estate Finance and Economics
6602234506,1993,Review of Financial Studies,,Journal of Real Estate Finance and Economics
6602234506,1994,,,Journal of Real Estate Finance and Economics
6602234506,1995,,,Journal of Real Estate Finance and Economics
6602234506,1996,,,Journal of Real Estate Finance and Economics
6602234506,1997,,,Journal of Real Estate Finance and Economics
6602234506,1998,,,Journal of Real Estate Finance and Economics
6602234506,1999,Financial Management,,Real Estate Economics
6602234506,2000,Financial Management,,Real Estate Economics
6602234506,2001,Financial Management,,Real Estate Economics
6602234506,2002,Financial Management,,Real Estate Economics
6602234506,2003,Financial Management,,Real Estate Economics; Journal of Financial Markets
6602234506,2004,Financial Management,,Real Estate Economics; Journal of Financial Markets
6602234506,2005,Financial Management,,Real Estate Economics; Journal of Financial Markets
6602234506,2006,,,Real Estate Economics
6602234506,2007,,,Real Estate Economics
6602234506,2008,,,Real Estate Economics
6602234506,2009,,,Real Estate Economics
6602234506,2010,,,Real Estate Economics
6602234506,2011,,,Real Estate Economics
6602234506,2012,,,Real Estate Economics
6602234506,2013,,,Real Estate Economics
6602234506,2014,,,Real Estate Economics
6602234506,2015,,,Real Estate Economics
6602234506,2016,,,Real Estate Economics
6602240480,1995,,,"Review of Financial Studies; Management Science; Journal of Money, Credit and Banking; Journal of Financial Intermediation"
6602240480,1996,,Advances in Futures and Options Research,"Review of Financial Studies; Management Science; Journal of Money, Credit and Banking; Journal of Financial Intermediation"
6602240480,1997,,Advances in Futures and Options Research,"Review of Financial Studies; Management Science; Journal of Money, Credit and Banking; Journal of Financial Intermediation"
6602240480,1998,,Advances in Futures and Options Research,"Journal of Banking and Finance; Review of Financial Studies; Management Science; Journal of Money, Credit and Banking; Journal of Financial Intermediation"
6602240480,1999,,Advances in Futures and Options Research,"Journal of Financial Services Research; Journal of Banking and Finance; Review of Financial Studies; Management Science; Journal of Money, Credit and Banking; Journal of Financial Intermediation"
6602240480,2000,,Advances in Futures and Options Research,"Journal of Financial Services Research; Journal of Banking and Finance; Journal of Finance; Management Science; Journal of Money, Credit and Banking; Journal of Financial Intermediation"
6602240480,2001,,,"Journal of Financial Services Research; Journal of Banking and Finance; Journal of Finance; Journal of Money, Credit and Banking; Journal of Financial Intermediation"
6602240480,2002,,Journal of Financial Intermediation,"Journal of Financial Services Research; Journal of Banking and Finance; Journal of Finance; Journal of Money, Credit and Banking; Journal of Financial Intermediation"
6602240480,2003,,Journal of Financial Intermediation,"Journal of Financial Services Research; Journal of Banking and Finance; Journal of Finance; Journal of Money, Credit and Banking"
6602240480,2004,,Journal of Financial Intermediation,"Journal of Financial Services Research; Journal of Banking and Finance; Journal of Money, Credit and Banking"
6602240480,2005,,Journal of Financial Intermediation,"Journal of Financial Services Research; Journal of Banking and Finance; Journal of Money, Credit and Banking"
6602240480,2006,,Journal of Financial Intermediation,"Journal of Financial and Quantitative Analysis; Journal of Financial Services Research; Journal of Banking and Finance; Journal of Money, Credit and Banking"
6602240480,2007,,Journal of Financial Intermediation,"Journal of Financial and Quantitative Analysis; Journal of Financial Services Research; Journal of Banking and Finance; Journal of Money, Credit and Banking"
6602240480,2008,,Journal of Financial Intermediation,"Journal of Financial and Quantitative Analysis; Journal of Financial Services Research; Journal of Money, Credit and Banking"
6602240480,2009,Journal of Financial Intermediation,,"Journal of Financial and Quantitative Analysis; Journal of Financial Services Research; Journal of Money, Credit and Banking"
6602240480,2010,Journal of Financial Intermediation,,"Journal of Financial and Quantitative Analysis; Journal of Financial Services Research; Journal of Money, Credit and Banking"
6602240480,2011,Journal of Financial Intermediation,,"Journal of Financial and Quantitative Analysis; Journal of Financial Services Research; Journal of Money, Credit and Banking"
6602240480,2012,Journal of Financial Intermediation,,Journal of Financial and Quantitative Analysis; Journal of Financial Services Research
6602240480,2013,Journal of Financial Intermediation,,Journal of Financial and Quantitative Analysis; Journal of Financial Intermediation; Journal of Financial Services Research
6602240480,2014,,,Journal of Financial and Quantitative Analysis; Journal of Financial Intermediation; Journal of Financial Services Research
