title,group,year,abstract
Roll-ups: Performance and Incentives for Industry-Consolidating IPOs,CF,2000,"This study examines the motivations for and empirical performance of roll-up transactions, a special class of initial public equity offering where multiple small business entities are consolidated into a single publicly traded company. Using a sample of 47 deals initiated between 1994 and 1998, we find that the long-term stock price performance of profitability for these new firms are, on average, significantly lower than those for companies from comparable industries. An analysis of the cross-sectional variation in long-run stock performance reveals that it is important that managers and owners of companies acquired in the roll-up remain involved in the business as shareholders and dierctiors. Further, while the market's response to announcements of subsequent acquisitions by the roll-up firms is positive, market-adjusted post-announcements returns are significantly negative. We conclude that, as an organizational form, roll-ups have not met investor expectations and have, on average, decreased shareholder value."
Stock Options for Undiversified Executives*,CF,2000,"We develop a certainty-equivalence framework to analyze the cost and value of, and incentives provided by, non-tradable options held by undiversified risk-averse executives. We derive “Executive Value” lines, the risk-adjusted analogues to Black-Scholes lines, and distinguish between “executive value” and “company cost.” We show that this framework explains (or sheds light on) virtually all of the major stylized facts about stock option practices, including: 1. Why executives often argue that Black-Scholes values are too high, 2. Why executives typically demand large premiums to exchange options for cash (suggesting that options are an expensive way to convey pay),  3. Why executive reported pay levels have increased substantially over the past decade (while risk-adjusted increases have been far more modest), 4. Why virtually all options are granted at-the-money, 5. Why “indexed options” and “premium options” are rarely observed in practice despite their strong advocates and seemingly attractive features, 6. Why companies often re-set the exercise price on underwater options, 7. Why executives often exercise stock options well before expiration (even for non-dividend paying stocks), forfeiting substantial option value, 8. Why companies allow executives to exercise options prior to expiration (and why this policy is advantageous to both executives and shareholders), 9. Why short vesting periods (which have modest effects on executive value and company cost) are the norm (and why long vesting periods are almost never observed in practice)."
The Really Long Run Performance of IPOs- the Pre-NASDAQ Evidence,CF,2000,"Financial economists in recent years have closely examined and intensely debated the performance of initial public offerings using data after the formation of NASDAQ. The paper seeks to shed light on this controversy by undertaking a large, out-of-sample study: we examine the performance for five years after listing of nearly 3,700 initial public offerings in the United States from 1935 to 1972. The sample shows subtantial underperformance when event time buy-and-hold abnormal returns are used. The underperformance disappears, however, when cumulative abnormal returns are utilized. A calendar time analysis also shows that over the entire sample period - i.e., from 1935 to 1976 - IPOs return as much as the market. But periods directly after heavy IPO volumes are associated with low IPO and benchmark returns, suggesting that managers at IPO firms may target peaks in overall market valuation. Finally, the intercepts in CAPM and Fama-French three-factor regressions are insignificantly different from zero, suggesting no abnormal performance."
Venture Capital and the Professionalization of Start-up Firms: Empirical Evidence,CF,2000,"This paper examines empirical evidence on the impact that venture capitalists can have on the development path of new firms. We use a hand-collected data set on Silicon Valley start-up companies that allows us to “look inside the black box” and analyze the influence of venture capital on the professionalization of firms’ internal organization. The evidence suggests that there is a “soft” facet to venture capitalists, in terms of supporting companies to build up their human resources within the organization. Venture capital is also important at the top, in that venture capital backed companies are more likely and faster to bring in outsiders as CEOs. These CEO replacements are often accompanied with the founder departing from the company, suggesting that venture capitalists also  exhibit a “hard” facet in terms of exercising control. The paper examines how these various roles are interrelated, and shows how the role of venture capital varies with the state of the company."
A Game Theoretic View of the Fiscal Theory of the Price Level,EFCE,2000,"The goal of this paper is to probe the validity of the scal theory of the price level by modeling explicitly the market structure in which households and the governments make their decisions. I describe the economy as a game, and I am thus able to state precisely the consequences of actions that are out of the equilibrium path. I show that there exist government strategies that lead to a version of the scal theory, in which the price level is determined by scal variables alone. However, these strategies are more complex than the simple budgetary rules usually associated with the scal theory, and the government budget constraint cannot be merely viewed as an equilibrium condition."
A Monetary Shock in an Uncertain and Sequential Trade Model,EFCE,2000,"I study the effects of a monetary shock in a simple version of the uncertain and sequential trade (UST) model. A negative money shock has: (a) no effect on quoted prices in the first period, (b) a negative effect on output, (c) a positive effect on the interest rate, (d) a negative effect on the real wages and (e) a negative effect on real profits. These effects are in accordance with the stylized facts in Christiano Eichenbaum and Evans (1997)."
An Econometric Model of the Yield Curve with Macroeconomic Jump Effects,EFCE,2000,"This paper develops an arbitrage-free time-series model of yields that incorporates central bank policy. The model introduces a class of linear-quadratic jump diffusions as state variables. A special case of this setup is used to describe U.S. interest rates, the Federal Reserve’s target rate, and key macroeconomic aggregates. The U.S. application captures: (i) target-rate moves on FOMC meeting days, (ii) ‘exceptional’ policy moves outside of FOMC meetings, and (iii) releases of macroeconomic news that are likely to affect future Fed actions. To fit the model, the method of simulated-maximum-likelihood estimation is extended to allow for jump-diffusions. Introducing the target rate as a fourth, observable, factor into a three-latent-factor framework is shown to be a tractable way of improving the overall term-structure fit, especially at short maturities. A policy-inertia factor influences the conditional probability of target changes. Fed policy is linked to the increased volatility of yields on FOMC meeting and release days, and to the the observed “snake-shaped” term structure of yield volatility."
An Optimizing Model of U.S. Wage and Price Dynamics,EFCE,2000,
Avoiding Liquidity Traps,EFCE,2000,
Efficiency Wages and the Business Cycle,EFCE,2000,
Evaluating the Costs of Business Cycles in Models of Endogenous Growth,EFCE,2000,"In his famous monograph, Lucas (1987) put forth an argument that the welfare gains from reducing the volatility of aggregate consumption are negligible. Subsequent work that has revisited Lucas’ calculation has continued to find only small benefits from reducing the volatility ofconsumption, further reinforcing the perception that business cycles don’t matter. This paper argues instead that fluctuations could affect the growth process, which could have much larger effects than consumption volatility. I present an argument for why stabilization could increase growth without a reduction in current consumption, which could imply substantial welfare effects as Lucas (1987) already observed in his calculation. Empirical evidence and calibration exercises suggest that the welfare effects can be quite substantial, possibly as much as two orders of magnitude greater than Lucas’ original estimates."
Idiosyncratic Risk and Aggregate Employment Dynamics,EFCE,2000,
Imperfect Credibility and Inflation Persistence,EFCE,2000,
Investment and Interest Rate Policy,EFCE,2000,
"Monetary Shocks, Agency Costs and Business Cycles",EFCE,2000,
Nonconvex Factor Adjustment and the Business Cycle: Do Nonlinearities Matter,EFCE,2000,-
Optimal Monetary Policy and Exchange Rate Volatility in a Small Open Economy,EFCE,2000,"We lay out a tractably small open economy version of the canonical sticky price model, and use it as a framework to study the properties of three alternative monetary regimes: (a) optimal monetary policy, (b) a Taylor rule, and (c) an exchange rate peg. Several interesting results emerge from our analysis. First, the optimal policy is shown to entail a positive correlation between domestic and world interest rates. That doesn't prevent sizable fluctuations of nominal and real exchange rates from occurring, though the implied volatility of those variables is much smaller than the empirical one. Second, a Taylor rule generally leads to excess volatility of nominal variables, and excess smoothness of real variables, relative to the optimal policy. Finally, we show that a pure exchange rate peg seems to have better stabilization properties than a Taylor rule."
Re-Examining the Contributions of Money and Banking Shocks to the U.S. Great Depression,EFCE,2000,"This paper quantitavely evaluates the hypothesis that deflation can account for much of the Great Depression (1929-33). We examine two popular explanations of the Depression: (1) The ""high wage"" story, according to which deflation, combined with imperfectly flexible wages, raised real wages and reduced employment and output. (2) The ""bank failure"" story, accodring to which deflationary money shocks contributed to bank failures and to a reduction in the efficiency of financial intermediation, which in turn reduced lending and output. We evaluate these stories using general equilibrium business cycle models, and find that wage shocks and banking shocks account for a small fraction of the Great Depression. We also find that some other predictions of the theories are at variance with the data."
Technology and the Stock Market: 1885-1998,EFCE,2000,
A No-Arbitrage Vector Autoregression of Term Structure Dynamics with Macroeconomic & Latent Variables,EFWW,2000,
Accelerated Asymptotics for Diffusion Model Estimation,EFWW,2000,
Asymptotics for Out of Sample Tests of Causality Tests of Equal Forecast Accuracy and Encompassing for Nested Models,EFWW,2000,"This paper presents analytical and numerical evidence concerning out of sample tests of causality. The relevant environment is one in which the relative predictive ability of two nested parametric regression models is of interest. Results are provided for three statistics: a regression-based statistic suggested by Granger and Newbold (1977), a t-type statistic comparable to those suggested by Diebold and Mariano (1995) and West (1996), and an F-type statistic akin to Theil's U (1966). Since the limiting distributions under the null are nonstandard, tables of asymptotically valid critical values are provided. The null limiting distributions indicate that overfit models should predict poorly and that the Principle of Parsimony should be applied judiciously. Power calculations under a local alternative provide some guidance on the choice of test statistic and the percentage of the sample withheld for predictive evaluation."
Beyond Merton's Utopia: Effects of Non-normality and Dependence o the Precision of Variance Estimates Using High-frequency Financial Data,EFWW,2000,
Determining the Number of Factors in Approximate Factor Models,EFWW,2000,
Empirical Bayes Forecasts of One Time Series Using Many Predictors,EFWW,2000,
Estimating Stochastic Volatility Diffusions Using Conditional Moments of Integrated Volatility,EFWW,2000,"We exploit the distributional information contained in high-frequency intraday data in constructing a simple conditional moment estimator for stochastic volatility diffusions. The estimator is based on the analytical solutions of the first two conditional moments for the integrated volatility, which is e ectively approximated by the quadratic variation of the process. We successfully implement the resulting GMM estimator with high-frequency five-minute foreign exchange and equity index returns. Our simulation evidence and actual empirical results indicate that the method is very reliable and accurate. The computational speed of the procedure compares very favorably to other existing estimation methods in the literature."
Nonlinear Features of Realized FX Volatility,EFWW,2000,
Nonparametric Estimation of Single Factor Heath-Jarrow-Morton Term Structure Models and a Test for Path Independence,EFWW,2000,"A nonparametric estimator of the term structure's volatility is provided for a class of Heath-Jarrow Morton term structure models. This class of models is important because it captures, as a special case, all term structure models where the short term interest rate follows a time-homogenous univariate Markov diffusion in the equivalent risk neutral economy; such a structure is frequently considered in the term structure literature. A test for this 'Markovian short-term interest rate based structure' is developed. We find that this Markovian short-term interest rate based structure is not rejected. The result suggests that a sufficiently flexible one factor Markov short-term interest rate based model is able to capture the dynamics of the empirical terms structure of interest rates in the US bond market. A caveat of course is that nonparametric procedures inherently require large sample sizes."
Numerical Techniques for Simulated Maximum Likelihood Estimation of Stochastic Differential Equations,EFWW,2000,
Range-Based Estimation of Stochastic Volatility Models,EFWW,2000,
Spectral GMM Estimation of Continuous-Time Processes,EFWW,2000,
Technical Trading Profitability in Foreign Exchange Markets in the 1900's,EFWW,2000,"This paper presents evidence on the changes in the performance of technical trading rules in foreign exchange markets during the 1990's. Previously reported good performance for earlier time periods is no longer as strong. This dramatic shift is used as an experiment to explore whether its cause could be related to data snooping, or deeper economic issues."
Time-Consistent No-Arbitrage Models of the Term Structure,EFWW,2000,
Fear of Floating,IFM,2000,
Identification through Heteroskedasticity,IFM,2000,
Monetary Policy's Role in Exchange Rate Behavior,IFM,2000,
Noise Trading and Exchange Rate Regimes,IFM,2000,
"Output Costs, BOP Crises and Optimal Interest Rate Policy",IFM,2000,
Stages of Diversification,IFM,2000,
The Adjustment of Prices and the Adjustment of the Exchange Rate,IFM,2000,
The Price Impact of Currency Trades: Implications for Intervention,IFM,2000,"Central-bank intervention always introduces asymmetric information. There are no plausible, common-knowledge alternatives, regardless of intervention type (e.g announced vs. unannounced), and regardless of efficacy channel (e.g., portfolio vs information). This paper recasts intervention analysis into a framework of asymmetric information. This allows us to address long-standing questions in a new way. We offer four main results. First, we find evidence of imperfect substitutability, a necessary condition for the efficacy of the portfolio channel. Second, we find evidence of an operative signaling channel. Third, we establish a lower bound on the unconditional price impact of sterilized trades: 5 basis points per $100 million. Fourth, we provide an explicit answer to an important unanswered question: “When should Central Banks intervene?”"
Assessing Nominal Income Rules for Monetary Policy with Model and Data Uncertainty,ME,2000,
Avoiding Liquidity Traps,ME,2000,
Beyond Search: Fiat Money in Organized Exchange,ME,2000,
Eurosystem Monetary Targeting: Lessons from U.S. Data,ME,2000,
Explaining Why So Many Households Do Not Save,ME,2000,"There are vast differences in wealth holdings, even among households in similar age groups. In addition, a large percentage of U.S. households arrive close to retirement with little or no wealth. While many explanations can be found to rationalize these facts,  approximately thirty percent of households whose head is close to retirement have done little or no planning for retirement. Planning is shaped by the experience of other individuals: individuals learn to plan for retirement from older siblings. They also learn from the experience of old parents. In  particular, unpleasant events, such as financial difficulties and health shocks at the end of life, provide incentives toward planning. In addition, planning affects wealth levels as well as portfolio choice. Individuals who plan are more likely to hold large amounts of wealth and to invest their wealth holdings in high return assets, such as stocks. Thus, planning plays an important role in explaining the saving behavior of many households."
Investment and Interest Rate Policy,ME,2000,
Learning about a Shift in Trend Output: Implications for Monetary Policy and Inflation,ME,2000,
Monetary Policy Strategies for Latin Americ,ME,2000,
Simulating the Transmission of Wealth Inequality Via Bequests,ME,2000,
Why Don't Prices Rise During Peak Demand Periods? Evidence from Scanner Data,ME,2000,
A Real Options Approach to Housing Investment,PERE,2000,"In this paper, we focus on investments by existing homeowners to improve their homes. In our model, the value of a house is equal to the expected net present value of a perpetual stream of service flows emanating from the attributes of the house. An important innovation in our model is that the set of house attributes evolves over time according to the investment decisions of the homeowner. The homeowner’s decisions to invest in house attributes are modeled as real options. The homeowner compares the value of an additional attribute, net of the value of the opportunity to invest in the future, to the cost of the investment when deciding whether or not to invest. Our model of investment embeds a multi–factor term structure model and a general model of the evolution of service flows. We employ numeric simulations to explore the properties of the investment model, and to motivate our empirical test of the model. The main contribution of this paper is an empirical test of whether or not observed homeowner investment behavior is consistent with the real option theory of investment. Using a nationally representative panel from the American Housing Survey, we test two implications of the real option theory. First, we test whether investment is more likely when the spread between the return to housing and the cost of capital is wide. Second, we test whether greater spread volatility depresses investment. Our empirical results indicate that observed homeowner investment behavior is consistent with these implications of the theory, even after controlling for business cycle, aging, tenure and for–sale influences."
Confronting Information Asymmetries: Evidence from Real Estate Markets,PERE,2000,"This paper studies the role of asymmetric information in commercial real estate markets in the U.S. and Canada. We propose a novel and exogenous measure of information based on the quality of property tax assessments in different regions and time periods. Employing direct and indirect information variables, we find strong evidence that information considerations are significant in this market. We show that market participants resolve information asymmetries by purchasing nearby properties, trading properties with long income histories, and avoiding transactions with informed professional brokers. The evidence that the choice of financing is used to address information concerns is mixed and weak."
Real Options and the Timing of New Investment: Evidence from Real Estate Development,PERE,2000,
The Transition to Home Ownership and the Black-White Wealth Gap,PERE,2000,
Why Does Racial Segregation Persist? A Case Study of Philadelphia,PERE,2000,
An Empirical Test of a Two Factor Mortgage Pre-payment and Valuation Model: How Much Do House Prices Matter?,AMRE,2001,
Household Risk Management and Optimal Mortgage Choice,AMRE,2001,
Informal Financial Networks: Brokerage and the Financing of Commercial Properties,AMRE,2001,
Intergenerational Fiscal Constitutions: How to Protect Future Generations Using Land Taxes and Federalism,AMRE,2001,"This paper studies how to design a fiscal constitution that, by capitalizing intergenerational spillovers into land values, is able to protect future generations from expropriation and to generate optimal investment in intergenerational public goods. In particular, we study how to accomplish these goals by changing two dimensions of the fiscal constitution: (1) the level of government to which different types of intergenerational public goods are assigned, and (2) the tax base of the different jurisdictions. We show that the instruments required to generate capitalization of the intergenerational spillovers depend on the type of the spillover. Land taxation is the essential instrument for policies that mostly generate fiscal spillovers, such as debt and public infrastructure. By contrast, interjurisdictional competition is the essential instrument for policies that mostly generate direct spillovers, such as irreversible environmental damages. Furthermore, we show that it is possible to design a fiscal constitution that generates full capitalization of fiscal spillovers, but in general, not one that generates full capitalization of direct spillovers."
Portfolio Choice for Home Owners,AMRE,2001,
"Stock Market Wealth, Housing Market Wealth, Spending and Consumption",AMRE,2001,"We examine the link between increases in housing wealth, financial wealth and consumer spending. We rely upon a panel of 13 countries observed annually for various periods during past 25 years and a panel of U.S. states oberved quarterly during the 1980s and 1990s. We impute the aggregate value of owner-occupied housing, the value of financial assets, and measures of aggregate consumption for each of the geographic units over time. We estimate regressions relating to consumption to income and wealth measures, finding a statistically significant and rather large effect of housing wealth upon household consumption."
A Century of Stock Market Liquidity and Trading Costs,AP,2001,"I assemble an annual time series of bid-ask spreads on Dow Jones stocks from 1898-1998, along with an annual estimate of the weighted-average commission rate for trading NYSE stocks since  1925. Spreads gradually declined over the course of the century but are punctuated by sharp rises during periods of market turmoil. Proportional one-way commissions rise dramatically to a peak of nearly 1% in the late 1960’s and early 1970’s, and fall sharply following commission deregulation in 1975. The sum of half-spreads and one-way commissions, multiplied by annual turnover, is an estimate of the annual proportional cost of aggregate equity trading. This cost drives a wedge between aggregate gross equity returns and net equity returns. This wedge can account for only a small part of the observed equity premium, but all else equal the gross equity premium is perhaps 1% lower today than it was early in the 1900’s. Finally, I present evidence that these measures of liquidity – spreads and turnover – predict stock returns up to one year ahead. High spreads predict high stock returns; high turnover predicts low stock returns. This suggests that liquidity is an important determinant of conditional expected returns."
Breadth of Ownership and Stock Returns,AP,2001,
Catching Up with the Joneses: Heterogeneous Preferences and the Dynamics of Asset Prices,AP,2001,
Costly Short-Selling and Stock Price Adjustment to Earnings Announcements,AP,2001,
DotCom Mania: A Survey of Market Efficiency in the Internet Sector,AP,2001,
Inflation and Earnings Uncertainty and the Volatility of Asset Prices: An Empirical Investigation,AP,2001,"We formulate and test the relationship between stock and bonds volatilities and covariances and market participants' uncertainty about future inflation and earnings. Uncertainty is measured either using Survey data, as the dispersion of economists' point forecasts of future fundamentals, or, by fitting a model for inflation and earnings that allows for fluctuating uncertainty. The latter is highly correlated with Survey-based measures, and can be updated from traded asset prices frequently. Stock and short/medium-term bond return volatilities increase during periods of high inflation and earnings uncertainty, while the volatility of longer-term bonds does not. In addition, the covariance between stock and bonds returns is higher during periods of greater uncertainty, which we interpret it is due to the higher volatility of the stochastic discount factor in these periods. Finally, we find that the fundamental's unvertainty plays a more prominent role than the volatility fundamentals to explain both return volatilities and cross-covariances. The estimated model sheds light on the alternative channels through which inflation news affects asset returns and imporves volatility forecasts."
The Bond/Old-Bond Spread,AP,2001,
Why Does the Slope of the Term Structure Forecast Excess Returns?,AP,2001,"In the U.S., the slope of the term structure is positively correlated with expected future excess returns to both stocks and long-maturity bonds. This paper empirically investigates possible explanations for this pattern. The results pose a significant challenge for representative agent, consumption-based asset-pricing models. I find that when the term structure is more steeply sloped than average, (1) future volatility of aggregate consumption growth is much lower than average; (2) future correlations between aggregate consumption growth and returns to both stocks and bonds are roughly zero; (3) the well-documented positive relation between excess stock and bond returns and subsequent growth in real variables (e.g., labor income and GDP) disappears. These facts are inconsistent with the hypothesis that a representative agent has standard power utility, recursive utility, or habit formation preferences."
"Does Corporate Governance Matter? Evidence from Stock Prices, Returns, and Corporate Performance in the 1990's",CF,2001,
Financial Conservatism: Evidence on Capital Structure from Low Leverage Firms,CF,2001,"A persistent and puzzling empirical regularity is the fact that many firms adopt conservative financial policies. These “under-leveraged” firms carry substantially less debt than predicted by dominant theories of capital structure (Graham (2000) and Myers (1984)). This paper examines the phenomenon of financial conservatism by studying firms that adopt a persistent policy of low leverage. Our major findings are as follows. 1) Conservative firms follow a pecking order style financial policy. A high flow of funds and substantial cash balances allow them to fund the bulk of discretionary expenditures internally. 2) Financial conservatism is largely transitory. Seventy percent of low leverage firms drop their conservative financial policy; almost 50% do so within five years. 3) Conservative firms stockpile financial slack or debt capacity. Their “stockpiles” are utilized later to finance discretionary expenditures, particularly acquisitions and capital expenditures.. 4) Financial conservatism is not an industry-based phenomenon. Conservative firms do, however, have relatively high market-to-book and operate relatively frequently in industries thought to be sensitive to financial distress. 5) Conservative firms do not have low tax rates, high non-debt tax shields or face severe information asymmetries."
Financial Distress as a Selection Mechanism: Performance and Survival from the Onset to the Resolution of Financial Distress,CF,2001,
How Sensitive is Investment to Cash Flow When Financing is Frictionless,CF,2001,
"Make vs Buy in Trucking: Asset Ownership, Job Design and Information",CF,2001,
The Tax (Dis-) Advantage of a Firm Issuing Options on its Own Stock,CF,2001,"It is common for firms to issue or purchase options on the firm’s own stock. This occurs when firms issue warrants, call options as employee compensation, convertible bonds, or sell put options as part of share repurchase programs. This paper shows that option positions with implicit borrowing—such as put sales and call purchases—are tax-disadvantaged relative to the equivalent synthetic option with explicit borrowing. Conversely, option positions with implicit lending—such as compensation calls—are tax-advantaged. We perform back-of-the-envelope calculations to get a sense of the importance of these effects. For example, the present value of the tax cost to Dell Computer from one put issue was likely in excess of $60m. We discuss possible reasons for firms to undertake such tax-disadvantaged transactions."
Who Owns the Media?,CF,2001,
Chaotic Interest Rate Rules,EFCE,2001,
Equilibrium and Government Commitment,EFCE,2001,
Growth Rate Dynamics and the Costs of Economic Fluctuations,EFCE,2001,
Human Capital and the Volume and Composition of Foreign Direct Investment,EFCE,2001,
"Increasing Returns, and Optimal Oscillating Labor Supply",EFCE,2001,
Learning and the Central Bank,EFCE,2001,It is well known that sunsport equilibria may arise under an interest rate operating procedure in which the central bank varies the nominal rate with movements in future inflation (a forward-looking Taylor rule). This paper demonstrates that these sunspot equilibria may be learnable in the sense of E-stability
Liquidity Effects in the Bond Markets,EFCE,2001,"We analyze mergers over the past century in a growth model that emphasizes technological change. We explain the positive relation between mergers and stock prices, the positive relation between internal growth of firms and their acquisitions, and the positive relation of mergers with other measures of reallocation such as entry and exit. More broadly, mergers help us to reallocate assets more smoothly, thereby raising returns to investment and the growth rate. We also find that merger waves are shorter when technological change is more dramatic, when the capital of other firms is less costly to transfer, and when entry and exit are a smooth reallocation mechanism. This last result underscores that entry and exit on the one hand and mergers on the other are substitute means of reallocation."
"Markups, Gaps and Economic Fluctuations",EFCE,2001,
Monetary Policy with Private Government Preferences: U Turn if you Want to,EFCE,2001,
"Money, Credit and Inventories in a Sequential Trading Model",EFCE,2001,I introduce inside money and serially correlated supply shocks to the Uncertain and Sequential Trading (UST) monetary model and test its implications using a vector auto regression impulse response analysis on post-war US data. I find that (a) The importance of money in predicting output is substantially reduced once the stock of inventories is added to the VAR system and (b) Shocks to inventories have a negative persistent effect on output and prices. These findings are broadly consistent with the predictions of the UST model but other findings about the timing of the maximal effects are not.
On the Timing of Reallocation in Schumpeterian Models of Growth,EFCE,2001,
Real Exchange Rate Fluctuations and the Dynamics of Retail Trade Industries on the U.S.-Canada Border,EFCE,2001,"This paper estimates the effects of real exchange rate fluctuations on retail trade industries located on the U.S.-Canada border. Consumers living near this border can shift their expenditures between the two countries, so real exchange rate fluctuations can act as demand shocks to border areas’ retail trade industries. Using county level data, we estimate the effects of real exchange rates on the number of establishments and their average payroll in five retail industries. To isolate the expenditure-shifting effect of exchange rates, our estimation uses observations from counties off the border to control for the economy-wide effects of the unobserved structural shocks. In three of the industries, the number of operating establishments responds either contemporaneously or with a lag of one year to real exchange rate movements."
Research on Discretionary Monetary Policy,EFCE,2001,
Risks for the Long Run: A Potential Resolution of Asset Pricing Puzzles,EFCE,2001,
Shocks and Institutions in a Job Matching Model,EFCE,2001,-
Time-Consistent Policy,EFCE,2001,
Which Inflation Measure Should the Authorities Target in an Open Economy?,EFCE,2001,
Adverse Selection and the Accelerator,EFEL,2001,"I construct a dynamic model in which adverse selection in credit markets causes a financial accelerator. I answer three questions: Does the financial system stabilize or destabilize the economy; how large are these effects; and how can we empirically distinguish between amplifiers and stabilizers? I contrast my model with the costly state verification model. Unike the costly state verification mechanism, the adverse selection model has the potential to stabilize shocks rather than amplify them. I show that the adverse selection forces are much more powerful than the aplifier effects in the costly state verification framework. Although accelerators and stabilizers are observationally equivalent along many dimensions, I present a statistic that can distinguish between them"
Aggregate Consequences of Limited Contract Enforceability,EFEL,2001,"In this paper we develop a general equilibrium model in which entrepreneurs finance investment by signing long-term contracts with a financial intermediary. Because of enforceability problems, financial contracts are constrained efficient. After showing that the micro structure of the model captures some of the observed features of the investment policy and dynamics of firms, we show that limited enforceability makes the diffusion of new technologies sluggish and amplifies their impact on aggregate output."
Asset Pricing Implications of Financing Constraints,EFEL,2001,"We ask whether firms' financing constraints are quantitatively important in explaining stock returns. We show that, for a large class of theoretical models, firms' financing constraints have a parsimonious representation amenable to empirical analysis. Quantitative experiments suggest that financing constraints can help match the volatility of stock returns but at the cost of reducing the model's ability to match stocks' return correlation structure. This latter effect makes financing constraints unsuccessful in improving the overall statistical ability of investment returns as a factor pricing model."
"Capital Structure, Hurdle Rates, and Portfolio Choice - Interactions in an Entrepreneurial Firm",EFEL,2001,
"Entrepreneurial Activity, Risk, and the Business Cycle",EFEL,2001,
Exhuming Q: Market Power vs. Capital Market Perfections,EFEL,2001,"Evidence of the statistical significance of profits in Q regressions remains one of the principal findings in the empirical investment literature. This result is frequently taken to support the view that capital market imperfections are an important element for understanding investment. This paper challenges that conclusion. We argue that allowing the profit function at the firm level to be strictly concave, reflecting, for example, market power, is sufficent to replicate the Q theory based regression results in which profits are a significant factor determining investment. To be clear, our ability to replicate the existing results does not require the specification of any capital market imperfections. Thus the friction that explains the statistical significance of profits could be market power by sellers rather than capital market imperfections."
"Investor Protection, Ownership, and Capital Allocation",EFEL,2001,
Model Uncertainty and Liquidity,EFEL,2001,
