researcher,eids,sources,years
11640168300,2-s2.0-84886424761|2-s2.0-84874030048|2-s2.0-84868357152|2-s2.0-84863210679|2-s2.0-84856741385|2-s2.0-84858603276|2-s2.0-80052614661|2-s2.0-79952183803|2-s2.0-79151481772|2-s2.0-78649476517|2-s2.0-85017166271|2-s2.0-70450177761|2-s2.0-37249070863|2-s2.0-36248984309|2-s2.0-33751234796|2-s2.0-33646365590|2-s2.0-30944451732|2-s2.0-28244433505|2-s2.0-16244392397|2-s2.0-1642349854|2-s2.0-0037405053,Annals of Economics and Finance|Annals of Economics and Finance|Journal of Economic Dynamics and Control|American Economic Review|Journal of Economic Dynamics and Control|Econometrica|Theoretical Economics|Review of Economic Dynamics|Journal of Economic Dynamics and Control|Review of Financial Studies|American Economic Journal: Macroeconomics|Annals of Economics and Finance|Economic Theory|Journal of Financial Economics|Journal of Financial Economics|Journal of Economic Theory|Review of Economic Dynamics|Journal of Finance|Journal of Economic Theory|Journal of Finance|Journal of Economic Dynamics and Control,2013|2013|2013|2012|2012|2012|2011|2011|2011|2010|2010|2009|2008|2007|2006|2006|2006|2005|2005|2004|2003
11939723800,2-s2.0-84893133537|2-s2.0-84875032811|2-s2.0-53649093475|2-s2.0-31344448314,Journal of Fixed Income|International Journal of Central Banking|Journal of Econometrics|Journal of Econometrics,2013|2013|2008|2006
11940538200,2-s2.0-77952561673|2-s2.0-69249241347|2-s2.0-40149096832|2-s2.0-43449126496|2-s2.0-31344445375,Journal of Finance|Brookings Papers on Economic Activity|Journal of Real Estate Finance and Economics|Review of Income and Wealth|Journal of Monetary Economics,2010|2008|2008|2008|2006
12039860600,2-s2.0-84887530756|2-s2.0-79953901429|2-s2.0-78650984864|2-s2.0-33847084333|2-s2.0-31444448872|2-s2.0-22144475794|2-s2.0-0038998602,Journal of Finance|Review of Financial Studies|Journal of Finance|Journal of Business|Quarterly Journal of Economics|Journal of Financial Economics|Review of Financial Studies,2013|2011|2011|2006|2005|2005|2000
12041453300,2-s2.0-39649098598|2-s2.0-31544468077,Journal of Derivatives|European Economic Review,2007|2006
12239471900,2-s2.0-84883348021|2-s2.0-84878473808|2-s2.0-84855302876|2-s2.0-79960591499|2-s2.0-77950989474|2-s2.0-49349095799|2-s2.0-34447525647|2-s2.0-33750996374|2-s2.0-32144451151|2-s2.0-17444395534|2-s2.0-14844349532|2-s2.0-8644238174|2-s2.0-84871520227|2-s2.0-14844363918,"Journal of Banking and Finance|International Journal of Forecasting|Economics Bulletin|Journal of Money, Credit and Banking|Econometric Reviews|International Journal of Forecasting|Journal of Economic Behavior and Organization|Journal of Economic Dynamics and Control|Journal of Macroeconomics|Statistics and Probability Letters|Journal of Economic Dynamics and Control|Empirical Economics|Economics Bulletin|Studies in Nonlinear Dynamics and Econometrics",2013|2013|2011|2011|2010|2008|2007|2007|2006|2005|2005|2004|2004|2002
12241766700,2-s2.0-32444441396|2-s2.0-10644227760,"Metrika|Journal of International Financial Markets, Institutions and Money",2006|2002
12544674100,2-s2.0-84864096570|2-s2.0-57349110113|2-s2.0-34249748994|2-s2.0-33144468915|2-s2.0-27844533526|2-s2.0-21044446101|2-s2.0-23944459989|2-s2.0-0040790529|2-s2.0-0006215181,Journal of Financial Intermediation|Journal of Economic Theory|Journal of Corporate Finance|Journal of Economic Theory|Econometrica|Journal of Political Economy|Review of Finance|Journal of Finance|Games and Economic Behavior,2012|2009|2007|2006|2005|2005|2004|2000|1999
12753209500,2-s2.0-84875676230|2-s2.0-84875032811|2-s2.0-83555178515|2-s2.0-41649100866|2-s2.0-34447564116|2-s2.0-34247346581|2-s2.0-33644514387,Journal of Applied Econometrics|International Journal of Central Banking|Journal of Economic Dynamics and Control|Journal of Finance|Journal of International Money and Finance|Journal of Monetary Economics|Journal of Econometrics,2013|2013|2012|2008|2007|2007|2006
12762440200,2-s2.0-84875261580|2-s2.0-84865523290|2-s2.0-84864780548|2-s2.0-84859360726|2-s2.0-79251595426|2-s2.0-33846303585|2-s2.0-33845646003|2-s2.0-33748545265|2-s2.0-33644658359|2-s2.0-2342441497|2-s2.0-2142820969,Journal of Monetary Economics|Economic Modelling|Economics Letters|Economic Policy|Economics Letters|Journal of Economic Dynamics and Control|CESifo Economic Studies|Journal of International Money and Finance|Journal of International Economics|Journal of Macroeconomics|Canadian Journal of Economics,2013|2012|2012|2012|2008|2007|2006|2006|2006|2004|2002
12766277600,2-s2.0-84868610130|2-s2.0-84866688664|2-s2.0-82355173187|2-s2.0-58849152236|2-s2.0-33745219018|2-s2.0-33745208754|2-s2.0-33644781801|2-s2.0-0039696742|2-s2.0-0032429649|2-s2.0-0040676567|2-s2.0-0000185660|2-s2.0-0006432824,"Journal of the European Economic Association|Mathematics of Operations Research|Journal of Economic Dynamics and Control|International Economic Review|Japanese Economic Review|Japanese Economic Review|Journal of Money, Credit and Banking|Journal of Risk and Insurance|Journal of Political Economy|Journal of Money, Credit and Banking|Journal of Economic Dynamics and Control|Journal of Monetary Economics",2012|2012|2011|2009|2006|2006|2006|1999|1998|1998|1995|1994
12772232000,2-s2.0-84871189102|2-s2.0-79960528370|2-s2.0-78449255590|2-s2.0-77956111420|2-s2.0-77956108252|2-s2.0-60449086058|2-s2.0-34548530448|2-s2.0-34547673289|2-s2.0-23944484942|2-s2.0-12944265301|2-s2.0-7444243982|2-s2.0-4344674622|2-s2.0-0346724445|2-s2.0-0038463332|2-s2.0-0034112701|2-s2.0-0031490347|2-s2.0-0031352599|2-s2.0-0000734989|2-s2.0-0002698496|2-s2.0-84993921333|2-s2.0-84993918841,Review of Financial Studies|Review of Financial Studies|Journal of Business and Economic Statistics|American Economic Review|American Economic Review|Review of Financial Studies|Review of Economic Studies|Federal Reserve Bank of St. Louis Review|Journal of Finance|European Economic Review|Journal of Business and Economic Statistics|Journal of Finance|Journal of Econometrics|Journal of Finance|Journal of International Economics|Review of Financial Studies|Macroeconomic Dynamics|Journal of Political Economy|Journal of Econometrics|The Journal of Finance|The Journal of Finance,2013|2011|2011|2010|2010|2009|2007|2007|2005|2005|2004|2004|2002|2002|2000|1997|1997|1996|1995|1993|1993
12786115500,2-s2.0-84885985591|2-s2.0-84879072005|2-s2.0-84872743638|2-s2.0-84861703287|2-s2.0-84555177805|2-s2.0-79960512096|2-s2.0-80052256171|2-s2.0-80052224882|2-s2.0-78649479456|2-s2.0-77951241930|2-s2.0-77954334423|2-s2.0-77954318551|2-s2.0-75749095627|2-s2.0-84874710142|2-s2.0-64349124674|2-s2.0-59349086096|2-s2.0-33745953339|2-s2.0-33644870305|2-s2.0-33644852658,Journal of Economic Perspectives|American Economic Review|Review of Financial Studies|American Economic Journal: Economic Policy|Review of Finance|Journal of Finance|Journal of Pension Economics and Finance|Journal of Pension Economics and Finance|Review of Financial Studies|Review of Financial Studies|National Tax Journal|Economists' Voice|Journal of Economic Perspectives|Review of Financial Studies|Economists' Voice|Journal of Public Economics|Journal of Financial Economics|Quarterly Journal of Economics|Journal of Finance,2013|2013|2013|2012|2012|2011|2011|2011|2010|2010|2010|2010|2009|2009|2009|2007|2006|2006|2006
12787054500,2-s2.0-70349439171|2-s2.0-58849122723|2-s2.0-33645068448,Review of Financial Studies|Journal of Finance|Journal of Finance,2009|2009|2006
12787446500,2-s2.0-84893437767|2-s2.0-84879568689|2-s2.0-84870366422|2-s2.0-84861625019|2-s2.0-79959490883|2-s2.0-80053089164|2-s2.0-79952787861|2-s2.0-77953169557|2-s2.0-34249892836|2-s2.0-33645051960,Review of Corporate Finance Studies|Journal of Law and Economics|Journal of Financial Economics|Review of Financial Studies|Journal of Financial Economics|Journal of Financial and Quantitative Analysis|Journal of Finance|B.E. Journal of Economic Analysis and Policy|Journal of Financial Economics|Journal of Finance,2013|2013|2013|2012|2011|2011|2011|2010|2007|2006
12798771400,2-s2.0-84873311392|2-s2.0-79958131418|2-s2.0-79960824854|2-s2.0-79952592442|2-s2.0-77957754190|2-s2.0-77950926400|2-s2.0-34547255501|2-s2.0-33751304474|2-s2.0-33947694596|2-s2.0-33847304947|2-s2.0-33750920849|2-s2.0-33645469677|2-s2.0-33846048467,American Economic Review|Economics Letters|Stata Journal|Annual Review of Economics|Journal of Monetary Economics|Economics Letters|American Economic Review|Journal of Development Economics|Quarterly Journal of Economics|Economic Inquiry|Review of Economics and Statistics|Economic Journal|NBER Macroeconomics Annual,2013|2011|2011|2010|2010|2010|2007|2007|2007|2007|2006|2006|2002
12798840800,2-s2.0-84883327508|2-s2.0-84879082544|2-s2.0-84878541668|2-s2.0-84880301562|2-s2.0-84865785510|2-s2.0-84859756158|2-s2.0-79958291144|2-s2.0-77956099137|2-s2.0-33645469333,Quantitative Economics|American Economic Review|American Economic Review|Quarterly Journal of Economics|Journal of Econometrics|American Law and Economics Review|American Economic Review|American Economic Review|Economic Journal,2013|2013|2013|2013|2012|2012|2011|2010|2006
12805621200,2-s2.0-84890437238|2-s2.0-84865719757|2-s2.0-77953691430|2-s2.0-74149089303|2-s2.0-60049092490|2-s2.0-42649119149|2-s2.0-33644584170|2-s2.0-33645735924|2-s2.0-26444608432,Real Estate Economics|CESifo Economic Studies|Journal of Public Economics|Journal of Public Economics|Journal of Risk and Insurance|Economics Letters|Journal of Urban Economics|American Economic Review|Journal of Urban Economics,2013|2012|2010|2010|2009|2008|2006|2005|2005
12806266100,2-s2.0-84882420368|2-s2.0-79960517851|2-s2.0-79958287249|2-s2.0-77954139991|2-s2.0-79955555606|2-s2.0-77649121237|2-s2.0-67349087693|2-s2.0-68049110322|2-s2.0-52249118955|2-s2.0-41549167293|2-s2.0-34547689673|2-s2.0-34547297871|2-s2.0-70350329896|2-s2.0-33744720326|2-s2.0-33645748766|2-s2.0-4043174171,"Annual Review of Financial Economics|Journal of Money, Credit and Banking|American Economic Review|Journal of Money, Credit and Banking|NBER Macroeconomics Annual|NBER Macroeconomics Annual|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Financial Intermediation|Journal of Money, Credit and Banking|Journal of Monetary Economics|American Economic Review|Foundations and Trends in Finance|Journal of Money, Credit and Banking|American Economic Review|Journal of Financial Services Research",2012|2011|2011|2010|2010|2009|2009|2009|2008|2008|2007|2007|2006|2006|2005|2003
12806283800,2-s2.0-84877605370|2-s2.0-78649468436|2-s2.0-77953653950|2-s2.0-59149086232|2-s2.0-33845480569|2-s2.0-33745728786|2-s2.0-33645743007,Journal of Financial Economics|Review of Financial Studies|Journal of Financial and Quantitative Analysis|Journal of Financial Economics|Research in Finance|Journal of Finance|Review of Financial Studies,2013|2010|2009|2009|2006|2006|2006
13002851900,2-s2.0-84877621371|2-s2.0-84869756919|2-s2.0-84869464358|2-s2.0-80053011735|2-s2.0-80053089164|2-s2.0-78149496813|2-s2.0-77955932463|2-s2.0-77952675289|2-s2.0-70349448582|2-s2.0-62649132620|2-s2.0-68949195850|2-s2.0-58449116370|2-s2.0-57649222482|2-s2.0-33645876749,Journal of Financial Economics|Journal of Finance|Review of Financial Studies|Review of Financial Studies|Journal of Financial and Quantitative Analysis|Journal of Financial Economics|Journal of Banking and Finance|Journal of Financial Economics|Review of Financial Studies|Journal of Financial Economics|Journal of Financial and Quantitative Analysis|Review of Finance|Journal of Empirical Finance|Journal of Corporate Finance,2013|2012|2012|2011|2011|2011|2010|2010|2009|2009|2009|2009|2009|2006
13105731100,2-s2.0-84883739296|2-s2.0-84860480646|2-s2.0-77349097759|2-s2.0-53649093475|2-s2.0-33646190771,"Journal of Money, Credit and Banking|Quarterly Journal of Economics|Journal of International Economics|Journal of Econometrics|Journal of International Economics",2013|2012|2010|2008|2006
13105917000,2-s2.0-84887890587|2-s2.0-84870528403|2-s2.0-77951840122|2-s2.0-36049035587|2-s2.0-33744551996|2-s2.0-33646189482|2-s2.0-33747065820|2-s2.0-1342289276|2-s2.0-0036650875|2-s2.0-84880890033,International Finance Review|Journal of International Money and Finance|Ardea|Emerging Markets Review|American Economic Review|Journal of International Economics|International Finance|Ardeola|World Economy|Ardeola,2013|2013|2010|2007|2006|2006|2005|2003|2002|1999
13204605100,2-s2.0-84871564987|2-s2.0-33646240159|2-s2.0-33646187606|2-s2.0-24144497915|2-s2.0-17544382028|2-s2.0-0242473192|2-s2.0-0036853015|2-s2.0-0036312018|2-s2.0-0035175497|2-s2.0-28244489110|2-s2.0-0009806438|2-s2.0-0041413434|2-s2.0-0040141560|2-s2.0-0034073287|2-s2.0-0002405730|2-s2.0-0000822315|2-s2.0-0032796784|2-s2.0-0041724286|2-s2.0-0031725271|2-s2.0-0001781327|2-s2.0-0030518524|2-s2.0-0030446131|2-s2.0-0030116148|2-s2.0-0029822264|2-s2.0-0001606198|2-s2.0-0001259533|2-s2.0-77950417020|2-s2.0-58149209565|2-s2.0-0000595657|2-s2.0-0027796687|2-s2.0-84984426335|2-s2.0-0023504061,IMF Economic Review|Finance and Development|Journal of International Economics|American Economic Review|Journal of International Economics|Economic Theory|Foreign Policy|Economics of Transition|Journal of Development Economics|Review of Economic Design|Quarterly Journal of Economics|Journal of Public Economics|American Economic Review|Journal of International Economics|Journal of Economic Theory|Journal of Monetary Economics|European Economic Review|NBER Macroeconomics Annual|Journal of International Economics|Journal of Development Economics|Brookings Papers on Economic Activity|Economic Policy|Journal of International Money and Finance|European Economic Review|European Economic Review|Journal of International Economics|Harvard International Review|Economics Letters|European Economic Review|Oxford Economic Papers|Economics &amp; Politics|Journal of Development Economics,2012|2006|2006|2004|2004|2003|2002|2002|2001|2001|2001|2000|2000|2000|2000|2000|1999|1999|1998|1997|1996|1996|1996|1996|1996|1996|1995|1995|1995|1993|1991|1987
13205565000,2-s2.0-84865173868|2-s2.0-34247210722|2-s2.0-33845203612|2-s2.0-33846435350|2-s2.0-33646238230|2-s2.0-0035601094|2-s2.0-0041112044,Review of Economic Studies|Journal of Public Economic Theory|Journal of Public Economics|Public Choice|Journal of Public Economics|Public Finance Review|Legislative Studies Quarterly,2012|2007|2007|2007|2006|2001|2000
13310394600,2-s2.0-84907664927|2-s2.0-84864386990|2-s2.0-68949125161|2-s2.0-34548726179|2-s2.0-30344441785|2-s2.0-19944385232|2-s2.0-16244368074|2-s2.0-7544226153|2-s2.0-3142744823|2-s2.0-0036742662|2-s2.0-0042260637|2-s2.0-0141772375|2-s2.0-0032779334|2-s2.0-0033074607|2-s2.0-0041022198|2-s2.0-0032219892|2-s2.0-0032219874|2-s2.0-0031116229|2-s2.0-0030456570|2-s2.0-0000689814|2-s2.0-0002084660|2-s2.0-0002064709|2-s2.0-38249010793|2-s2.0-45949128596|2-s2.0-84857973982|2-s2.0-34248490276,"Economists' Voice|Journal of Development Economics|Economists' Voice|Economic Theory|Journal of Money, Credit and Banking|Journal of Finance|Journal of Finance|Economic Theory|Journal of Money, Credit and Banking|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Financial Intermediation|European Economic Review|Journal of Banking and Finance|Journal of Money, Credit and Banking|Economic Theory|Economic Theory|Journal of Economic Theory|World Bank Economic Review|Economic Theory|Journal of Banking and Finance|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Economic Theory|Journal of Financial and Quantitative Analysis|Journal of Monetary Economics",2013|2012|2009|2007|2005|2005|2005|2004|2004|2002|2001|1999|1999|1999|1998|1998|1998|1997|1996|1993|1993|1993|1992|1986|1976|1976
13402687300,2-s2.0-84879349217|2-s2.0-84898871447|2-s2.0-84878582439|2-s2.0-84871198733|2-s2.0-84863308186|2-s2.0-80052702459|2-s2.0-79960454315|2-s2.0-79952774008|2-s2.0-79251638360|2-s2.0-77957260590|2-s2.0-79955063485|2-s2.0-79953189262|2-s2.0-68349144362|2-s2.0-67651252103|2-s2.0-64149114759|2-s2.0-63149111376|2-s2.0-67650716235|2-s2.0-53649085867|2-s2.0-47649117024|2-s2.0-38149136597|2-s2.0-33846119127|2-s2.0-33745304373|2-s2.0-33644538319|2-s2.0-12344260539|2-s2.0-3042816537|2-s2.0-3042765507|2-s2.0-0242474625|2-s2.0-0037286212|2-s2.0-0037277111|2-s2.0-0036221554|2-s2.0-0242508005|2-s2.0-4544289079|2-s2.0-0001262068|2-s2.0-22444452889|2-s2.0-0013019044|2-s2.0-0346906789|2-s2.0-0001568702|2-s2.0-0031492060|2-s2.0-0031325058|2-s2.0-0030366522|2-s2.0-84974069824|2-s2.0-84981423142|2-s2.0-84981371935,Econometrics Journal|Econometrica|Journal of Econometrics|Annals of Statistics|Econometric Reviews|Annals of Economics and Finance|Journal of Applied Econometrics|Journal of Financial Research|Econometric Theory|Econometric Theory|Journal of Econometrics|Foundations and Trends in Econometrics|Econometrica|Journal of Applied Econometrics|Review of Economic Studies|Journal of Econometrics|Annals of Economics and Finance|Journal of Econometrics|Econometrics Journal|Journal of Econometrics|Journal of Business and Economic Statistics|Econometrica|Journal of Econometrics|Journal of Business and Economic Statistics|Journal of Econometrics|Econometrica|Review of Economics and Statistics|Journal of Applied Econometrics|Econometrica|Econometrica|Journal of Econometrics|Annals of Economics and Finance|Journal of Econometrics|Econometric Theory|Journal of Statistical Planning and Inference|Econometrica|Review of Economic Studies|Econometric Theory|Review of Economics and Statistics|Econometrica|Econometric Theory|Journal of Time Series Analysis|Journal of Time Series Analysis,2013|2013|2013|2012|2012|2011|2011|2011|2010|2010|2010|2009|2009|2009|2009|2009|2008|2008|2008|2008|2007|2006|2006|2005|2004|2004|2003|2003|2003|2002|2001|2000|1999|1998|1998|1998|1998|1997|1997|1996|1995|1994|1993
14007237400,2-s2.0-84863225569|2-s2.0-84943808608|2-s2.0-70149083897|2-s2.0-70149084997|2-s2.0-36049041930|2-s2.0-34547659703|2-s2.0-33747805902|2-s2.0-33744943285,American Economic Review|Review of Economic Studies|Journal of Monetary Economics|American Economic Review|Journal of Monetary Economics|Journal of Economic Dynamics and Control|Journal of International Economics|European Economic Review,2012|2010|2009|2009|2007|2007|2006|2006
14007967700,2-s2.0-84888053386|2-s2.0-84886066779|2-s2.0-84879069790|2-s2.0-80052706856|2-s2.0-80052374915|2-s2.0-79955031532|2-s2.0-79952701814|2-s2.0-77957724737|2-s2.0-77953798295|2-s2.0-42349107936|2-s2.0-33744930613,Journal of Economic Theory|American Economic Review|American Economic Review|Economics Letters|Journal of Economic Theory|American Economic Review|Journal of Economic Theory|Journal of Monetary Economics|Federal Reserve Bank of St. Louis Review|Journal of Economic Growth|Japan and the World Economy,2013|2013|2013|2011|2011|2011|2011|2010|2010|2008|2006
14026317500,2-s2.0-84867826064|2-s2.0-84865192234|2-s2.0-84857381998|2-s2.0-84857175333|2-s2.0-46749099305|2-s2.0-39549105600|2-s2.0-33947136281|2-s2.0-33745481808|2-s2.0-33144489391|2-s2.0-0141718491|2-s2.0-0035533749,Review of Economic Studies|Journal of Monetary Economics|International Economic Review|American Economic Journal: Macroeconomics|Journal of Monetary Economics|Journal of Monetary Economics|Journal of Economic Dynamics and Control|Review of Economic Dynamics|Journal of Economic Theory|Econometrica|Economic Theory,2012|2012|2012|2012|2008|2008|2007|2006|2006|2003|2001
14039216600,2-s2.0-84876300305|2-s2.0-77956942575|2-s2.0-70849116393|2-s2.0-33745959200,"Journal of Empirical Finance|Journal of Banking and Finance|Applied Economics Letters|Journal of Money, Credit and Banking",2013|2010|2009|2006
14044725400,2-s2.0-79952355637|2-s2.0-78650255510|2-s2.0-78449251895|2-s2.0-77949759596|2-s2.0-77953170552|2-s2.0-33746193363|2-s2.0-33746265250|2-s2.0-33645533158|2-s2.0-0031161499|2-s2.0-84972203359|2-s2.0-84971942118,Economics Bulletin|Economic Modelling|Scandinavian Journal of Economics|Managerial and Decision Economics|B.E. Journal of Macroeconomics|Journal of Economic Perspectives|Economic Modelling|Journal of the European Economic Association|Journal of Policy Modeling|Econometric Theory|Econometric Theory,2011|2011|2010|2010|2010|2006|2006|2006|1997|1994|1993
14046271800,2-s2.0-84881374782|2-s2.0-84869761706|2-s2.0-70449671737|2-s2.0-70349906237|2-s2.0-33746211718,Journal of Financial Intermediation|Journal of Finance|Journal of Business Venturing|Financial Management|Journal of Financial Economics,2013|2012|2010|2009|2006
14048288900,2-s2.0-84878988574|2-s2.0-84867169481|2-s2.0-78650601513|2-s2.0-77952291752|2-s2.0-76349109445|2-s2.0-74349090247|2-s2.0-45849088342|2-s2.0-35748965576|2-s2.0-33745906245|2-s2.0-33746347404,American Economic Journal: Macroeconomics|Brookings Papers on Economic Activity|Review of Economic Dynamics|Journal of International Economics|Journal of Monetary Economics|Journal of Applied Econometrics|American Economic Review|IMF Occasional Papers|Journal of Economic Dynamics and Control|IMF Staff Papers,2013|2012|2011|2010|2010|2010|2008|2007|2006|2006
14054161800,2-s2.0-80054928700|2-s2.0-79957820017|2-s2.0-77953704791|2-s2.0-85017116591|2-s2.0-70349238425|2-s2.0-34547298143|2-s2.0-33947231101|2-s2.0-33750937843|2-s2.0-33746614857|2-s2.0-33645082917|2-s2.0-33645734659|2-s2.0-0345414608|2-s2.0-2942756042|2-s2.0-0001435305|2-s2.0-0034878872|2-s2.0-0033736180|2-s2.0-0034043583|2-s2.0-0039843093,American Economic Review|American Economic Journal: Applied Economics|Journal of Public Economics|American Economic Journal: Macroeconomics|Quarterly Journal of Economics|American Economic Review|Brookings Papers on Economic Activity|Quarterly Journal of Economics|Journal of Public Economics|Journal of Economic History|American Economic Review|Journal of Political Economy|American Economic Review|American Economic Review|Journal of Development Economics|European Economic Review|Review of International Economics|American Economic Review,2011|2011|2010|2010|2009|2007|2006|2006|2006|2006|2005|2003|2003|2002|2001|2000|2000|1999
14057817200,2-s2.0-84888382263|2-s2.0-84862667584|2-s2.0-84870435032|2-s2.0-77955141802|2-s2.0-55849123030|2-s2.0-47749123257|2-s2.0-43849083736|2-s2.0-33746832945,Journal of Portfolio Management|Management Science|Financial Analysts Journal|Journal of Finance|Journal of Political Economy|Journal of Finance|Journal of Financial Economics|Journal of Finance,2013|2012|2012|2010|2008|2008|2008|2006
