presentation_title,nber_wp,published_version,eid,comment
A PHILLIPS CURVE WITH AN SS FOUNDATION,11971,A PHILLIPS CURVE WITH AN SS FOUNDATION,2-s2.0-46749156314,
A PIGOVIAN APPROACH TO LIQUIDITY REGULATION,,A PIGOVIAN APPROACH TO LIQUIDITY REGULATION,2-s2.0-85016063682,
A PYRRHIC VICTORY - BANK BAILOUTS AND SOVEREIGN CREDIT RISK,,A PYRRHIC VICTORY? BANK BAILOUTS AND SOVEREIGN CREDIT RISK,2-s2.0-84900403656,
A QUASI MAXIMUM LIKELIHOOD APPROACH FOR LARGE APPROXIMATE DYNAMIC FACTOR MODELS,,"A QUASI-MAXIMUM LIKELIHOOD APPROACH FOR LARGE, APPROXIMATE DYNAMIC FACTOR MODELS",2-s2.0-84871575482,
A REFERENCE POINT THEORY OF MERGERS AND ACQUISITIONS,15551,THE EFFECT OF REFERENCE POINT PRICES ON MERGERS AND ACQUISITIONS,2-s2.0-84865006633,
A SEARCH FOR MULTIPLE EQUILIBRIA IN URBAN INDUSTRIAL STRUCTURE,10252,A SEARCH FOR MULTIPLE EQUILIBRIA IN URBAN INDUSTRIAL STRUCTURE,2-s2.0-38049148036,
A SEARCH-BASED THEORY OF THE ON-THE-RUN PHENOMENON,12670,A SEARCH-BASED THEORY OF THE ON-THE-RUN PHENOMENON,2-s2.0-43649096200,
A SHRINKAGE APPROACH TO MODEL UNCERTAINTY AND ASSET ALLOCATION,,A SHRINKAGE APPROACH TO MODEL UNCERTAINTY AND ASSET ALLOCATION,2-s2.0-25844483222,
A SIMPLE FRAMEWORK FOR INTERNATIONAL MONETARY POLICY ANALYSIS,8870,A SIMPLE FRAMEWORK FOR INTERNATIONAL MONETARY POLICY ANALYSIS,2-s2.0-0036339136,
"A SIMPLE, UNIFIED, EXACTLY SOLVED FRAMEWORK FOR TEN PUZZLES IN MACRO-FINANCE",13724,VARIABLE RARE DISASTERS: AN EXACTLY SOLVED FRAMEWORK FOR TEN PUZZLES IN MACRO-FINANCE,2-s2.0-84860470205,
A SOLUTION TO THE DEFAULT RISK-BUSINESS CYCLE DISCONNECT,,A SOLUTION TO THE DEFAULT RISK-BUSINESS CYCLE DISCONNECT,,SED
A SOLUTION TO TWO PARADOXES OF INTERNATIONAL CAPITAL FLOWS,12668,A SOLUTION TO TWO PARADOXES OF INTERNATIONAL CAPITAL FLOWS,2-s2.0-85034617075,
A SPARSITY-BASED MODEL OF BOUNDED RATIONALITY,16911,A SPARSITY-BASED MODEL OF BOUNDED RATIONALITY,2-s2.0-84927654829,
A THEORY OF FIRM SCOPE,14613,A THEORY OF FIRM SCOPE,2-s2.0-77951941761,
A THEORY OF PARTNERSHIPS,,PROFIT SHARING AND THE ROLE OF PROFESSIONAL PARTNERSHIPS,2-s2.0-15544386188,
A THEORY OF RATIONAL INFLATIONARY INERTIA,,INFLATION INERTIA AND CREDIBLE DISINFLATION,2-s2.0-34447540070,
A THEORY OF ROBUST LONG-RUN VARIANCE ESTIMATION,,A THEORY OF ROBUST LONG-RUN VARIANCE ESTIMATION,2-s2.0-34848888001,
A TRANSACTION LEVEL STUDY OF THE EFFECTS OF CENTRAL BANK INTERVENTION ON EXCHANGE RATES,,A TRANSACTION LEVEL STUDY OF THE EFFECTS OF CENTRAL BANK INTERVENTION ON EXCHANGE RATES,2-s2.0-0141942206,
ACCELERATED ASYMPTOTICS FOR DIFFUSION MODEL ESTIMATION,,FULLY NONPARAMETRIC ESTIMATION OF SCALAR DIFFUSION MODELS,2-s2.0-0037273358,
ACCOUNTING FOR A SHIFT IN TERM STRUCTURE BEHAVIOR WITH NO-ARBITRAGE AND MACRO-FINANCE MODELS,,ACCOUNTING FOR A SHIFT IN TERM STRUCTURE BEHAVIOR WITH NO-ARBITRAGE AND MACRO-FINANCE MODELS,2-s2.0-34247535984,
ADAPTIVE LEARNING AND LONG MEMORY,,LEARNING CAN GENERATE LONG MEMORY,2-s2.0-85011536695,
ADOPTIVE EXPECTATIONS: RISING SONS IN JAPANESE FAMILY FIRMS,16874,ADOPTIVE EXPECTATIONS: RISING SONS IN JAPANESE FAMILY FIRMS,2-s2.0-84877611601,
ADVERSE SELECTION AND THE ACCELERATOR,,ADVERSE SELECTION AND THE FINANCIAL ACCELERATOR,2-s2.0-33747755765,
"AGENCY CONFLICTS, ASSET SUBSTITUTION, AND SECURITIZATION",12359,,,
"AGENCY CONFLICTS, INVESTMENT, AND ASSET PRICING",13251,"AGENCY CONFLICTS, INVESTMENT, AND ASSET PRICING",2-s2.0-38349176029,
AGENCY PROBLEMS IN PUBLIC FIRMS: EVIDENCE FROM CORPORATE JETS IN LEVERAGED BUYOUTS,,AGENCY PROBLEMS IN PUBLIC FIRMS: EVIDENCE FROM CORPORATE JETS IN LEVERAGED BUYOUTS,2-s2.0-84869860879,
AGGREGATE CONSEQUENCES OF LIMITED CONTRACT ENFORCEABILITY,10132,AGGREGATE CONSEQUENCES OF LIMITED CONTRACT ENFORCEABILITY,2-s2.0-4544362915,
AGGREGATE IMPLICATIONS OF A CREDIT CRUNCH,17775,AGGREGATE IMPLICATIONS OF A CREDIT CRUNCH: THE IMPORTANCE OF HETEROGENEITY,2-s2.0-84936865419,
AGGREGATE LEVERAGE AND PREEMPTIVE SELLING BY INDIVIDUAL FINANCIAL INSTITUTIONS,,LEVERAGE AND PREEMPTIVE SELLING OF FINANCIAL INSTITUTIONS,2-s2.0-84875267880,
AGGREGATION AND THE PPP PUZZLE IN A STICKY PRICE MODEL,,AGGREGATION AND THE PPP PUZZLE IN A STICKY-PRICE MODEL,2-s2.0-80054948538,
AGREEING NOW TO AGREE LATER: CONTRACTS THAT RULE OUT BUT DO NOT RULE IN,10397,,,
ALTERNATIVE MODELS FOR STOCK PRICE DYNAMICS,,ALTERNATIVE MODELS FOR STOCK PRICE DYNAMICS,2-s2.0-0242268781,
AMBIGUOUS BUSINESS CYCLES,17900,AMBIGUOUS BUSINESS CYCLES,2-s2.0-84906991648,
AMERICANS DO I.T. BETTER: US MULTINATIONALS AND THE PRODUCTIVITY MIRACLE,13085,AMERICANS DO IT BETTER: US MULTINATIONALS AND THE PRODUCTIVITY MIRACLE,2-s2.0-84856866370,
AN ECONOMETRIC MODEL OF THE YIELD CURVE WITH MACROECONOMIC JUMP EFFECTS,8246,BOND YIELDS AND THE FEDERAL RESERVE,2-s2.0-17944380399,
AN EMPIRICAL ANALYSIS OF THE PRICING OF COLLATERALIZED DEBT OBLIGATIONS,12210,AN EMPIRICAL ANALYSIS OF THE PRICING OF COLLATERALIZED DEBT OBLIGATIONS,2-s2.0-41649095717,
AN EMPIRICAL DECOMPOSITION OF RISK AND LIQUIDITY IN NOMINAL AND INFLATION-INDEXED GOVERNMENT BONDS,16903,INFLATION-INDEXED BONDS AND THE EXPECTATIONS HYPOTHESIS,2-s2.0-80955145007,
AN EMPIRICAL TEST OF A CONTINGENT CLAIMS LEASE VALUATION MODEL,,AN EMPIRICAL TEST OF A CONTINGENT CLAIMS LEASE VALUATION MODEL,2-s2.0-70350503876,
AN EMPIRICAL TEST OF A TWO FACTOR MORTGAGE PRE-PAYMENT AND VALUATION MODEL: HOW MUCH DO HOUSE PRICES MATTER?,,AN EMPIRICAL TEST OF A TWO-FACTOR MORTGAGE VALUATION MODEL: HOW MUCH DO HOUSE PRICES MATTER?,2-s2.0-30344480491,
AN EQUILIBRIUM MODEL OF INVESTMENT UNDER UNCERTAINTY,,AN EQUILIBRIUM MODEL OF INVESTMENT UNDER UNCERTAINTY,2-s2.0-34548529494,
AN EQUILIBRIUM MODEL OF RARE EVENT PREMIA,,AN EQUILIBRIUM MODEL OF RARE-EVENT PREMIA AND ITS IMPLICATION FOR OPTION SMIRKS,2-s2.0-12344272139,
AN ESTIMATED MODEL OF THE US BUSINESS CYCLE,11034,"FIRM-SPECIFIC CAPITAL, NOMINAL RIGIDITIES AND THE BUSINESS CYCLE",2-s2.0-79952190241,
AN ESTIMATED MONETARY DSGE MODEL WITH UNEMPLOYMENT AND STAGGERED NASH WAGE BARGAINING,,AN ESTIMATED MONETARY DSGE MODEL WITH UNEMPLOYMENT AND STAGGERED NOMINAL WAGE BARGAINING,2-s2.0-57049099252,
AN EVALUATION OF PRELIMINARY DATA ANNOUNCEMENT RATIONALITY & BUSINESS CYCLE ASYMMETRY,,ARE STATISTICAL REPORTING AGENCIES GETTING IT RIGHT? DATA RATIONALITY AND BUSINESS CYCLE ASYMMETRY,2-s2.0-30744470101,
AN EXAMINATION OF HETEROGENEOUS BELIEFS WITH A SHORT SALE CONSTRAINT,,AN EXAMINATION OF HETEROGENEOUS BELIEFS WITH A SHORT-SALE CONSTRAINT IN A DYNAMIC ECONOMY,2-s2.0-44849094590,
AN EXPLORATION OF OPTIMAL STABILIZATION POLICY,17029,AN EXPLORATION OF OPTIMAL STABILIZATION POLICY,2-s2.0-80053588033,
AN IMPROVED ANNUAL CHRONOLOGY OF U.S. BUSINESS CYCLES SINCE THE 1790'S,11157,AN IMPROVED ANNUAL CHRONOLOGY OF U.S. BUSINESS CYCLES SINCE THE 1790S,2-s2.0-33645083461,
AN OPTIMIZING MODEL OF U.S. WAGE AND PRICE DYNAMICS,,AN OPTIMIZING MODEL OF U.S. WAGE AND PRICE DYNAMICS,2-s2.0-0036204588,
ANALYTICS OF SOVEREIGN DEBT RESTRUCTURING,,ANALYTICS OF SOVEREIGN DEBT RESTRUCTURING,2-s2.0-14644388216,
ANCHORING BIAS IN CONSENSUS FORECASTS AND ITS EFFECT ON MARKET PRICES,,ANCHORING BIAS IN CONSENSUS FORECASTS AND ITS EFFECT ON MARKET PRICES,2-s2.0-68949171944,
"ANTICIPATED UNCERTAINTY, EARNINGS ANNOUNCEMENTS, AND EQUITY OPTIONS",,OPTION PRICING OF EARNINGS ANNOUNCEMENT RISKS,2-s2.0-85062595603,
ARE HOUSEHOLDS' CHOICES CONSISTENT? EVIDENCE FROM INSURANCE DATA,,ARE RISK PREFERENCES STABLE ACROSS CONTEXTS? EVIDENCE FROM INSURANCE DATA,2-s2.0-79955031532,
ARE MACROECONOMIC VARIABLES USEFUL FOR FORECASTING THE DISTRIBUTION OF U.S. INFLATION?,,ARE MACROECONOMIC VARIABLES USEFUL FOR FORECASTING THE DISTRIBUTION OF U.S. INFLATION?,2-s2.0-84878473808,
ARE PEOPLE AWARE OF THE TAYLOR RULE??,,DO PEOPLE UNDERSTAND MONETARY POLICY?,2-s2.0-84905174182,
ARE PERKS PURELY MANAGERIAL EXCESS,10494,ARE PERKS PURELY MANAGERIAL EXCESS?,2-s2.0-29244445811,
ARE STOCK ACQUIRERS OVERVALUED EVIDENCE FROM SHORT SELLING ACTIVITY,,ACQUIRER VALUATION AND ACQUISITION DECISIONS: IDENTIFYING MISPRICING USING SHORT INTEREST,2-s2.0-84983161141,
ARE STOCKS REALLY LESS VOLATILE IN THE LONG RUN,14757,ARE STOCKS REALLY LESS VOLATILE IN THE LONG RUN?,2-s2.0-84859112990,
ARGENTINA: INFLATION AND LIES,,ONLINE AND OFFICIAL PRICE INDEXES: MEASURING ARGENTINA'S INFLATION,2-s2.0-84875580027,
ASSESSING NOMINAL INCOME RULES FOR MONETARY POLICY WITH MODEL AND DATA UNCERTAINTY,,ASSESSING NOMINAL INCOME RULES FOR MONETARY POLICY WITH MODEL AND DATA UNCERTAINTY,2-s2.0-0036250440,
ASSESSING STRUCTURAL VARS,12353,ASSESSING STRUCTURAL VARS,2-s2.0-34250807228,
ASSESSING THE EFFECTS OF LOCAL TAXATION USING MICROGEOGRAPHIC DATA,,ASSESSING THE EFFECTS OF LOCAL TAXATION USING MICROGEOGRAPHIC DATA,2-s2.0-80053052952,
ASSESSING THE LUCAS CRITIQUE IN MONETARY POLICY MODELS,,ASSESSING THE LUCAS CRITIQUE IN MONETARY POLICY MODELS,2-s2.0-18144427889,
ASSET FIRE SALES (AND PURCHASES) IN EQUITY MARKETS,11357,ASSET FIRE SALES (AND PURCHASES) IN EQUITY MARKETS,2-s2.0-34848816811,
ASSET PRICES AND EXCHANGE RATES,9834,ASSET PRICES AND EXCHANGE RATES,2-s2.0-34547812586,
ASSET PRICES WHEN AGENTS ARE MARKED TO MARKET,12084,AGENCY-BASED ASSET PRICING,2-s2.0-84890313750,
ASSET PRICING IMPLICATIONS OF FINANCING CONSTRAINTS,9365,ASSET PRICING IMPLICATIONS OF FIRMS' FINANCING CONSTRAINTS,2-s2.0-33750456128,
ASSET PRICING IMPLICATIONS OF PARETO OPTIMALITY WITH PRIVATE INFORMATION,,ASSET PRICING IMPLICATIONS OF PARETO OPTIMALITY WITH PRIVATE INFORMATION,2-s2.0-69249098513,
ASSET PRICING IN LARGE INFORMATION NETWORKS,,ASSET PRICING IN LARGE INFORMATION NETWORKS,2-s2.0-82155166305,
ASSET PRICING WITH LIMITED RISK SHARING AND HETEROGENEOUS AGENTS,,ASSET PRICING WITH LIMITED RISK SHARING AND HETEROGENEOUS AGENTS,2-s2.0-52449100382,
ASSET PRICING WITH LIQUIDITY RISK,10814,ASSET PRICING WITH LIQUIDITY RISK,2-s2.0-22144449932,
ASSET-BACKED SECURITIES: COSTS AND BENEFITS OF 'BANKRUPTCY REMOTENESS',,"ASSET-BACKED SECURITIES: COSTS AND BENEFITS OF ""BANKRUPTCY REMOTENESS""",2-s2.0-77958609579,
ASYMMETRIC CYCLES,10573,ASYMMETRIC CYCLES,2-s2.0-33646680248,
ASYMPTOTICS FOR OUT OF SAMPLE TESTS OF CAUSALITY TESTS OF EQUAL FORECAST ACCURACY AND ENCOMPASSING FOR NESTED MODELS,,ASYMPTOTICS FOR OUT OF SAMPLE TESTS OF GRANGER CAUSALITY,2-s2.0-34547650757,
AVOIDING LIQUIDITY TRAPS,,AVOIDING LIQUIDITY TRAPS,2-s2.0-0036317104,
BAILOUTS AND THE INCENTIVE TO MANAGE RISK,15058,"BAILOUTS, THE INCENTIVE TO MANAGE RISK, AND FINANCIAL CRISES",2-s2.0-75449108137,
BALANCE SHEET ADJUSTMENT IN THE 2008 CRISIS,15919,,,
BALANCE SHEET ADJUSTMENTS DURING THE 2008 CRISIS,,BALANCE SHEET ADJUSTMENTS DURING THE 2008 CRISIS,2-s2.0-79951775903,
BANK CREDIT CYCLES,11363,BANK CREDIT CYCLES,2-s2.0-51749097949,
BANK RISK TAKING AND COMPETITION REVISIED: NEW THEORY AND NEW EVIDENCE,,THE THEORY OF BANK RISK TAKING AND COMPETITION REVISITED,2-s2.0-19944385232,
BANKING GLOBALIZATION AND INTERNATIONAL BUSINESS CYCLES,,BANKING GLOBALIZATION AND INTERNATIONAL BUSINESS CYCLES: CROSS-BORDER CHAINED CREDIT CONTRACTS AND FINANCIAL ACCELERATORS,2-s2.0-84858442508,
BARGAINING OVER RESIDENTIAL REAL ESTATE: EVIDENCE FROM ENGLAND,,BARGAINING OVER RESIDENTIAL REAL ESTATE: EVIDENCE FROM ENGLAND,2-s2.0-4344614007,
BEHAVIORAL CONSISTENCY IN CORPORATE FINANCE: CEO PERSONAL AND CORPORATE LEVERAGE,,BEHAVIORAL CONSISTENCY IN CORPORATE FINANCE: CEO PERSONAL AND CORPORATE LEVERAGE,2-s2.0-81055156198,
BELIEF DISAGREEMENTS AND COLLATERAL CONSTRAINTS,,BELIEF DISAGREEMENTS AND COLLATERAL CONSTRAINTS,2-s2.0-84880260354,
BEYOND CASH FLOW AND VOTING RIGHTS: VALUATION AND PERFORMANCE OF FIRMS IN COMPLEX OWNERSHIP STRUCTURES,14983,THE STRUCTURE AND FORMATION OF BUSINESS GROUPS: EVIDENCE FROM KOREAN CHAEBOLS,2-s2.0-78650304251,
BEYOND MERTON'S UTOPIA: EFFECTS OF NON-NORMALITY AND DEPENDENCE O THE PRECISION OF VARIANCE ESTIMATES USING HIGH-FREQUENCY FINANCIAL DATA,,BEYOND MERTON'S UTOPIA: EFFECTS OF NON-NORMALITY AND DEPENDENCE O THE PRECISION OF VARIANCE ESTIMATES USING HIGH-FREQUENCY FINANCIAL DATA,2-s2.0-0347354940,
BEYOND SEARCH FIAT MONEY IN ORGANIZED EXCHANGE,,BEYOND SEARCH: FIAT MONEY IN ORGANIZED EXCHANGE,2-s2.0-27744521889,
BEYOND STOCHASTIC VOLATILITY AND JUMPS IN RETURNS AND VOLATILITY,,BEYOND STOCHASTIC VOLATILITY AND JUMPS IN RETURNS AND VOLATILITY,2-s2.0-84876084979,
BEYOND THE COST OF PRICE ADJUSTMENT: INVESTMENTS IN PRICING CAPITAL,,MANAGERIAL AND CUSTOMER COSTS OF PRICE ADJUSTMENT: DIRECT EVIDENCE FROM INDUSTRIAL MARKETS,2-s2.0-2442521148,
BIAS CORRECTED INSTRUMENTAL VARIABLES ESTIMATION FOR DYNAMIC PANEL MODELS WITH FIXED EFFECTS,,LONG DIFFERENCE INSTRUMENTAL VARIABLES ESTIMATION FOR DYNAMIC PANEL MODELS WITH FIXED EFFECTS,2-s2.0-34547666953,
BIDDING FOR INDUSTRIAL PLANTS: DOES WINNING A 'MILLION DOLLAR PLANT' INCREASE WELFARE?,9844,,,
BOND RISK PREMIA,9178,BOND RISK PREMIA,2-s2.0-20444418725,
BONDS OR LOANS THE EFFECT OF MACROECONOMIC FUNDAMENTALS,,BONDS OR LOANS? THE EFFECT OF MACROECONOMIC FUNDAMENTALS,2-s2.0-33846348331,
BOOKBUILDING AND STRATEGIC ALLOCATION,,BOOKBUILDING AND STRATEGIC ALLOCATION,2-s2.0-0039739778,
BOOTSTRAPPING GMM ESTIMATORS FOR TIME SERIES,,BOOTSTRAPPING GMM ESTIMATORS FOR TIME SERIES,2-s2.0-33745922410,
BOOTSTRAPPING REALIZED VOLATILITY,,BOOTSTRAPPING REALIZED VOLATILITY,2-s2.0-57649148518,
BORROWING COSTS AND THE DEMAND FOR EQUITY OVER THE LIFE CYCLE,9331,BORROWING COSTS AND THE DEMAND FOR EQUITY OVER THE LIFE CYCLE,2-s2.0-33745450298,
BOTTOM-UP CORPORATE GOVERNANCE,,BOTTOM-UP CORPORATE GOVERNANCE,2-s2.0-84871190542,
BREADTH OF OWNERSHIP AND STOCK RETURNS,8151,BREADTH OF OWNERSHIP AND STOCK RETURNS,2-s2.0-84877090313,
BUBBLES IN PRICES OF EXHAUSTIBLE RESOURCES,13320,BUBBLES IN PRICES OF EXHAUSTIBLE RESOURCES,2-s2.0-84872783804,
"BURIED BY AGGREGATION: EXCAVATING THE DYNAMICS OF INVESTMENT, EMPLOYMENT, AND UNCERTAINTY",,UNCERTAINTY AND INVESTMENT DYNAMICS,2-s2.0-33947709325,
BUSINESS CYCLE DYNAMICS UNDER RATIONAL INATTENTION,,BUSINESS CYCLE DYNAMICS UNDER RATIONAL INATTENTION,2-s2.0-84943808608,
BUSINESS CYCLES AND FIRM DYNAMICS,13646,"ENDOGENOUS ENTRY, PRODUCT VARIETY, AND BUSINESS CYCLES",2-s2.0-84862558107,
CAN OWNING A HOME HEDGE THE RISK OF MOVING?,15462,,,
CAN RARE EVENTS EXPLAIN THE EQUITY PREMIUM PUZZLE,,CAN RARE EVENTS EXPLAIN THE EQUITY PREMIUM PUZZLE,2-s2.0-84866644725,
CAN TIME-VARYING RISK OF RARE DISASTERS EXPLAIN AGGREGATE STOCK MARKET VOLATILITY,14386,CAN TIME-VARYING RISK OF RARE DISASTERS EXPLAIN AGGREGATE STOCK MARKET VOLATILITY?,2-s2.0-84878148273,
CAPITAL ALLOCATION,,A THEORY OF RISK CAPITAL,2-s2.0-84947568907,
CAPITAL FLOWS TO DEVELOPING COUNTRIES: THE ALLOCATION PUZZLE,13602,CAPITAL FLOWS TO DEVELOPING COUNTRIES: THE ALLOCATION PUZZLE,2-s2.0-84886291495,
CAPITAL REALLOCATION AND LIQUIDITY,,CAPITAL REALLOCATION AND LIQUIDITY,2-s2.0-33645921348,
CAPITAL STRUCTURE DYNAMICS AND TRANSITORY DEBT,,CAPITAL STRUCTURE DYNAMICS AND TRANSITORY DEBT,2-s2.0-78650308060,
CAPITAL STRUCTURE WITH RISKY FOREIGN INVESTMENT,12276,CAPITAL STRUCTURE WITH RISKY FOREIGN INVESTMENT,2-s2.0-46049107582,
CAPITAL TAXATION: QUANTITATIVE EXPLORATIONS OF THE INVERSE EULER EQUATION,,CAPITAL TAXATION: QUANTITATIVE EXPLORATIONS OF THE INVERSE EULER EQUATION,2-s2.0-84863815945,
CASH IS KING - REVALUATION AND THE MEDIUM OF EXCHANGE IN MERGER BIDS,,TARGET REVALUATION AFTER FAILED TAKEOVER ATTEMPTS: CASH VERSUS STOCK,2-s2.0-84945566525,
CATCHING UP WITH THE JONESES: HETEROGENEOUS PREFERENCES AND THE DYNAMICS OF ASSET PRICES,8607,CATCHING UP WITH THE JONESES: HETEROGENEOUS PREFERENCES AND THE DYNAMICS OF ASSET PRICES,2-s2.0-0036997692,
CEO CAREERS AND STYLE,,SHAPED BY BOOMS AND BUSTS: HOW THE ECONOMY IMPACTS CEO CAREERS AND MANAGEMENT STYLES,2-s2.0-85027317093,
CHAOTIC INTEREST RATE RULES,,CHAOTIC INTEREST-RATE RULES,2-s2.0-0042920982,
COLLATERAL CHANNEL AND CRIDIT CYCLE:EVIDENCE FROM THE LAND-PRICE COLLAPSE IN JAPAN,,"COLLATERAL, DEBT CAPACITY, AND CORPORATE INVESTMENT: EVIDENCE FROM A NATURAL EXPERIMENT",2-s2.0-34547662433,
"COLLATERAL, FINANCIAL INTERMEDIATION, AND THE DISTRIBUTION OF DEBT CAPACITY",,"COLLATERAL, RISK MANAGEMENT, AND THE DISTRIBUTION OF DEBT CAPACITY",2-s2.0-78249272965,
COLLATERALIZED BORROWING AND LIFE-CYCLE PORTFOLIO CHOICE,12309,,,
COMBINING FORECASTS FROM NESTED MODELS,,COMBINING FORECASTS FROM NESTED MODELS,2-s2.0-63849144441,
"COMMODITY MARKET INTEREST, INFLATION, AND ASSET PRICES",16712,WHAT DOES FUTURES MARKET INTEREST TELL US ABOUT THE MACROECONOMY AND ASSET PRICES?,2-s2.0-84862770136,
"COMMUNICATION AND DECISION-MAKING BY CENTRAL BANK COMMITTEES: DIFFERENT STRATEGIES, SAME EFFECTIVENESS?",,"COMMUNICATION BY CENTRAL BANK COMMITTEE MEMBERS: DIFFERENT STRATEGIES, SAME EFFECTIVENESS?",2-s2.0-34247545804,
COMMUNITY HETEROGENEITY AND LOCAL RESPONSE TO FISCAL INCENTIVES,,LOCAL RESPONSE TO FISCAL INCENTIVES IN HETEROGENEOUS COMMUNITIES,2-s2.0-77954386658,
COMOVEMENT,8895,COMOVEMENT,2-s2.0-12144283943,
COMPETING FOR SECURITIES UNDERWRITING MANDATES: BANKING RELATIONSHIPS AND ANALYST RECOMMENDATIONS,,COMPETING FOR SECURITIES UNDERWRITING MANDATES: BANKING RELATIONSHIPS AND ANALYST RECOMMENDATIONS,2-s2.0-29344444221,
"COMPOSITION OF WEALTH, CONDITIONING INFORMATION, AND THE CROSS-SECTION OF STOCK RETURNS",16073,"COMPOSITION OF WEALTH, CONDITIONING INFORMATION, AND THE CROSS-SECTION OF STOCK RETURNS",2-s2.0-84891662965,
CONCENTRATED OWNERSHIP AND LABOR RELATIONS,,FAMILY FIRMS AND LABOR RELATIONS,2-s2.0-79958169816,
CONDITIONAL CASH FLOW SENSITIVITIES AND FINANCING CONSTRAINTS,,CONDITIONAL INVESTMENT-CASH FLOW SENSITIVITIES AND FINANCING CONSTRAINTS,2-s2.0-84872446107,
CONDITIONAL FORECASTING USING RELATIVE ENTROPY,,FORECASTING USING RELATIVE ENTROPY,2-s2.0-22544455959,
CONDITIONAL MARKOV CHAIN AND ITS APPLICATION TO ECONOMIC TIME SERIES ANALYSIS,,CONDITIONAL MARKOV CHAIN AND ITS APPLICATION IN ECONOMIC TIME SERIES ANALYSIS,2-s2.0-79960454315,
CONFIDENCE AND THE TRANSMISSION OF GOVERNMENT SPENDING SHOCKS,17063,CONFIDENCE AND THE TRANSMISSION OF GOVERNMENT SPENDING SHOCKS,2-s2.0-84859967326,
